RSH - RadioShack Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,53.400000000000006,45.21,35.58,47.81,63.29,51.339999999999996,37.46,21.65,55.559999999999995,47.02,50.239999999999995,39.64,18.14,-2.54,-45.45,-87.76,		,31.96,39,35.68,87.96000000000001,43.32,43.04,38.04,71.36,33.64,23.919999999999998,27.08,35.6,44.2,30.919999999999998,33.12,81.2,44.96,47,47.56,108.32,53.400000000000006,44.16,45.56,78.16,27.88,28.24,25.8,35.28,7.720000000000001,0.76,-6.08,80.47999999999999,37.32,34.64,44.36,96.12,35.24,43.4,50.72,59.48,47.4,50.63999999999999,35.839999999999996,71.92,42.28,41.36,38.56,43.88,30.4,22.12,5.48,14.280000000000001,3.36,-6.5600000000000005,-14.04,6.4799999999999995,-7.5600000000000005,-17.8,-65.72,-87.76
Debt to Equity,0.612,0.888,0.862,0.862,0.804,0.61,0.91,0.827,0.532,0.812,0.599,0.759,0.89,1.299,2.975,2.975,		,0.672,0.58,0.661,0.612,0.842,1.013,1.094,0.888,0.717,0.742,0.803,0.862,0.79,0.866,0.875,0.862,0.828,0.807,0.806,0.804,0.785,0.74,0.73,0.61,0.627,0.655,1.761,0.91,1.073,0.97,1.015,0.827,0.744,0.657,0.545,0.532,0.468,0.445,0.97,0.812,0.772,0.749,0.688,0.599,0.597,0.587,0.745,0.759,0.381,0.82,0.834,0.89,0.912,0.964,1.131,1.299,1.268,1.407,1.267,2.975
Gross Margin %,50.49,49.419999999999995,48.089999999999996,48.9,49.81,50.29,46.739999999999995,46.739999999999995,47.65,45.51,45.9,44.86,41.36,38.379999999999995,34.13,29.759999999999998,		,50.629999999999995,52.78,50.64999999999999,48.84,49.27,52.15,49.58,47.65,47.96,49.29,4.87,46.97,50.239999999999995,51.11,49.8,45.879999999999995,49.28,50.849999999999994,50.080000000000005,49.28,50.61,51.21,50.55,49.28,50.42,50.739999999999995,47.55,41.08,48.33,47.23,46.050000000000004,45.61,52.04,50.55,51.05,40.07,47.38,47.18,46.72,41.81,46.660000000000004,46.06,47.589999999999996,43.919999999999995,47.22,47.510000000000005,45.21,41,44.66,45.879999999999995,42.83,34.78,40.52,40.089999999999996,37.95,35.79,39.73,37.16,30.130000000000003,29.759999999999998
Operating Margin %,12.280000000000001,13.11,7.5200000000000005,9.29,10.4,11.53,6.890000000000001,3.2800000000000002,8.98,7.630000000000001,8.64,8.21,3.54,-0.65,-10.02,-17.76,		,10.14,11.95,10.61,15.03,11.1,12.68,11.790000000000001,15.67,9.969999999999999,7.17,7.5200000000000005,5.93,9.85,6.460000000000001,7.489999999999999,12.06,9.06,8.95,8.27,13.889999999999999,10.620000000000001,10.69,10.639999999999999,13.34,7.68,8.459999999999999,7.4399999999999995,4.93,2.07,0.18,-1.41,10,7.5200000000000005,6.94,8.04,12.11,6.77,7.17,8.3,8.1,7.99,9.08,7.01,10.03,8.72,9.41,7.960000000000001,7.3999999999999995,6.4,5.19,1.03,2.1999999999999997,0.7799999999999999,-1.66,-3.7900000000000005,1.37,-2.18,-4.9,-14.649999999999999,-17.76
Net Margin %,7.22,7.68,3.49,5.75,6.419999999999999,6.97,5.25,1.54,5.57,4.4799999999999995,4.79,4.83,1.6500000000000001,-3.64,-11.65,-20.46,		,6.279999999999999,6.950000000000001,6.23,8.68,6.660000000000001,7.37,6.76,9.21,4.08,3.9600000000000004,4.05,2.32,5.57,5.19,4.29,7.28,5.29,5.609999999999999,5.37,8.540000000000001,6.25,6.4799999999999995,6.329999999999999,8.219999999999999,4.9,4.79,9.08,3.06,0.72,-0.29,-1.54,5.800000000000001,4.279999999999999,5.029999999999999,4.82,7.3999999999999995,4.09,4.16,4.91,4.6899999999999995,4.3,5.050000000000001,3.7800000000000002,5.74,4.81,5.510000000000001,4.590000000000001,4.35,3.45,2.64,0.03,0.86,-0.88,-2.4699999999999998,-5.24,-5.4,-5.1,-6.29,-13.96,-20.46
Total Equity to Total Asset,0.388,0.342,0.347,0.327,0.343,0.366,0.267,0.316,0.387,0.382,0.432,0.387,0.346,0.26,0.13,0.13,		,0.435,0.447,0.408,0.388,0.331,0.325,0.319,0.342,0.394,0.393,0.362,0.347,0.373,0.357,0.312,0.327,0.355,0.352,0.327,0.343,0.371,0.381,0.348,0.366,0.401,0.413,0.217,0.267,0.309,0.33,0.303,0.316,0.371,0.408,0.374,0.387,0.444,0.452,0.35,0.382,0.412,0.429,0.426,0.432,0.47,0.484,0.406,0.387,0.488,0.391,0.362,0.346,0.367,0.338,0.296,0.26,0.277,0.273,0.245,0.13
LT Debt to Total Asset,0.149,0.118,0.252,0.265,0.241,0.201,0.224,0.167,0.175,0.293,0.258,0.153,0.308,0.217,0.385,0.385,		,0.138,0.135,0.151,0.149,0.151,0.144,0.129,0.118,0.108,0.261,0.245,0.252,0.26,0.276,0.255,0.265,0.286,0.284,0.246,0.241,0.237,0.231,0.217,0.201,0.219,0.227,0.217,0.224,0.249,0.263,0.174,0.167,0.182,0.171,0.184,0.175,0.193,0.184,0.323,0.293,0.301,0.296,0.266,0.258,0.268,0.135,0.146,0.153,0.186,0.321,0.302,0.308,0.334,0.155,0.212,0.217,0.246,0.269,0.31,0.385
Asset Turnover,1.926,1.861,2.127,2.054,2.072,1.924,2.305,2.308,2.137,1.874,1.76,1.961,2.013,1.666,2.158,0.588,		,0.461,0.46,0.447,0.648,0.498,0.464,0.464,0.615,0.49,0.456,0.463,0.675,0.495,0.473,0.452,0.672,0.518,0.492,0.479,0.664,0.502,0.485,0.471,0.633,0.492,0.489,0.517,0.758,0.586,0.59,0.534,0.704,0.527,0.47,0.513,0.686,0.519,0.525,0.455,0.558,0.456,0.431,0.422,0.543,0.442,0.402,0.447,0.602,0.563,0.456,0.467,0.638,0.453,0.406,0.401,0.51,0.419,0.456,0.501,0.588
Dividend Payout Ratio,0.1411,0.1111,0.1774,0.1407,0.1374,0.1175,0.126,0.4626,0.1384,0.1651,0.1527,0.1283,0.6878,0,0,0,		,0.173,0.157,0.168,0.095,0.147,0.135,0.133,0.07,0.218,0.244,0.225,0,0,0,0,0.34,0,0,0,0.322,0,0,0,0.303,0,0,0,0.657,0,0,0,0.402,0,0,0,0.324,0,0,0,0.53,0,0,0,0.414,0,0,0,0.464,0,0,0,4.173,0,0,0,0,0,0,0,0
Days Sales Outstanding,25.31,35.38,21.12,16.44,14.32,18.17,22.22,18.94,21.98,20.9,27.53,32.3,30.06,43.11,22.52,,		,19.39,21,23.19,18.74,20.35,20.59,24.99,26.7,28.1,25.79,25.5,16.59,19.12,13.84,17.83,12.52,13.99,12.21,10.39,11.14,11.84,13.96,13.05,13.76,15.56,13.74,17.35,16.84,20.82,19.85,18.23,15.47,15.48,16.5,18.78,17.08,17.48,17.55,17.11,17.49,18.62,19.34,21.02,22.26,24.5,29.49,23.46,26.23,22.3,26.9,22.08,23.66,23.57,26.81,35.39,35.15,29.86,23.54,22.78,20.61
Days Inventory,153.92,175.24,139.85,151.56,119.89,152.22,130.14,107.89,115.67,100.9,105.8,112.3,105.84,140.43,129.45,111.13,		,181.98,186.02,187.9,110.31,165.73,194.62,191.18,127.79,162.82,168.17,180.98,107.52,146.94,154.89,193.7,109.03,141.52,146.51,156.77,92.26,129.84,151.49,172.41,113.01,156.37,164.34,168.83,89.14,145.75,124.62,139.89,86.31,124.44,120.53,134.24,78.51,120.88,108.46,113.85,79.06,98.03,101.01,129.32,82.55,113.99,116.42,125.83,85.22,119.27,129.81,121.96,74.89,122.33,148.33,139,109.9,164.77,141.6,114.45,111.13
Inventory Turnover,2.37,2.08,2.61,2.41,3.04,2.4,2.8,3.38,3.16,3.62,3.45,3.25,3.45,2.6,2.82,0.82,		,0.5,0.49,0.48,0.82,0.55,0.47,0.48,0.71,0.56,0.54,0.5,0.85,0.62,0.59,0.47,0.83,0.64,0.62,0.58,0.99,0.7,0.6,0.53,0.81,0.58,0.55,0.54,1.02,0.62,0.73,0.65,1.05,0.73,0.76,0.68,1.16,0.75,0.84,0.8,1.15,0.93,0.9,0.7,1.1,0.8,0.78,0.72,1.07,0.76,0.7,0.75,1.22,0.74,0.61,0.65,0.83,0.55,0.64,0.8,0.82
COGS to Revenue,0.5,0.51,0.52,0.51,0.5,0.5,0.53,0.53,0.52,0.54,0.54,0.55,0.59,0.62,0.66,0.7,		,0.49,0.47,0.49,0.51,0.51,0.48,0.5,0.52,0.52,0.51,0.51,0.53,0.5,0.49,0.5,0.54,0.51,0.49,0.5,0.51,0.49,0.49,0.49,0.51,0.5,0.49,0.52,0.59,0.52,0.53,0.54,0.54,0.48,0.49,0.49,0.6,0.53,0.53,0.53,0.58,0.53,0.54,0.52,0.56,0.53,0.52,0.55,0.59,0.55,0.54,0.57,0.65,0.59,0.6,0.62,0.64,0.6,0.63,0.7,0.7
Inventory to Revenue,0.209,0.243,0.199,0.212,0.165,0.207,0.19,0.157,0.166,0.151,0.157,0.17,0.17,0.237,0.234,0.858,		,0.987,0.965,1.019,0.62,0.924,1.023,1.059,0.735,0.931,0.937,1.021,0.627,0.803,0.832,1.069,0.648,0.789,0.791,0.86,0.514,0.705,0.812,0.937,0.63,0.852,0.89,0.973,0.577,0.828,0.723,0.829,0.516,0.656,0.655,0.722,0.517,0.699,0.63,0.667,0.506,0.575,0.599,0.745,0.509,0.661,0.672,0.758,0.553,0.725,0.772,0.766,0.537,0.8,0.977,0.948,0.775,1.091,0.978,0.879,0.858
Revenue,4126.2,4794.7,4775.7,4577.2,4649.3,4841.2,5081.7,4777.5,4251.7,4224.5,4276,4265.8,4378,3831.3,3434.3,3434.3,		,890.2,886.7,960.3,1389,1047.3,1023.3,1140.4,1583.7,1139.5,1039.5,1080.9,1515.8,1034.4,998.1,1047,1497.7,1070.3,1025,1063.6,1490.4,1092.6,1053.8,1101.5,1593.3,1122.9,1092.2,1194.7,1671.9,1160,1099.9,1059.5,1458.1,992.3,934.8,960.3,1364.3,949,994.9,1021.9,1258.7,1002.1,965.7,990,1318.2,1041.7,962.3,1002,1309.8,1017.4,941.9,1031.8,1386.9,913.3,848.6,898,1171.4,849,844.5,805.4,935.4
Cost of Goods Sold,2042.7,2425.1,2478.9,2338.9,2333.6,2406.7,2706.3,2544.4,2225.9,2301.8,2313.5,2352.1,2567.2,2360.9,2262.1,2262.1000000000004,		,439.5,418.7,473.9,710.6,531.3,489.7,575,829.1,593,527.1,554.9,803.9,514.7,488,525.6,810.6,542.9,503.8,530.9,756,539.6,514.2,544.7,808.2,556.7,538,626.6,985,599.4,580.4,571.6,793,475.9,462.3,470.1,817.6,499.4,525.5,544.5,732.4,534.5,520.9,518.9,739.2,549.8,505.1,549,772.8,563,509.8,589.9,904.5,543.2,508.4,557.2,752.1,511.7,530.7,562.7,657
Gross Profit,2083.5,2369.6,2296.8,2238.3,2315.7,2434.5,2375.4,2233.1,2025.8,1922.7,1962.5,1913.7,1810.8,1470.4,1172.2,1172.1999999999998,		,450.7,468,486.4,678.4,516,533.6,565.4,754.6,546.5,512.4,52.6,711.9,519.7,510.1,521.4,687.1,527.4,521.2,532.7,734.4,553,539.6,556.8,785.1,566.2,554.2,568.1,686.9,560.6,519.5,487.9,665.1,516.4,472.5,490.2,546.7,449.6,469.4,477.4,526.3,467.6,444.8,471.1,579,491.9,457.2,453,537,454.4,432.1,441.9,482.4,370.1,340.2,340.8,419.3,337.3,313.8,242.7,278.4
"Selling, General,  &Admin. Expense",1486.4,1633.6,1713.9,1728.6,1740,1774.8,1901.7,1903.7,1538.5,1509.8,1507.9,1483.8,1577.4,1419.8,1407.4,1407.3999999999999,		,339.4,340.7,361.4,444.9,374,377.6,404.2,477.8,405.2,398,403.8,506.9,393.2,421.3,420,494.1,407.8,406.6,421.4,504.2,412.9,402.2,415.2,544.5,450.5,431.4,447.5,572.3,495.7,483.6,441.6,482.8,412,378,384.2,364.3,362.4,375.4,370.4,401.6,365.8,335.7,380.7,425.7,380.7,347,352.5,420.9,370.6,364.3,411.4,431.1,345.3,337,354,383.5,337.9,336.9,343.3,389.3
Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research &Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,607.9000000000001,754.8,450.6,563,600.5,673.1,489.8,283.9,518.1,433.5,465.5,437,237.2,57,-281.1,-281.1,		,120.9,131.9,129.7,225.4,147.6,160.2,165.5,281.5,115.7,106.2,111.5,117.2,128.3,118.6,106.7,209.4,123.5,123.30000000000001,122.1,231.6,141.6,142.1,143.3,246.1,127.7,124.6,121.8,115.7,56.2,35,17,175.7,109.3,99.9,112.7,196.2,91.3,98.69999999999999,113.19999999999999,130.3,105.69999999999999,112.5,91.6,155.7,113.5,112.6,101,117.80000000000001,81.5,69.8,33.1,52.8,28.5,6.300000000000001,-14.400000000000002,36.6,1.6000000000000014,-23.400000000000002,-100.5,-158.8
"Depreciation, Depletion and Amortization",90.2,107.3,108.3,94.7,92,101.4,123.8,128.2,112.7,99.1,92.9,84.2,83.1,80.7,71.6,71.60000000000001,		,21,21.3,23.1,24.8,25.7,26.2,26.7,28.7,27.7,27.5,27.4,25.7,24.6,24.3,23,22.8,22.6,22.9,23.3,23.2,24.1,24.8,24.4,28.1,29.5,30.4,31.7,32.2,32,33.6,31.9,30.7,29.2,29.1,27.8,26.6,25,24.6,24.6,24.9,24.1,23.3,22.9,22.6,22.1,21.3,20.4,20.4,20.2,20.4,21.1,21.4,20.9,20.1,19.7,20,20,17.7,17.2,16.7
Other Operating Charges,-90.19999999999993,-107.29999999999995,-223.60000000000008,-84.3000000000003,-91.99999999999983,-101.40000000000009,-123.80000000000007,-172.49999999999986,-105.39999999999998,-90.7000000000001,-85.19999999999993,-79.7000000000001,-78.29999999999987,-75.60000000000014,-108.79999999999995,-108.80000000000001,		,-21.000000000000014,-21.30000000000001,-23.099999999999994,-24.80000000000001,-25.700000000000003,-26.19999999999999,-26.69999999999999,-28.700000000000017,-27.700000000000017,-39.89999999999998,432.5,-115.1,-24.60000000000005,-24.30000000000001,-22.99999999999997,-12.400000000000006,-22.599999999999966,-22.90000000000002,-23.300000000000068,-23.19999999999999,-24.100000000000023,-24.80000000000004,-24.399999999999963,-28.100000000000023,-29.500000000000043,-30.400000000000063,-31.700000000000017,-32.20000000000002,-40.900000000000034,-33.89999999999998,-61.19999999999995,-36.5,-29.799999999999983,-29.599999999999994,-28.799999999999997,-17.200000000000045,-23.000000000000043,-22.700000000000003,-22.200000000000003,-22.799999999999926,-21.700000000000017,-21.40000000000002,-21.00000000000003,-21.100000000000023,-20.39999999999999,-19.599999999999994,-20.700000000000003,-19.200000000000017,-18.69999999999996,-18.900000000000013,-19.9,-20.799999999999955,-17.70000000000001,-17.29999999999999,-20.80000000000001,-19.80000000000001,-17.900000000000034,-18.300000000000033,-17.399999999999977,-55.19999999999996
Operating Income,506.9,628.7,359.3,425.4,483.7,558.3,349.9,156.9,381.9,322.2,369.4,350.2,155.1,-25,-344,-344,		,90.3,106,101.9,208.7,116.3,129.8,134.5,248.1,113.6,74.5,81.3,89.9,101.9,64.5,78.4,180.6,97,91.7,88,207,116,112.6,117.2,212.5,86.2,92.4,88.9,82.4,24,2,-14.9,145.8,74.6,64.9,77.2,165.2,64.2,71.3,84.8,101.9,80.1,87.7,69.4,132.2,90.8,90.6,79.8,96.9,65.1,48.9,10.6,30.5,7.1,-14.1,-34,16,-18.5,-41.4,-118,-166.1
Interest Income,20.4,17.8,13,9,12.8,11.4,5.9,7.4,22.6,14.6,4.8,2.6,3.1,1.9,2.2,2.2,		,4.5,0,4.7,6.6,4.6,4.2,4.3,4.7,4.4,4.2,2.8,1.6,1.8,2.1,2.2,2.9,1.5,8,1.9,1.4,1.5,2.7,1.7,5.5,1.8,1.8,1.2,1.1,0.8,0.6,2.5,3.5,6.5,6,5.3,4.8,3.6,3.4,3.9,3.7,1.5,1.5,0.9,0.9,0.6,0.7,0.8,0.5,0.3,0.5,1.4,0.9,0.5,0.3,0.5,0.6,0.4,0.3,0.3,1.2
Interest Expense,-37.2,-53.9,-50.8,-43.4,-35.7,-29.6,-44.5,-44.3,-38.8,-34.9,-44.1,-41.9,-46.8,-54.5,-52.3,-52.3,		,-8.3,-9.6,-8.5,-10.8,-9.5,-12.4,-14.4,-17.6,-13,-12.2,-13.6,-12,-10.8,-10.7,-11.3,-10.6,-9.6,-9.8,-8.7,-7.6,-7.4,-7.1,-6.5,-8.6,-9.3,-9.4,-11.7,-14.1,-10.6,-11.5,-11.2,-11,-10.6,-10.7,-9.7,-7.8,-7.1,-6.7,-7.4,-13.7,-11.5,-11.1,-11.2,-10.3,-9.9,-10.7,-10.4,-10.9,-9.7,-10.9,-12.6,-13.6,-13.1,-12.9,-13.2,-15.3,-15,-14.1,-11.5,-11.7
Other Income (Minority Interest),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-Tax Income,480.5,593.6,291.5,424.9,472.8,542.1,321.5,111.4,366.6,299.5,328.5,310.9,107.3,-78.2,-405,-405,		,91.6,101,98.1,189.8,112.4,121.6,124.4,235.2,75,66.5,70.5,79.5,92.9,83.6,72.4,176,91.3,90.6,90.1,200.8,110.1,110.2,112.4,209.4,88.9,84.8,78.4,69.4,13.6,-10.1,-26.1,134,69.5,60.1,75.2,161.8,59.2,67.4,81.2,91.7,70.1,78.1,57.5,122.8,81.5,80.6,70.2,86.5,51.6,38.5,-0.6,17.8,-5.5,-26.7,-47.3,1.3,-33.4,-55.2,-129.2,-187.2
Tax Provision,-182.6,-225.6,-124.8,-161.5,-174.3,-204.9,-51.6,-38,-129.8,-110.1,-123.5,-120.2,-40.2,-32.6,13,13,		,-35.7,-39.4,-38.3,-69.2,-42.7,-46.2,-47.3,-89.4,-28.5,-25.3,-26.7,-44.3,-35.3,-31.8,-27.5,-66.9,-34.7,-33.1,-33,-73.5,-41.8,-41.9,-42.7,-78.5,-33.9,-32.5,30.1,-15.3,-5.2,6.9,9.8,-49.5,-27,-13.1,-28.9,-60.8,-20.4,-26,-31,-32.7,-27,-29.3,-20.1,-47.1,-31.4,-31.1,-27.4,-33.4,-20.2,-15,0.9,-5.9,0.8,10.5,15.9,-59.8,-1.4,1.8,16.8,-4.2
