RSH - RadioShack Corp,
2009-04-15,12.06%
2009-03-31,10.80%
2009-03-13,9.55%
2009-02-27,11.70%
2009-02-13,12.53%
2009-01-30,13.00%
2009-01-15,13.74%
2008-12-31,14.01%
2008-12-15,14.25%
2008-11-28,15.17%
2008-11-14,14.49%
2008-10-31,15.41%
2008-10-15,16.56%
2008-09-30,17.82%
2008-09-15,18.74%
2008-08-29,17.26%
2008-08-15,13.04%
2008-07-31,14.90%
2008-07-15,18.81%
2008-06-30,21.05%
2008-06-13,21.56%
2008-05-30,21.23%
2008-05-15,22.73%
2008-04-30,23.56%
2008-04-15,22.52%
2008-03-31,21.63%
2008-03-14,22.46%
2008-02-29,23.51%
2008-02-15,19.38%
2008-01-31,22.88%
2008-01-15,23.36%
2007-12-31,22.56%
2007-12-11,24.43%
2007-11-27,26.84%
2007-11-09,25.89%
2007-10-26,22.78%
2007-10-10,23.30%
2007-09-25,23.96%
2007-09-11,23.60%
2007-08-10,21.42%
2007-07-10,25.90%
2007-06-12,25.60%
2007-05-10,20.12%
2007-04-10,18.70%
2007-03-12,16.02%
2007-02-12,13.67%
2007-01-09,16.01%
2006-12-12,15.58%
2006-11-10,13.05%
2006-10-10,11.22%
2006-09-12,13.15%
2006-08-10,13.29%
2006-07-11,12.18%
2006-06-12,10.36%
2006-05-10,8.66%
2006-04-10,6.37%
2006-03-10,6.50%
2006-02-10,6.16%
2006-01-10,5.72%
2005-12-12,6.49%
2005-11-10,5.17%
2005-10-11,0.00%
2005-09-12,0.00%
2005-08-10,0.00%
2005-07-12,0.00%
2005-06-10,0.00%
2005-05-10,0.00%
2005-04-12,0.00%
2005-03-10,0.00%
2005-02-10,0.00%
2005-01-11,0.00%
2004-12-10,0.00%
2004-11-10,0.00%
2004-10-12,0.00%
2004-09-10,0.00%
2004-08-10,0.00%
2004-07-12,0.00%
2004-06-09,0.00%
2004-05-11,0.00%
2004-04-12,0.00%
2004-03-10,0.00%
2004-02-10,0.00%
2004-01-12,0.00%
2003-12-10,0.00%
2003-11-11,0.00%
2003-10-10,0.00%
2003-09-10,0.00%
2003-08-12,0.00%
2003-07-10,0.00%
2003-06-10,0.00%
2003-05-12,0.00%
2003-04-10,0.00%
2003-03-11,0.00%
2003-02-11,0.00%
2003-01-10,0.00%
2002-12-10,0.00%
2002-11-12,0.00%
2002-10-10,0.00%
2002-09-10,0.00%
2002-08-12,0.00%
2002-07-10,0.00%
2002-06-11,0.00%
2002-05-10,0.00%
2002-04-10,0.00%
2002-03-12,0.00%
2002-02-12,0.00%
2002-01-10,0.00%
2001-12-11,0.00%
2001-11-12,0.00%
2001-10-10,0.00%
2001-09-05,0.00%
2001-08-10,0.00%
2001-07-10,0.00%
2001-06-12,0.00%
2001-05-10,0.00%
2001-04-09,0.00%
2001-03-12,0.00%
2001-02-12,0.00%
2001-01-09,0.00%
2000-12-12,0.00%
2000-11-10,0.00%
2000-10-10,0.00%
2000-09-12,0.00%
2000-08-10,0.00%
2000-07-11,0.00%
2000-06-12,0.00%
2000-05-10,0.00%
2000-04-11,0.00%
2000-03-10,0.00%
2000-02-10,0.00%
2000-01-11,0.00%
1999-12-10,0.00%
1999-11-10,0.00%
1999-10-12,0.00%
1999-09-10,0.00%
1999-08-10,0.00%
1999-07-12,0.00%
1999-06-10,0.00%
1999-05-11,0.00%
1999-04-12,0.00%
1999-03-10,0.00%
1999-02-09,0.00%
1999-01-08,0.00%
1998-12-08,0.00%
1998-11-06,0.00%
1998-10-08,0.00%
1998-09-08,0.00%
1998-08-07,0.00%
1998-07-08,0.00%
1998-06-08,0.00%
1998-05-08,0.00%
1998-04-07,0.00%
1998-03-06,0.00%
1998-02-06,0.00%
1998-01-08,0.00%
1997-12-08,0.00%
1997-11-07,0.00%
1997-10-08,0.00%
1997-09-08,0.00%
1997-08-08,0.00%
1997-07-08,0.00%
1997-06-06,0.00%
1997-05-08,0.00%
1997-04-08,0.00%
1997-03-07,0.00%
1997-02-07,0.00%
1997-01-08,0.00%
1996-12-06,0.00%
1996-11-08,0.00%
1996-10-08,0.00%
1996-09-06,0.00%
1996-08-08,0.00%
1996-07-08,0.00%
1996-06-07,0.00%
1996-05-08,0.00%
1996-04-08,0.00%
1996-03-08,0.00%
1996-02-08,0.00%
1996-01-08,0.00%
1995-12-08,0.00%
1995-11-08,0.00%
1995-10-06,0.00%
1995-09-08,0.00%
1995-08-08,0.00%
1995-07-07,0.00%
1995-06-08,0.00%
1995-05-08,0.00%
1995-04-06,0.00%
1995-03-08,0.00%
1995-02-08,0.00%
1995-01-06,0.00%
