RSH - RadioShack Corp,,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2011-07-31,0,108943995,30431820,20087902,,
2011-07-15,0,,0,,,99778637
2011-06-30,0.95,101167420,24099531,23216106,,99779000
2011-05-31,0.94,99270425,26051176,24709878,,
2011-04-30,0.91,96826291,20393555,42468447,,
2011-04-15,0,,0,,,106055732
2011-03-31,0.9,94990786,19911014,42113835,,106036000
2011-02-28,0.92,96860994,21473899,40227938,106013246,
2011-02-15,0,,0,,,105779701
2011-01-31,0,120828173,25789628,28453828,,
2010-12-31,0,116148439,19563366,27678758,,105773000
2010-11-30,0,116196719,19707297,27608859,,
2010-10-31,0,118755064,41005375,25008525,,
2010-10-15,0,,0,,,113825846
2010-09-30,0.96,120146518,42665627,24043836,,113826000
2010-08-31,0.98,122923095,34715688,29370158,,
2010-07-31,0,127566058,23090226,25911947,,
2010-07-15,0,,0,,,125387789
2010-06-30,0,129574075,25345266,23143443,,125388000
2010-05-31,0,127276102,20981399,25569088,,
2010-04-30,0,130243752,37999239,41113451,,
2010-04-14,0,,0,,,125384016
2010-03-31,0,130037087,36982985,45974485,,125380000
2010-02-28,0,130566872,37218038,46594593,109664604,
2010-02-16,0,,0,,,125236678
2010-01-31,0,129843664,22607478,22866817,,
2009-12-31,0,131576935,21476465,17730533,,125227000
2009-11-30,0,130634761,21336109,16870696,,
2009-10-31,0,127774488,22027642,23102601,,
2009-10-15,0,,0,,,125194410
2009-09-30,0,126940024,18917554,15713988,,125195000
2009-08-31,0,126776592,18892143,15719843,,
2009-07-31,0,127179312,22639629,17915921,,
2009-07-15,0,,0,,,125174352
2009-06-30,0.99,123436684,20333533,20305775,,125175000
2009-05-31,0.99,124471641,20757949,19851532,,
2009-04-30,0.98,122725697,18264278,18822112,,
2009-04-14,0,,0,,,125128854
2009-03-31,0,127319596,18820320,20568140,,
2009-02-28,0,128610113,19125830,18488024,,
2009-02-11,0,,0,,,125082669
2009-01-31,0,125542200,21564624,27852986,,
2008-12-31,0,128564985,21544266,28852221,,
2008-11-30,0,128408920,21350413,28809362,,
2008-10-31,0,137716324,18512132,23817868,,
2008-10-15,0,,0,,,125071795
2008-09-30,0.96,126115398,34657696,38063393,,
2008-08-31,0.96,126115398,34657696,38063393,,
2008-07-31,0.96,126115398,34657696,38063393,,
2008-07-15,0,,0,,,131136382
2008-06-30,0.95,131147874,35022306,41758263,,
2008-05-31,0.95,131147874,35022306,41758263,,
2008-04-30,0.95,131147874,35022306,41758263,,
2008-04-18,0,,0,,,131196347
2008-03-31,0,138323196,17574927,36545655,,
2008-02-29,0,138323196,17574927,36545655,,
2008-02-15,0,,0,,,131098588
2008-01-31,0,138323196,17574927,36545655,,
2007-09-30,0,,0,,,131087176
2007-06-30,0,,0,,,137907229
2007-03-31,0,,0,,,135558963
2007-02-16,0,,0,,,136199708
2006-10-20,0,,0,,,135822591
2006-07-28,0,,0,,,135709207
2006-04-28,0,,0,,,135321158
2006-03-03,0,,0,,,135231932
2005-10-28,0,,0,,,134624929
2005-07-22,0,,0,,,154283495
2005-04-19,0,,0,,,155666284
2005-02-18,0,,0,,,157888296
2004-10-29,0,,0,,,158470136
2004-07-23,0,,0,,,159656719
2004-04-19,0,,0,,,160834561
2004-02-18,0,,0,,,161927676
2003-10-31,0,,0,,,164112216
2003-07-31,0,,0,,,165584133
2003-04-30,0,,0,,,168409768
2003-03-18,0,,0,,,169563463
2002-10-31,0,,0,,,168432183
2002-07-31,0,,0,,,171536880
2002-04-30,0,,0,,,173839613
2002-03-19,0,,0,,,175182212
2001-10-31,0,,0,,,179239986
2001-07-31,0,,0,,,183085826
2001-04-30,0,,0,,,185442885
2001-03-21,0,,0,,,184583373
2000-10-31,0,,0,,,185882976
2000-07-31,0,,0,,,185718906
2000-04-30,0,,0,,,186661133
2000-03-21,0,,0,,,186872515
1999-03-23,0,,0,,,193840910
1998-03-20,0,,0,,,206216898
1997-03-18,0,,0,,,224666344
1996-03-19,0,,0,,,243629788
1995-03-21,0,,0,,,264761988
