,,,,,,,,,,tis. Kč,,tis. Kč,tis. Kč
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2010,359,2130,0,1209,1209,0,0,3339,9300.835654596101,0,3339
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2011,353,2147,0,1238,1238,0,0,3385,9589.235127478752,0,3385
3801,"Gymnázium Tišnov, Na Hrádku 20",2009,486,2146,550,666,666,180,0,3542,7288.065843621399,0,3542
3801,"Gymnázium Tišnov, Na Hrádku 20",2010,486,2459,365,743,743,120,0,3687,7586.41975308642,0,3687
3801,"Gymnázium Tišnov, Na Hrádku 20",2011,482,2112,365,758,758,20,0,3255,6753.112033195021,0,3255
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2009,355,1603,0,1401,1401,0,120,3124,8800,0,3124
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2010,351,1863,0,1272,1272,0,0,3135,8931.623931623932,0,3135
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2011,356,1594,0,1260,1260,0,60,2914,8185.393258426966,0,2914
3803,"Gymnázium Židlochovice, Tyršova 400",2009,245,891,385,527,527,0,102,1905,7775.510204081633,0,1905
3803,"Gymnázium Židlochovice, Tyršova 400",2010,242,1085,385,561,561,0,100,2131,8805.785123966942,0,2131
3803,"Gymnázium Židlochovice, Tyršova 400",2011,237,1079,395,529,529,20,0,2023,8535.864978902953,0,2023
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2009,248,923,180,860,860,250,170,2383,9608.870967741936,0,2383
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2010,253,1130,185,883,883,75,0,2273,8984.189723320158,0,2273
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2011,251,1125,190,915,915,40,0,2270,9043.82470119522,0,2270
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2009,613,2461,0,1549,1549,551,0,4561,7440.456769983687,0,4561
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2010,558,2427,0,1700,1700,75,0,4202,7530.465949820788,0,4202
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2011,553,2458,24,1609,1609,40,0,4131,7470.162748643761,0,4131
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2009,334,1314,100,471,471,2684,0,4569,13679.640718562874,21753,26322
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2010,335,1732,30,976,976,200,0,2938,8770.149253731344,0,2938
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2011,320,1398,0,1167,1167,50,0,2615,8171.875,0,2615
4802,"Gymnázium Mikulov, Komenského náměstí 7",2009,320,1743,0,597,597,60,100,2500,7812.5,0,2500
4802,"Gymnázium Mikulov, Komenského náměstí 7",2010,310,1791,0,655,655,0,100,2546,8212.90322580645,0,2546
4802,"Gymnázium Mikulov, Komenského náměstí 7",2011,287,1853,0,675,675,90,0,2618,9121.951219512195,0,2618
5800,"Gymnázium Hodonín, Legionářů 1",2009,459,1774,32,497,497,0,0,2303,5017.429193899782,0,2303
5800,"Gymnázium Hodonín, Legionářů 1",2010,488,2239,20,487,487,30,0,2776,5688.524590163935,0,2776
5800,"Gymnázium Hodonín, Legionářů 1",2011,455,2629,40,491,491,90,0,3250,7142.857142857143,0,3250
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2009,594,2345,138,705,705,0,300,3488,5872.053872053872,19043,22531
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2010,596,2951,67,1189,1189,0,0,4207,7058.724832214765,5000,9207
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2011,598,2574,67,1360,1360,0,0,4001,6690.635451505017,0,4001
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2009,480,1862,0,1800,1800,87,0,3749,7810.416666666667,0,3749
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2010,459,2106,0,1825,1825,320,0,4251,9261.437908496733,450,4701
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2011,475,2082,0,1734,1734,105,0,3921,8254.736842105263,0,3921
6800,"Gymnázium Bučovice, Součkova 500",2009,369,1356,20,777,777,221,400,2774,7517.615176151762,0,2774
6800,"Gymnázium Bučovice, Součkova 500",2010,361,1700,2,773,773,150,190,2815,7797.783933518006,0,2815
6800,"Gymnázium Bučovice, Součkova 500",2011,357,1576,10,723,723,80,102,2491,6977.591036414566,0,2491
6801,"Gymnázium Vyškov, Komenského náměstí 16",2009,724,2101,1754,866,866,170,150,5041,6962.707182320442,0,5041
6801,"Gymnázium Vyškov, Komenského náměstí 16",2010,704,2738,1750,976,976,60,0,5524,7846.590909090909,0,5524
6801,"Gymnázium Vyškov, Komenského náměstí 16",2011,689,3090,1780,927,927,145,50,5992,8696.6618287373,0,5992
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2009,346,1597,40,230,230,0,0,1867,5395.953757225434,0,1867
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2010,328,1642,130,245,245,0,120,2137,6515.243902439025,0,2137
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2011,312,1550,100,245,245,80,0,1975,6330.128205128205,0,1975
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2009,748,3302,172,711,711,0,250,4435,5929.144385026738,0,4435
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2010,733,3753,134,730,730,50,0,4667,6366.984993178718,0,4667
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2011,725,3105,130,700,700,65,125,4125,5689.655172413793,0,4125
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2009,401,1648,80,130,130,70,0,1928,4807.980049875312,0,1928
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2010,402,1814,80,130,130,0,0,2024,5034.825870646766,0,2024
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2011,380,1723,80,50,50,0,0,1853,4876.315789473684,0,1853
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Údaje na provoz  - jen § 3121, z RU, jen mimořádné vlivy  ze SR",,,,,,,,,,,,
,Výkony z rozpisu PVV na daný rok (ZV),,,,,,,,,,,,
