ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME,PROGRAM
Francesco,Dutto,ITA,132,00:20:59,00:00:00,00:23:38,00:00:00,00:28:37,3,01:13:14,35-39 Male AG
Davide,Boni,ITA,129,00:24:18,00:00:00,00:23:15,00:00:00,00:34:46,4,01:22:19,35-39 Male AG
Gabriella,Guidotti,ITA,107,00:30:44,00:00:00,00:40:46,00:00:00,00:42:33,1,01:54:04,40-44 Female AG
Luca,Alladio,ITA,135,00:20:38,00:00:00,00:22:34,00:00:00,00:28:08,1,01:11:21,40-44 Male AG
Guido,Ricca,ITA,142,00:21:06,00:00:00,00:23:36,00:00:00,00:27:47,2,01:12:29,40-44 Male AG
Martin,Braxmair,GER,146,00:21:37,00:00:00,00:23:54,00:00:00,00:27:42,3,01:13:13,40-44 Male AG
Simone,Musazzi,ITA,141,00:22:03,00:00:00,00:25:44,00:00:00,00:29:40,4,01:17:27,40-44 Male AG
Richard,Nudl,AUT,145,00:21:26,00:00:00,00:25:36,00:00:00,00:32:12,5,01:19:14,40-44 Male AG
Michele,Marini,ITA,140,00:21:23,00:00:00,00:26:23,00:00:00,00:32:24,6,01:20:11,40-44 Male AG
Fabio,Cordioli,ITA,136,00:24:00,00:00:00,00:27:06,00:00:00,00:30:11,7,01:21:17,40-44 Male AG
Marco,Salamon,ITA,143,00:21:45,00:00:00,00:28:06,00:00:00,00:32:30,8,01:22:21,40-44 Male AG
Paolo,Savoldelli,ITA,144,00:23:53,00:00:00,00:28:29,00:00:00,00:38:24,9,01:30:46,40-44 Male AG
Luca,D'Ammora,ITA,138,00:26:08,00:00:00,00:30:11,00:00:00,00:39:55,10,01:36:15,40-44 Male AG
Davide,Costanzi,ITA,137,00:25:36,00:00:00,00:35:51,00:00:00,00:41:00,11,01:42:27,40-44 Male AG
Massimiliano,Dezi,ITA,139,00:26:10,00:00:00,00:35:19,00:00:00,00:43:07,12,01:44:36,40-44 Male AG
Marco,Rodolfi,ITA,0,00:26:46,00:00:00,00:32:57,00:00:00,00:48:21,13,01:48:04,40-44 Male AG
Emiliano,Paltrinieri,ITA,184,00:23:29,00:00:00,00:30:29,00:00:00,00:00:00,DNF,00:00:00,40-44 Male AG
Laura ,Sala ,ITA,108,00:28:04,00:00:00,00:39:49,00:00:00,00:36:01,1,01:43:54,45-49 Female AG
Sabine,Houdek,GER,111,00:29:05,00:00:00,00:35:40,00:00:00,00:39:12,2,01:43:57,45-49 Female AG
Claudia,Vaccari,ITA,109,00:30:33,00:00:00,00:35:03,00:00:00,00:42:34,3,01:48:09,45-49 Female AG
Stefania,Valsecchi,ITA,110,00:29:56,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00,45-49 Female AG
Pietro,Riva,ITA,154,00:21:22,00:00:00,00:26:14,00:00:00,00:29:43,1,01:17:19,45-49 Male AG
Sandro,Dallago,ITA,152,00:22:22,00:00:00,00:25:06,00:00:00,00:30:44,2,01:18:13,45-49 Male AG
Ivano,Basso,ITA,149,00:22:38,00:00:00,00:27:08,00:00:00,00:30:13,3,01:20:00,45-49 Male AG
Roberto,Barsi,ITA,148,00:23:27,00:00:00,00:28:33,00:00:00,00:36:34,4,01:28:34,45-49 Male AG
Stefano,Assolari,ITA,147,00:27:10,00:00:00,00:31:19,00:00:00,00:36:33,5,01:35:02,45-49 Male AG
Gianni,Carera,ITA,0,00:26:29,00:00:00,00:29:53,00:00:00,00:41:04,6,01:37:26,45-49 Male AG
Paolo,Mevio,ITA,153,00:25:52,00:00:00,00:35:09,00:00:00,00:41:55,7,01:42:58,45-49 Male AG
Ernesto,Casali,ITA,151,00:28:42,00:00:00,00:34:30,00:00:00,00:41:31,8,01:44:43,45-49 Male AG
Luciano,Burellini,ITA,150,00:26:59,00:00:00,00:32:18,00:00:00,00:48:40,9,01:47:57,45-49 Male AG
Maximilian,Zdouc,AUT,164,00:20:35,00:00:00,00:23:18,00:00:00,00:26:38,1,01:10:31,50-54 Male AG
Günter,Kern,AUT,0,00:20:53,00:00:00,00:22:52,00:00:00,00:27:57,2,01:11:43,50-54 Male AG
Karl-Heinz,Rasch,GER,166,00:21:51,00:00:00,00:24:06,00:00:00,00:27:25,3,01:13:22,50-54 Male AG
Oleg,Sukhodolin,RUS,163,00:21:21,00:00:00,00:24:29,00:00:00,00:28:55,4,01:14:45,50-54 Male AG
Emanuele,Polga,ITA,157,00:22:02,00:00:00,00:24:29,00:00:00,00:29:53,5,01:16:24,50-54 Male AG
Luca,Messina,ITA,156,00:22:36,00:00:00,00:28:33,00:00:00,00:28:58,6,01:20:07,50-54 Male AG
Michael,Schadler,LIE,160,00:25:24,00:00:00,00:27:14,00:00:00,00:32:39,7,01:25:18,50-54 Male AG
Maurizio,Secchi,ITA,159,00:21:27,00:00:00,00:28:38,00:00:00,00:40:58,8,01:31:04,50-54 Male AG
Riccardo,Rosselli,ITA,158,00:23:02,00:00:00,00:27:22,00:00:00,00:41:54,9,01:32:18,50-54 Male AG
Philip E.c.,Schadler,LIE,161,00:27:34,00:00:00,00:31:30,00:00:00,00:34:39,10,01:33:45,50-54 Male AG
Andrey,Gudalov,RUS,162,00:26:27,00:00:00,00:31:51,00:00:00,00:35:36,11,01:33:56,50-54 Male AG
Alessio,Gianni ,ITA,155,00:27:24,00:00:00,00:33:09,00:00:00,00:51:56,12,01:52:28,50-54 Male AG
Luisella,Iabichella,ITA,112,00:31:51,00:00:00,00:39:43,00:00:00,00:51:39,1,02:03:13,55-59 Female AG
Wolfgang,Leonhard,GER,173,00:21:48,00:00:00,00:24:41,00:00:00,00:28:49,1,01:15:17,55-59 Male AG
Paolo,Giacomoni,ITA,168,00:22:41,00:00:00,00:27:00,00:00:00,00:30:53,2,01:20:34,55-59 Male AG
Tino,Bettoni,ITA,167,00:25:10,00:00:00,00:25:45,00:00:00,00:32:41,3,01:23:37,55-59 Male AG
Bruno,Reale,ITA,169,00:28:51,00:00:00,00:31:58,00:00:00,00:39:25,4,01:40:15,55-59 Male AG
Vladi,Vardiero,ITA,170,00:29:58,00:00:00,00:31:56,00:00:00,00:54:54,5,01:56:48,55-59 Male AG
Vladimir,Sapozhnikov,RUS,171,00:00:00,00:00:00,00:41:25,00:00:00,00:00:00,DNS,00:00:00,55-59 Male AG
Nadia,Dal Ben,ITA,113,00:27:15,00:00:00,00:40:50,00:00:00,00:42:10,1,01:50:16,60-64 Female AG
Giovanni,Redaelli,ITA,177,00:25:04,00:00:00,00:26:32,00:00:00,00:37:04,1,01:28:41,60-64 Male AG
Reinhardt,Engert,GER,178,00:25:20,00:00:00,00:29:27,00:00:00,00:35:55,2,01:30:43,60-64 Male AG
Diego,Cicerale ,ITA,175,00:24:12,00:00:00,00:30:36,00:00:00,00:41:03,3,01:35:51,60-64 Male AG
Peter,Grünebach,GER,179,00:26:46,00:00:00,00:32:51,00:00:00,00:39:15,4,01:38:53,60-64 Male AG
Maurizio,Borgonovo,ITA,174,00:27:05,00:00:00,00:30:57,00:00:00,00:42:25,5,01:40:27,60-64 Male AG
Curt,Maier,AUT,181,00:29:17,00:00:00,00:31:51,00:00:00,00:40:47,1,01:41:54,65-69 Male AG
Lino,Cortellazzo,ITA,182,00:37:53,00:00:00,00:44:27,00:00:00,00:55:59,1,02:18:19,70-74 Male AG
Reinhold,Wolter,GER,183,00:38:02,00:00:00,00:47:34,00:00:00,01:06:29,1,02:32:05,75-79 Male AG
Andreas,Svanebo,SWE,15,00:24:02,00:00:00,00:27:57,00:00:00,00:28:46,1,01:20:47,Elite Men
Daniel,Antonioli,ITA,1,00:24:01,00:00:00,00:28:56,00:00:00,00:28:25,2,01:21:22,Elite Men
Nicolas,Lebrun,FRA,10,00:24:00,00:00:00,00:27:40,00:00:00,00:30:12,3,01:21:52,Elite Men
Maxim,Kuzmin,RUS,21,00:23:56,00:00:00,00:28:55,00:00:00,00:30:34,4,01:23:26,Elite Men
Jon,Erguin,ESP,8,00:26:16,00:00:00,00:26:39,00:00:00,00:31:49,5,01:24:44,Elite Men
Markus,Rothberger,AUT,17,00:25:31,00:00:00,00:28:41,00:00:00,00:30:57,6,01:25:09,Elite Men
Evgeny,Kirillov,RUS,6,00:23:58,00:00:00,00:29:07,00:00:00,00:32:28,7,01:25:33,Elite Men
Pavel,Andreev,RUS,5,00:24:02,00:00:00,00:29:40,00:00:00,00:31:55,8,01:25:37,Elite Men
Alberto,Comazzi,ITA,4,00:25:31,00:00:00,00:29:06,00:00:00,00:31:02,9,01:25:40,Elite Men
Kristian,Monsen,NOR,2,00:24:14,00:00:00,00:30:37,00:00:00,00:31:30,10,01:26:21,Elite Men
Silvio,Wieltschnig,AUT,19,00:24:56,00:00:00,00:29:51,00:00:00,00:32:04,11,01:26:51,Elite Men
Walter,Polla,ITA,12,00:26:03,00:00:00,00:30:05,00:00:00,00:31:57,12,01:28:05,Elite Men
Dmitriy,Bregeda,RUS,18,00:24:55,00:00:00,00:31:51,00:00:00,00:31:38,13,01:28:25,Elite Men
Oivind,Bjerkseth,NOR,9,00:26:18,00:00:00,00:29:21,00:00:00,00:33:32,14,01:29:12,Elite Men
Pavel,Jindra,CZE,20,00:26:02,00:00:00,00:30:44,00:00:00,00:34:07,15,01:30:54,Elite Men
Gabriele,Carretta,ITA,22,00:26:21,00:00:00,00:33:30,00:00:00,00:31:43,16,01:31:35,Elite Men
Pavol,Gabor,SVK,7,00:26:55,00:00:00,00:32:02,00:00:00,00:34:37,17,01:33:34,Elite Men
Davide,Gabardo,ITA,14,00:25:58,00:00:00,00:34:45,00:00:00,00:33:40,18,01:34:23,Elite Men
Nicholas ,Dawes,GBR,23,00:26:57,00:00:00,00:42:37,00:00:00,00:39:46,19,01:49:20,Elite Men
Helena,Erbenova,CZE,40,00:27:47,00:00:00,00:35:17,00:00:00,00:34:51,1,01:37:55,Elite Women
Borghild,Løvset,NOR,34,00:29:03,00:00:00,00:34:44,00:00:00,00:37:45,2,01:41:32,Elite Women
Andrea,Huser,SUI,35,00:29:18,00:00:00,00:37:00,00:00:00,00:37:38,3,01:43:57,Elite Women
Yulia,Surikova,RUS,32,00:29:31,00:00:00,00:40:16,00:00:00,00:39:00,4,01:48:48,Elite Women
Simone,Steinecker,AUT,39,00:30:46,00:00:00,00:40:16,00:00:00,00:40:14,5,01:51:17,Elite Women
Tatiana,Charochkina,RUS,31,00:31:23,00:00:00,00:43:00,00:00:00,00:39:35,6,01:53:58,Elite Women
Enrica,Perico,ITA,38,00:32:00,00:00:00,00:46:05,00:00:00,00:39:55,7,01:58:00,Elite Women
Alexandra,Borrelly,FRA,37,00:31:51,00:00:00,00:43:50,00:00:00,00:49:21,8,02:05:02,Elite Women
Federica,Ferrari,ITA,33,00:34:52,00:00:00,00:50:27,00:00:00,00:54:12,9,02:19:32,Elite Women
Pavel,Eliseev,RUS,55,00:14:05,00:00:00,00:24:13,00:00:00,00:18:54,1,00:57:12,Junior Men
Zhorzh,Basyuk,RUS,52,00:14:04,00:00:00,00:24:51,00:00:00,00:20:14,2,00:59:09,Junior Men
Alessandro,Saravalle,ITA,58,00:14:33,00:00:00,00:25:20,00:00:00,00:21:40,3,01:01:34,Junior Men
Didac,Marza Bedos,ESP,53,00:14:22,00:00:00,00:26:53,00:00:00,00:26:49,4,01:08:04,Junior Men
Guglielmo,Hinrichsen,ITA,57,00:14:26,00:00:00,00:30:01,00:00:00,00:28:23,5,01:12:53,Junior Men
Fabio,Barsi,ITA,51,00:16:07,00:00:00,00:34:09,00:00:00,00:29:44,6,01:20:00,Junior Men
Oriol,Asensio Ribera,ESP,56,00:14:36,00:00:00,00:32:51,00:00:00,00:38:47,7,01:26:14,Junior Men
Tatiana,Loginova,RUS,61,00:16:25,00:00:00,00:33:30,00:00:00,00:24:06,1,01:14:02,Junior Women
Tatiana,Vancova,SVK,62,00:20:29,00:00:00,00:36:48,00:00:00,00:30:57,2,01:28:15,Junior Women
Ilaria,Titone,ITA,63,00:17:59,00:00:00,00:38:52,00:00:00,00:40:50,3,01:37:41,Junior Women
Pavel,Yakimov,RUS,25,00:25:32,00:00:00,00:29:32,00:00:00,00:29:57,1,01:25:01,U23 Men
Pavel,Khanzhin,RUS,26,00:25:29,00:00:00,00:31:17,00:00:00,00:33:02,2,01:29:49,U23 Men
Martin,Husek,CZE,24,00:28:33,00:00:00,00:31:19,00:00:00,00:32:08,3,01:32:01,U23 Men
Julian,Erhardt,GER,29,00:25:04,00:00:00,00:34:06,00:00:00,00:34:35,4,01:33:45,U23 Men
Felix,Waldhuber,AUT,27,00:27:19,00:00:00,00:32:45,00:00:00,00:34:21,5,01:34:25,U23 Men
Michael,Ager,GER,28,00:25:37,00:00:00,00:33:42,00:00:00,00:39:05,6,01:38:24,U23 Men
Michael,Gschwendner,GER,30,00:27:01,00:00:00,00:44:39,00:00:00,00:37:25,7,01:49:06,U23 Men
Romana,Slavinec,AUT,48,00:29:10,00:00:00,00:39:00,00:00:00,00:35:57,1,01:44:07,U23 Women
Tone,Dalen,NOR,46,00:32:35,00:00:00,00:45:34,00:00:00,00:40:26,2,01:58:35,U23 Women
Margarita,Ovsyannikva,RUS,45,00:32:23,00:00:00,00:47:16,00:00:00,00:54:29,3,02:14:09,U23 Women
