График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.
17,"ЕТ ""ТАМАРА ГОРАНОВА"" ",2201111533,СЗОК / 1,1,2014-07-01 00:00:00,14:15:00
18,"ЕТ ""Д-Р ВАЛЕНТИНА ЙОСИФОВА - ПИПДП""",2202111515,СЗОК / 1,1,2014-07-01 00:00:00,14:30:00
19,"ЕТ ""АПИП Д-Р ЗОЕВА - ТРАЯНА ИЛИЕВА"" ",2218111007,СЗОК / 1,1,2014-07-01 00:00:00,14:45:00
20,"ЕТ ""АИППМП-Д-Р ДИМИТЪР ЗАЕКОВ""",2218111009,СЗОК / 1,1,2014-07-01 00:00:00,15:00:00
21,"ЕТ ""ДОКТОР НАТАЛИЯ ПЕЛОВА - ИППМП "" ",2209111008,СЗОК / 1,1,2014-07-01 00:00:00,15:15:00
22,"ЕТ ""АПМП - Д-Р СТОИМЕН  СТОИМЕНОВ""",2210111002,СЗОК / 1,1,2014-07-01 00:00:00,15:30:00
23,"ЕТ ""АПМП-ИППМП - Д-Р АНЕЛА ЛЕШКОВА""",2202111584,СЗОК / 1,1,2014-07-01 00:00:00,15:45:00
24,"ЕТ ""Д-Р ЗОРИЦА ПАПАЗЯН - АИППМП"" ",2209111018,СЗОК / 1,1,2014-07-01 00:00:00,16:00:00
25,"ЕТ ""МЕДИКС - Д-Р САШКА ЙОРДАНОВА - ИППМП"" ",2202111168,СЗОК / 1,1,2014-07-01 00:00:00,16:15:00
26,"ЕТ "" АПИМП - ИП - Д-Р РУМЯНА  АЛЕКСИЕВА"" ",2210111509,СЗОК / 1,1,2014-07-01 00:00:00,16:30:00
27,"ЕТ ""ЛЗ ОИП - Д-Р МАРИО  ДАЦОВ""",2218111008,СЗОК / 1,1,2014-07-01 00:00:00,16:45:00
28,АПМП-ИППМП - Д-Р МИЛАДИН ЙОСИФОВ  ГАНЕВ,2218111115,СЗОК / 1,1,2014-07-01 00:00:00,17:00:00
29,"ЕТ ""ЕКАТЕРИНА ТОДОРОВА - ИППИМП""",2202111521,СЗОК / 1,1,2014-07-01 00:00:00,17:15:00
30,"Д-Р ЛЮБОМИР ДИМИТРОВ ДИМИТРОВ ""АПМП-ИППМП""",2209111022,СЗОК / 1,1,2014-07-01 00:00:00,17:30:00
31,"ЕТ ""АИППМП- МЕДИКА - Д-Р ХРИСТИНА  ПЕТКОВА"" ",2211111512,СЗОК / 1,1,2014-07-02 00:00:00,09:00:00
32,Д-Р МИЛА КАМЕНОВА АЙКОВА - ТОДОРОВА,2210111555,СЗОК / 1,1,2014-07-02 00:00:00,09:15:00
33,"ЕТ""ДОКТОР МАРГАРИТА АЛЕКСАНДРОВА -ИППМП "" ",2209111007,СЗОК / 1,1,2014-07-02 00:00:00,09:45:00
34,"ЕТ ""Д-Р ВИОЛЕТА  ПЕТРОВА - ИППМП"" ",2217111001,СЗОК / 1,1,2014-07-02 00:00:00,10:00:00
35,"ЕТ ""Д-Р КАТЕРИНА ТОТЕВСКА - АИППМП"" ",2217111008,СЗОК / 1,1,2014-07-02 00:00:00,10:15:00
36,"ЕТ ""Д-Р ЗОЯ  СТОЯНОВА - ИППМП"" ",2218111517,СЗОК / 1,1,2014-07-02 00:00:00,10:30:00
37,"ЕТ ""Д-Р СОКОЛОВА-Д-Р ФИЛИЗ СОКОЛОВА-АИППМП""",2209111518,СЗОК / 1,1,2014-07-02 00:00:00,10:45:00
38,"ЕТ ""Д-Р РУМЯНА  РОВЕЛОВА - АИППМП"" ",2218111015,СЗОК / 1,1,2014-07-02 00:00:00,11:00:00
39,"ЕТ ""Д-Р САШКА ГЕОРГИЕВА -  АПМП-ИППМП""",2202111538,СЗОК / 1,1,2014-07-02 00:00:00,11:15:00
40,"ЕТ ""Д-Р СОНЯ АСЕНОВА - АИППМП""",2217111518,СЗОК / 1,1,2014-07-02 00:00:00,11:30:00
41,"ЕТ ""ТАТЯНА ТОТЕВА - МЕД. УСЛУГИ - ИМП - ИП""",2202111514,СЗОК / 1,1,2014-07-02 00:00:00,11:45:00
42,"ЕТ ""СВЕТЛА ИЛИЕВА 99""",2202111532,СЗОК / 1,1,2014-07-02 00:00:00,12:00:00
43,"ЕТ ""Д-Р СВЕТЛА  ГИГОВА-АИППМП"" ",2202111534,СЗОК / 1,1,2014-07-02 00:00:00,12:45:00
44,"ЕТ ""Д-Р ВЕЛИНА ТОДОРОВА - АИППМП""",2202111511,СЗОК / 1,1,2014-07-02 00:00:00,13:00:00
45,"ЕТ ""Д-Р НЕЛИ БАЛАБАНОВА - АИППМП""",2202111507,СЗОК / 1,1,2014-07-02 00:00:00,13:15:00
46,"""МЕДИКОКОНСУЛТ - Д-Р ВИОЛЕТА ШИМАНОВА - АПМП"" ЕТ",2210111504,СЗОК / 1,1,2014-07-02 00:00:00,13:30:00
47,"ЕТ ""ИППМП-КРИСТИНА - Д-Р МАРИЯНА ЛЮБЕНОВА"" ",2210111501,СЗОК / 1,1,2014-07-02 00:00:00,13:45:00
48,"ЕТ ""АИППМП - Д-Р ВАНЯ  ЛЮБЕНОВА-ПЕЙНЕШКА""",2202111528,СЗОК / 1,1,2014-07-02 00:00:00,14:00:00
49,"ЕТ ""Д-Р ЮЛИЯ АЛЕКСАНДРОВА - АПМП - ИП""",2202111522,СЗОК / 1,1,2014-07-02 00:00:00,14:15:00
50,"ЕТ ""Д-Р ЕВГЕНИЙ БАЕВ - АПМП-ИППМП""",2218111505,СЗОК / 1,1,2014-07-02 00:00:00,14:30:00
51,"ЕТ ""Д-Р ЕЛЕНА СТАНЧЕВА - АИПМП"" ",2210111535,СЗОК / 1,1,2014-07-02 00:00:00,14:45:00
52,АПМП-ИП Д-Р ЦВЕТКО ЛАЛЕВ ПОПОВ,2217111513,СЗОК / 1,1,2014-07-02 00:00:00,15:00:00
53,"ЕТ ""Д-Р СИЛВИЯ БАЛДЖИЙСКА - АИППМ """,2217111018,СЗОК / 1,1,2014-07-02 00:00:00,15:15:00
54,Д-Р РОСИЦА ЛИБКНЕХТ ДИМИТРОВА,2202111581,СЗОК / 1,1,2014-07-02 00:00:00,15:30:00
55,Д-Р ПЕТЯ КИРИЛОВА ТОДОРОВА - ИППМП,2209111506,СЗОК / 1,1,2014-07-02 00:00:00,15:45:00
56,"ЕТ ""Д-Р ДИМИТРИНКА МАДЖАРОВА  - АПМП-ИППМП""",2210111536,СЗОК / 1,1,2014-07-02 00:00:00,16:00:00
57,"ЕТ ""ПАНАЦЕЯ 99-Д-Р СТАНИСЛАВ МАЛАМОВ-АИППМП""",2210111529,СЗОК / 1,1,2014-07-02 00:00:00,16:15:00
58,"""САНУС - АИППМП"" ЕООД",2210111539,СЗОК / 1,1,2014-07-02 00:00:00,16:30:00
59,Д-Р ЕМИЛИЯ ЛЮБЕНОВА ДОНЧЕВА-АИППМП,2217111523,СЗОК / 1,1,2014-07-02 00:00:00,16:45:00
60,"ЕТ ""АПМП-ИППМП - Д-Р ИВАНКА КОСЕВА""",2202111501,СЗОК / 1,1,2014-07-02 00:00:00,17:00:00
61, Д-Р НИКОЛА  ИВАНОВ НАЦЕВ-ИППМП,2217111514,СЗОК / 1,1,2014-07-02 00:00:00,17:15:00
62,ИППМП-Д-Р СОНЯ БОЯДЖИЕВА,2209111517,СЗОК / 1,1,2014-07-02 00:00:00,17:30:00
63,"""АГППМП - ЗДРАВЕ-14"" ООД",2210113001,СЗОК / 1,1,2014-07-03 00:00:00,09:15:00
64," ""МЕДИАРМ"" ООД",2210113501,СЗОК / 1,1,2014-07-03 00:00:00,11:30:00
65," ""МЕДИКА 2000-ГППМП"" ООД",2202113002,СЗОК / 1,1,2014-07-03 00:00:00,14:30:00
66,"ЕТ ""Д-Р АНТОАНЕТА ЗАФИРОВА - АИППМП""",2217111004,СЗОК / 1,2,2014-07-01 00:00:00,09:00:00
67,"""Д-Р ПЛАМЕН ЗОГРАФСКИ - АИППМП"" - ЕТ",2217111019,СЗОК / 1,2,2014-07-01 00:00:00,09:13:00
68,"ЕТ ""ДОКТОР ДЕНИЦА ДАСКАЛОВА - АИПМП"" ",2210111553,СЗОК / 1,2,2014-07-01 00:00:00,09:26:00
69,"ЕТ ""Д-Р ГЕОРГИ  СИБИРСКИ - ИП""",2202111566,СЗОК / 1,2,2014-07-01 00:00:00,09:39:00
70,"ЕТ ""Д-Р БОНКА НИКОЛОВА - АИППМП""",2210111528,СЗОК / 1,2,2014-07-01 00:00:00,09:52:00
71,"ЕТ"" Д-Р ПЛАМКА ВЛАДИМИРОВА - ИППМП""",2218111012,СЗОК / 1,2,2014-07-01 00:00:00,10:05:00
72,"ЕТ ""Д-Р ВАЛЕНТИНА РАЙШЕР-АИППМП""",2218111112,СЗОК / 1,2,2014-07-01 00:00:00,10:13:00
73,"ЕТ ""ИЛИЯНА ДОНКОВСКА - АИППМП"" ",2218111017,СЗОК / 1,2,2014-07-01 00:00:00,10:30:00
74,"ЕТ ""АПМП Д-Р ЕЛКА ЛАЗАРОВА""",2210111524,СЗОК / 1,2,2014-07-01 00:00:00,10:43:00
75,"ЕТ ""КЕЯ-КАТЯ ЯНЕВА-АИППМП "" ",2209111015,СЗОК / 1,2,2014-07-01 00:00:00,10:56:00
76,"ЕТ ""ДОРАОБ - Д-Р ДОРА ОБЛАКОВА - ИППМП"" ",2209111019,СЗОК / 1,2,2014-07-01 00:00:00,11:09:00
77,"ЕТ ""АПМП - ИП - ПУЛС - МИРОСЛАВ ДИМИТРОВ "" ",2209111017,СЗОК / 1,2,2014-07-01 00:00:00,11:22:00
78,Д-Р МАРГАРИТА ХРИСТОВА ГЕОРГИЕВА АПМП-ИППМП,2202111556,СЗОК / 1,2,2014-07-01 00:00:00,11:35:00
79,"ЕТ ""АПМП - ИППМП - Д-Р МАРГАРИТА КАСАМАКОВА"" ",2217111007,СЗОК / 1,2,2014-07-01 00:00:00,11:48:00
80,"ЕТ ""ИППМП - Д-Р ХРИСТО КИРИЛОВ""",2202111518,СЗОК / 1,2,2014-07-01 00:00:00,13:00:00
81,"ЕТ ""Д-Р ПЛАМЕН ИЛИЕВ СМОЛЕЦОВ - АПМП""",2210111510,СЗОК / 1,2,2014-07-01 00:00:00,13:13:00
82,"ЕТ ""Д-Р ПЕТЯ ЦВЕТКОВА - ИППМП"" ",2202111551,СЗОК / 1,2,2014-07-01 00:00:00,13:26:00
83,"ЕТ ""Д-Р ВАСКА  СТАНЧЕВА - АИППМП"" ",2202111526,СЗОК / 1,2,2014-07-01 00:00:00,13:39:00
84,"ЕТ ""ИННА  ЗАРЕВА  АПМП-ИППМП""",2203111547,СЗОК / 1,2,2014-07-01 00:00:00,14:18:00
85,"""АПМП-ИППМП""  Д-Р ЛИЛИЯ ГЕОРГИЕВА МЕТОДИЕВА",2209111024,СЗОК / 1,2,2014-07-01 00:00:00,14:31:00
86,"ЕТ ""Д-Р ЛОРИАНА КАМЕНОВА-АИППМП""",2218111221,СЗОК / 1,2,2014-07-01 00:00:00,14:44:00
87,"ЕТ ""Д-Р ЕЛИСАВЕТА  МАСЛЕВА-АИППМП""",2218111011,СЗОК / 1,2,2014-07-01 00:00:00,14:57:00
88,АКЕСО и КО ЕООД,2217111526,СЗОК / 1,2,2014-07-01 00:00:00,15:10:00
89,Д-Р МИХАИЛ БУДИНОВ МИХОВ,2202111592,СЗОК / 1,2,2014-07-01 00:00:00,15:15:00
90,"ЕТ ""ЕМИ МЕДИКЪЛ - Д-Р ЕМИЛИЯ МАВРОВА - АИППМП""",2217111002,СЗОК / 1,2,2014-07-01 00:00:00,15:28:00
91,"ЕТ ""Д-Р ГЕОРГИ  ГЮЗЛИЕВ-АПМП-ИП""",2218111110,СЗОК / 1,2,2014-07-01 00:00:00,15:43:00
92,"ЕТ ""Д-Р ВЕСЕЛИН ВЕСЕЛИНОВ-АИППМП""",2218111006,СЗОК / 1,2,2014-07-01 00:00:00,15:56:00
93,"ЕТ ""ИППМП - Д-Р МАРГАРИТА ШАРКОВА""",2202111575,СЗОК / 1,2,2014-07-01 00:00:00,16:09:00
94,"""АГППМП  ХАРВЕСТ  2001"" ООД",2210113502,СЗОК / 1,2,2014-07-01 00:00:00,16:22:00
95,"ЕТ ""ИППМП-Д-Р КРИСТИНА ГЕОРГИЕВА-2000""",2202111563,СЗОК / 1,2,2014-07-01 00:00:00,16:35:00
96,"""ГППМП АЛФАМЕДИКА"" ООД",2209113501,СЗОК / 1,2,2014-07-01 00:00:00,17:07:00
97,"ЕТ  ""ДЕНКЧИ-ДОБРИНКА ГЕОРГИЕВА "" ",2209111014,СЗОК / 1,2,2014-07-02 00:00:00,09:00:00
98,"ЕТ ""Д-Р ГАЛИНА ЦВЕТКОВА - АПМП-ИППМП"" ",2209111009,СЗОК / 1,2,2014-07-02 00:00:00,09:13:00
99,"ЕТ ""Д-Р КРАСИМИРА АЛЕКСИЕВА - ИИППМП "" ",2209111011,СЗОК / 1,2,2014-07-02 00:00:00,09:26:00
100,"ЕТ ""АПМП - ИП - Д-Р МАРТИН  ЛЕФТЕРОВ""",2202111527,СЗОК / 1,2,2014-07-02 00:00:00,09:39:00
101,"ЕТ ""МЕДИКА 2000 - Д-Р МАРИАНА СТОЯНОВА-ИППМП"" АПМП-ИППМП",2202111570,СЗОК / 1,2,2014-07-02 00:00:00,09:52:00
102,"ЕТ ""Д-Р ТОДОР БИБОВ - АПМП""",2218111114,СЗОК / 1,2,2014-07-02 00:00:00,10:05:00
103,"ЕТ ""Д-Р ВАНЯ БОЖИНОВА"" АПМП-ИППМП",2202111505,СЗОК / 1,2,2014-07-02 00:00:00,10:18:00
104,"ЕТ ""Д-Р ВАЛЕРИЯ  СТОЯНОВСКА - АИППМП""",2202111513,СЗОК / 1,2,2014-07-02 00:00:00,10:31:00
105, ЕТ „Д-Р КРАСИМИР ИЛИЕВ - ИППМП”,2210111558,СЗОК / 1,2,2014-07-02 00:00:00,10:44:00
106,"ЕТ ""Д-Р ВЛАДИМИР ПЕЧЕВ - ИППМП"" ",2209111502,СЗОК / 1,2,2014-07-02 00:00:00,10:57:00
107,"ЕТ ""АПИМП Д-Р МАРИЕЛА ПЕТРОВА""",2218111018,СЗОК / 1,2,2014-07-02 00:00:00,11:10:00
108,"ЕТ ""АПИМП - Д-Р ВИОЛЕТА ДОЙЧЕВА"" ",2218111021,СЗОК / 1,2,2014-07-02 00:00:00,11:23:00
109,"ЕТ ""АИПМП-ДЕМО-МЕДИКА-Д-Р ПЛАМЕН  ТОПАЛОВ""",2202111504,СЗОК / 1,2,2014-07-02 00:00:00,11:36:00
110,"ЕТ ""Д-Р МИЛА ДУКОВА -  АИППМП""",2202111540,СЗОК / 1,2,2014-07-02 00:00:00,11:49:00
111,"""АПИМП - ГП - МЕДИКО - ВИТА""  ООД",2202113003,СЗОК / 1,2,2014-07-02 00:00:00,13:00:00
112,"ЕТ ""Д-Р ГИНКА СТОЯНОВА - АИППМП"" ",2217111005,СЗОК / 1,2,2014-07-02 00:00:00,14:05:00
113,"ЕТ ""ПОЛИТЕРАПИЯ - Д-Р МАРИАНА ИВАНОВА"" ",2217111011,СЗОК / 1,2,2014-07-02 00:00:00,14:18:00
114,"ЕТ ""Д-Р ИВА МИРЧАНОВА - АИППМП""",2209111505,СЗОК / 1,2,2014-07-02 00:00:00,14:31:00
115,"ЕТ ""АПМП - Д-Р ТАТЯНА ЛЮБЕНОВА ДИМИТРОВА""",2202111574,СЗОК / 1,2,2014-07-02 00:00:00,14:44:00
116,"ЕТ ""ДИАГНОСТИКА И ЛЕЧЕНИЕ - Д-Р СИЛВИЯ КИРИЛОВА"" ",2210111534,СЗОК / 1,2,2014-07-02 00:00:00,14:57:00
117,"ЕТ ""Д-Р ДИАНА СИРАКОВА - АПМПИП "" ",2209111002,СЗОК / 1,2,2014-07-02 00:00:00,15:10:00
118,"ЕТ ""ИППМП Д-Р КРЪСТИНА НИКОЛОВА"" ",2218111520,СЗОК / 1,2,2014-07-02 00:00:00,15:17:00
119,"ЕТ ""Д-Р ВАНЯ ШАПКАРОВА-АИПМП""",2217111521,СЗОК / 1,2,2014-07-02 00:00:00,15:30:00
120,"ЕТ ""АПМП - ИП-ПЕТЪР САМАРЕВ"" ",2210111102,СЗОК / 1,2,2014-07-02 00:00:00,15:43:00
121,"ЕТ ""АПМП - ИП - Д-Р ГЕОРГИ СТОЙКОВ""",2202111503,СЗОК / 1,2,2014-07-02 00:00:00,15:56:00
122,"ЕТ ""ПАУНОВ - СВЕТОСЛАВ ТОДОРОВ - ИППМП""",2202111531,СЗОК / 1,2,2014-07-02 00:00:00,16:09:00
123,"ЕТ ""Д-Р ТЕОДОР ИЗДИМИРСКИ - ИППМП""",2218111516,СЗОК / 1,2,2014-07-02 00:00:00,16:22:00
124,"ЕТ ""АПМП-ИППМП - Д-Р СНЕЖАНА ЙОРДАНОВА""",2217111512,СЗОК / 1,2,2014-07-02 00:00:00,16:35:00
125,"ЕТ ""Д-Р РЕНИ ПАТАРИНСКА-АПМП-ИП""",2217111507,СЗОК / 1,2,2014-07-02 00:00:00,16:48:00
126,"ЕТ ""АПМП-ИППМП - Д-Р СНЕЖАНА  ДИМИТРОВА - ЛИСИЧКА""",2202111541,СЗОК / 1,2,2014-07-02 00:00:00,17:00:00
127,"ЕТ ""АПМП-ИППМП - Д-Р ИРЕНА  БУЛЯШКА - СТОЯНОВА""",2202111542,СЗОК / 1,2,2014-07-02 00:00:00,17:14:00
128,"""АГППМП - ХЕМА-18""  ООД",2210113002,СЗОК / 1,2,2014-07-03 00:00:00,09:00:00
129,"ЕТ ""Д-Р АЛБЕНА  ХЛЕБАРОВА - АИПМП"" ",2218111020,СЗОК / 1,2,2014-07-03 00:00:00,11:49:00
130,"ЕТ ""МЕДИКА - ДИМИТЪР ПОПОВ АПМП-ИППМП"" ",2202111174,СЗОК / 1,2,2014-07-03 00:00:00,13:00:00
131," ""АГППМП  МЕДИКА - 16"" ООД",2202113001,СЗОК / 1,2,2014-07-03 00:00:00,13:15:00
132,"ЕТ ""МАЙЯ  НИКОЛОВА - АПМП - ИППМП"" ",2202111555,СЗОК / 1,2,2014-07-03 00:00:00,16:15:00
133,  Д-Р ЕЛЕНА ЗАНЕВА - АИППИМП,220211595,СЗОК / 1,2,2014-07-03 00:00:00,16:30:00
134,"ЕТ ""КАТЯ СТОЯНОВА - ИППМП"" ",2210111533,СЗОК / 1,2,2014-07-03 00:00:00,16:41:00
135,"""АПМПИППМП"" - Д-Р  ИВАН ПЕТРОВ ЛЮБЕНОВ",2218111514,СЗОК / 1,2,2014-07-03 00:00:00,16:54:00
,,,,,,
,"ИЗГОТВИЛ:
Н-К СЕКТОР ""ОФИС №1"" ",,,,,
,,,,,,
,                       КРАСИМИР ДРАГАНОВ,,,,,
