Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,13.0,24.0,41.0,34.0,94.0,273.0,1010.0,1746.0,6456.0,15655.0,18474.0,14320.0,6677.0,4817.0,2666.0,72306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,11.0,30.0,86.0,128.0,272.0,346.0,641.0,1173.0,1731.0,2268.0,1891.0,1710.0,842.0,11141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,6.0,5.0,6.0,18.0,62.0,349.0,623.0,651.0,520.0,388.0,316.0,181.0,3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,10.0,19.0,42.0,101.0,83.0,137.0,266.0,314.0,339.0,264.0,341.0,224.0,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,11.0,23.0,40.0,38.0,129.0,118.0,316.0,589.0,730.0,838.0,508.0,489.0,232.0,4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,0,0.0,0.0,1.0,1.0,4.0,2.0,9.0,48.0,37.0,37.0,33.0,117.0,222.0,526.0,726.0,1387.0,2438.0,2939.0,3896.0,2498.0,1804.0,1175.0,17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,32.0,18.0,40.0,40.0,96.0,108.0,219.0,239.0,490.0,768.0,952.0,995.0,736.0,763.0,494.0,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,6.0,18.0,32.0,69.0,78.0,148.0,336.0,383.0,362.0,282.0,340.0,216.0,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,4.0,18.0,44.0,65.0,71.0,125.0,286.0,428.0,448.0,352.0,437.0,313.0,2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,18.0,26.0,25.0,33.0,58.0,43.0,193.0,212.0,154.0,429.0,679.0,1151.0,1089.0,1205.0,835.0,6158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,9.0,34.0,66.0,174.0,480.0,781.0,1692.0,2746.0,2384.0,2259.0,1620.0,1476.0,943.0,14671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,19.0,11.0,18.0,33.0,59.0,229.0,541.0,1559.0,2914.0,3693.0,3844.0,2847.0,2404.0,1234.0,19418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,6.0,21.0,73.0,118.0,219.0,320.0,410.0,468.0,335.0,365.0,250.0,2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,33.0,73.0,144.0,284.0,380.0,829.0,1170.0,1521.0,2423.0,2826.0,1941.0,1002.0,768.0,508.0,13914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,6.0,6.0,14.0,27.0,61.0,187.0,451.0,474.0,794.0,1071.0,1016.0,1102.0,777.0,1008.0,435.0,7440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,7.0,13.0,41.0,57.0,229.0,231.0,537.0,1373.0,1489.0,1475.0,966.0,911.0,603.0,7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,10.0,9.0,33.0,37.0,50.0,232.0,389.0,478.0,379.0,518.0,370.0,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,10.0,4.0,10.0,24.0,28.0,41.0,56.0,100.0,168.0,208.0,430.0,309.0,327.0,164.0,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,1,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,10.0,19.0,44.0,70.0,141.0,207.0,271.0,546.0,859.0,1371.0,1896.0,1487.0,1846.0,1209.0,9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,7.0,11.0,14.0,23.0,34.0,47.0,43.0,35.0,48.0,17.0,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,4.0,22.0,44.0,72.0,122.0,169.0,203.0,256.0,244.0,201.0,229.0,107.0,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
