ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Sep99,Sep00,Sep01,Sep02,Sep03,Sep04,Sep05,Sep06,Sep07,Sep08,Sep09,Sep10,Sep11,Sep12,Sep13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,29.099999999999998,39.050000000000004,13.15,37.22,39.97,43.59,56.07,80.21000000000001,161.81,149.93,142.72,155.07,176.38,175.29,111.80000000000001,77.48,		,40.96,26.6,31,23.28,35.64,28.16,43.480000000000004,27.48,40.760000000000005,27.560000000000002,16.400000000000002,24.44,38.96,33.160000000000004,40.12,27.68,33.36,28.720000000000002,42.120000000000005,29.720000000000002,40.6,47.64,33.800000000000004,26.44,63.160000000000004,53.879999999999995,54.6,63.239999999999995,103.56,104.71999999999998,83.72,101.84,146.92000000000002,158.48,142.83999999999997,145.84,178.96,151.6,146.84,131.24,172.2,143.16,145.08,163.52,186.95999999999998,163.84,139.48000000000002,150.24,193.48000000000002,166.48000000000002,135.32,141.84,187.72,150,171.44,149.64,183.72,69.32000000000001,56.84,77.48
Debt to Equity,3.36,1.464,0.563,0.548,0.445,0.332,0.223,0.265,0.396,0.439,0.434,0.455,0.476,0.569,0.602,0.81,		,4.186,3.961,3.36,3.808,2.196,2.174,1.464,2.147,0.828,1.591,0.563,0.682,0.505,0.482,0.548,0.644,0.558,0.592,0.445,0.429,0.412,0.331,0.332,0.291,0.23,0.205,0.223,0.244,0.242,0.256,0.265,0.308,0.293,0.325,0.396,0.434,0.416,0.453,0.439,0.437,0.421,0.428,0.434,0.502,0.48,0.464,0.455,0.474,0.429,0.425,0.476,0.664,0.639,0.64,0.569,0.597,0.595,0.577,0.602,0.81
Gross Margin %,4.8500000000000005,4.47,4.32,4.4799999999999995,4.49,4.08,3.63,3.65,3.52,2.92,2.93,3.02,3.1300000000000003,3.37,2.85,2.36,		,5.2299999999999995,4.58,4.9,4.2299999999999995,4.64,4.43,4.58,4.17,4.34,4.12,4.53,4.26,4.7,4.390000000000001,4.5600000000000005,4.19,4.78,4.51,4.4799999999999995,3.94,4.35,4.3999999999999995,3.6700000000000004,3.38,3.8,3.63,3.75,3.61,3.6799999999999997,3.55,3.74,3.56,3.6700000000000004,3.63,3.2199999999999998,2.8000000000000003,3.1300000000000003,2.77,3.0700000000000003,2.83,3.19,2.82,2.88,2.91,3.17,3,3.01,2.92,3.4799999999999995,3.2399999999999998,2.87,2.87,3.45,3.46,3.74,3.1399999999999997,3.49,2.5700000000000003,2.32,2.36
Operating Margin %,1.77,1.72,1.6,1.59,1.79,1.7000000000000002,1.17,1.22,1.24,1.18,1.23,1.4200000000000002,1.48,1.67,1.02,0.5499999999999999,		,1.95,1.68,1.7999999999999998,1.6099999999999999,1.7999999999999998,1.63,1.8399999999999999,1.63,1.8499999999999999,1.71,1.37,1.37,1.7399999999999998,1.5699999999999998,1.67,1.51,1.94,1.8399999999999999,1.8599999999999999,1.58,1.94,1.9300000000000002,1.31,1,1.3599999999999999,1.22,1.11,1.1400000000000001,1.3,1.2,1.25,1.25,1.34,1.27,1.0999999999999999,1.11,1.3299999999999998,1.0999999999999999,1.18,1.1400000000000001,1.43,1.16,1.2,1.3599999999999999,1.6099999999999999,1.44,1.26,1.39,1.8499999999999999,1.5699999999999998,1.13,1.39,1.91,1.68,1.67,1.4200000000000002,1.71,0.61,0.47000000000000003,0.5499999999999999
Net Margin %,0.69,0.8500000000000001,0.77,0.76,0.8999999999999999,0.88,0.48,0.76,0.7100000000000001,0.36,0.7000000000000001,0.8200000000000001,0.88,0.9199999999999999,0.49,0.13999999999999999,		,0.8500000000000001,0.88,0.29,0.76,0.8500000000000001,0.86,0.9199999999999999,0.79,0.91,0.8999999999999999,0.61,0.61,0.84,0.7799999999999999,0.8200000000000001,0.75,0.96,0.91,0.98,0.8099999999999999,1.06,0.96,0.69,0.47000000000000003,0.75,0.69,0.13999999999999999,0.67,0.8500000000000001,0.76,0.7799999999999999,0.73,0.7799999999999999,0.79,0.53,0.64,0.75,-0.6,0.67,0.64,0.83,0.65,0.7000000000000001,0.7799999999999999,0.9400000000000001,0.83,0.72,0.8099999999999999,1.08,0.91,0.73,0.8,1.08,0.9400000000000001,0.86,0.8,0.22,0.77,0.21,0.13999999999999999
Total Equity to Total Asset,0.081,0.115,0.276,0.296,0.333,0.372,0.376,0.324,0.252,0.222,0.2,0.205,0.191,0.159,0.123,0.114,		,0.072,0.076,0.081,0.081,0.102,0.102,0.115,0.109,0.131,0.14,0.276,0.267,0.288,0.306,0.296,0.286,0.3,0.308,0.333,0.349,0.343,0.359,0.372,0.372,0.358,0.367,0.376,0.343,0.349,0.329,0.324,0.302,0.301,0.29,0.252,0.229,0.234,0.227,0.222,0.216,0.22,0.219,0.2,0.202,0.205,0.209,0.205,0.21,0.213,0.216,0.191,0.182,0.188,0.186,0.159,0.151,0.146,0.146,0.123,0.114
LT Debt to Total Asset,0.271,0.168,0.155,0.157,0.143,0.099,0.084,0.086,0.1,0.097,0.087,0.093,0.065,0.09,0.074,0.071,		,0.302,0.3,0.271,0.307,0.223,0.222,0.168,0.235,0.109,0.222,0.155,0.181,0.142,0.143,0.157,0.167,0.162,0.178,0.143,0.144,0.113,0.113,0.099,0.099,0.074,0.075,0.084,0.084,0.084,0.084,0.086,0.093,0.088,0.094,0.1,0.099,0.097,0.103,0.097,0.094,0.092,0.093,0.087,0.101,0.098,0.097,0.093,0.091,0.091,0.092,0.065,0.093,0.095,0.094,0.09,0.09,0.087,0.084,0.074,0.071
Asset Turnover,4.759,4.737,1.573,4.034,4.118,4.558,4.795,4.788,5.368,5.745,5.287,5.4,5.34,5.056,4.649,1.474,		,1.387,1.289,1.252,1.211,1.352,1.22,1.233,1.119,1.25,1.218,0.572,1.012,1.032,1.114,1.035,1.04,0.987,0.985,1.044,1.13,1.074,1.066,1.148,1.206,1.134,1.213,1.223,1.165,1.191,1.219,1.224,1.282,1.215,1.276,1.331,1.37,1.419,1.501,1.404,1.38,1.379,1.444,1.379,1.426,1.396,1.4,1.366,1.407,1.346,1.357,1.348,1.271,1.26,1.227,1.235,1.359,1.274,1.321,1.293,1.474
Dividend Payout Ratio,0,0,0,0.0307,0.0252,0.024,0.0392,0.0379,0.0768,0.1897,0,0.1395,0.1588,0.1702,0.4472,1.306,		,0,0,0,0,0,0,0,0,0,0,0,0.036,0.027,0.028,0.027,0.027,0.023,0.024,0.022,0.025,0.019,0.021,0.029,0.039,0.025,0.026,0.128,0.025,0.042,0.044,0.043,0.079,0.074,0.069,0.096,0.116,0.091,0,0.103,0.141,0.105,0.125,0,0.15,0.124,0.138,0.157,0.171,0.128,0.17,0.204,0.207,0.157,0.18,0.187,0.286,1.063,0.288,0.95,1.306
Days Sales Outstanding,22.8,19.56,48.3,17.93,16.9,15.54,17.66,20.44,19.18,18.1,19.92,17.92,17.31,17.69,25.11,,		,18.32,17.91,21.61,22.46,20.57,18.48,18.73,19.89,17.69,17.51,33.14,17.31,17.14,16.69,17.43,17.04,16.19,18.32,16.62,17.89,19.42,16.67,15.38,14.75,16.9,16.15,17.26,16.54,17.88,18.25,19.94,18.62,20.03,19.64,19.28,18.23,18.6,18.54,18.46,18.57,19.63,18.54,19.04,16.66,18.62,18.05,17.67,16.25,17.51,17.64,17.1,16.69,17.86,18.57,18.07,18.85,18.54,19.05,22.51,19.38
Days Inventory,48.63,51.53,119.13,45.93,44.19,36.79,27.78,27.37,23.48,22.56,26.06,25.16,25.63,26.47,29.82,27.48,		,37.93,46.58,46.13,48.29,42.74,52.91,49.4,55.06,49.74,52.74,81.91,49.62,46.21,42.38,44.69,48.75,54.21,51.63,43.47,40.18,39.95,40.8,36.28,35.81,33.16,30.95,27.2,32.03,27.03,26.89,26.72,26.11,26.33,23.71,23.53,26.13,23.84,21.41,23.05,26.81,24.86,22.52,24.89,25.99,24.25,24.39,24.79,25.64,24.79,24.06,25.25,26.87,25.61,26.57,27.14,26.61,26.02,25.13,26.58,27.48
Inventory Turnover,7.51,7.08,3.06,7.95,8.26,9.92,13.14,13.34,15.54,16.18,14.01,14.51,14.24,13.79,12.24,3.31,		,2.4,1.95,1.97,1.88,2.13,1.72,1.84,1.65,1.83,1.73,1.11,1.83,1.97,2.15,2.04,1.87,1.68,1.76,2.09,2.26,2.28,2.23,2.51,2.54,2.74,2.94,3.35,2.84,3.37,3.38,3.41,3.49,3.46,3.84,3.87,3.48,3.82,4.25,3.95,3.39,3.66,4.04,3.66,3.5,3.75,3.73,3.67,3.55,3.67,3.78,3.6,3.39,3.55,3.43,3.35,3.42,3.5,3.62,3.42,3.31
COGS to Revenue,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,		,0.95,0.95,0.95,0.96,0.95,0.96,0.95,0.96,0.96,0.96,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.98,0.98
Inventory to Revenue,0.127,0.135,0.312,0.12,0.116,0.097,0.073,0.072,0.062,0.06,0.069,0.067,0.068,0.07,0.079,0.295,		,0.395,0.488,0.482,0.508,0.448,0.556,0.518,0.58,0.523,0.556,0.859,0.522,0.484,0.445,0.469,0.513,0.567,0.542,0.456,0.424,0.42,0.429,0.384,0.38,0.351,0.328,0.288,0.339,0.286,0.285,0.283,0.277,0.279,0.251,0.25,0.279,0.254,0.229,0.245,0.286,0.265,0.241,0.266,0.277,0.258,0.26,0.264,0.274,0.263,0.256,0.27,0.287,0.272,0.282,0.287,0.283,0.276,0.269,0.285,0.295
Revenue,9807.4,11645.021,16191.353,45234.794,49584.039,53120.791,54577.321,61203.145,66074.312,70189.733,71759.99,77953.979,80003.844,78080.806,87959.167,96075.718,		,2385.171,2468.5,2579,2839.4,2842.203,2931.706,3031.73,3307.195,3480.998,3518.929,5884.231,11068.78,10944.267,11620.827,11600.92,12434.533,12162.541,12420.671,12566.294,13342.171,13351.761,13056.413,13374.231,13639.042,13190.167,13831.966,13918.353,14653.147,15220.679,15686.315,15643.004,16725.393,16512.541,16445.928,16390.45,17279.383,17846.246,17996.666,17157.846,17338.377,17311.651,18393.899,18716.063,19335.859,19300.627,19602.12,19715.373,19888.609,19760.257,20161.022,20193.956,20311.922,19708.371,19326.807,19064.443,21059.811,20523.668,21906.648,24469.04,29176.362
Cost of Goods Sold,9331.8,11124.129,15491.235,43210.32,47358.426,50954.361,52597.137,58971.33,63747.573,68142.731,69659.915,75597.337,77502.249,75446.12,85451.348,93540.50200000001,		,2260.545,2355.5,2452.7,2719.2,2710.183,2801.86,2892.884,3169.13,3329.829,3373.99,5617.654,10597.347,10429.774,11110.898,11072.301,11913.108,11581.352,11860.292,12003.674,12817.121,12771.318,12484.345,12883.536,13178.143,12688.417,13329.897,13396.579,14124.769,14659.916,15129.136,15057.509,16130.75,15906.098,15848.705,15862.02,16795.167,17287.493,17498.621,16630.393,16848.529,16759.18,17874.676,18177.53,18772.489,18688.559,19013.75,19122.539,19308.377,19072.921,19507.441,19613.51,19728.005,19028.63,18658.941,18350.626,20398.983,19806.679,21344.198,23901.488,28488.137
Gross Profit,475.6,520.892,700.118,2024.474,2225.613,2166.43,1980.184,2231.815,2326.739,2047.002,2100.075,2356.642,2501.595,2634.686,2507.819,2535.216,		,124.626,113,126.3,120.2,132.02,129.846,138.846,138.065,151.169,144.939,266.577,471.433,514.493,509.929,528.619,521.425,581.189,560.379,562.62,525.05,580.443,575.068,490.695,460.899,501.75,502.069,521.774,528.378,560.763,557.179,585.495,594.643,606.443,597.223,528.43,484.216,558.753,498.045,527.453,489.848,552.471,519.223,538.533,563.37,612.068,588.37,592.834,580.232,687.336,653.581,580.446,583.917,679.741,667.866,713.817,660.828,716.989,562.45,567.552,688.225
"Selling, General,  &Admin. Expense",281.8,303.038,408.76,1220.651,1270.287,1192.046,1256.78,1397.1,1413.103,1124.683,1120.24,1167.828,1179.234,1152.556,1333.712,1377.0720000000001,		,72.238,67.3,75.1,70.2,76.323,77.944,78.526,79.645,82.462,79.638,167.015,297.592,304.576,304.299,314.184,317.682,323.563,315.833,310.585,296.936,302.679,298.97,301.563,302.684,297.083,310.112,356.597,340.686,339.113,346.394,379.734,362.984,363.367,359.877,332.898,270.77,297.607,271.098,303.279,273.055,283.471,277.434,291.571,280.239,279.491,289.288,318.81,278.033,296.132,308.806,296.263,268.893,262.421,303.812,329.138,320.7,323.536,331.173,358.303,364.06
Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research &Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,193.8,217.85399999999998,284.09,785.006,966.572,988.0469999999999,727.828,845.639,924.6859999999999,923.7429999999999,978.065,1207.807,1297.895,1444.13,1069.192,933.521,		,51.388,46.392,51.199999999999996,50,55.696999999999996,51.902,60.32,58.42,69.724,64.979,90.967,167.543,206.678,198.91,211.875,206.89999999999998,255.295,246.447,257.93,231.007,280.611,275.231,197.839,160.532,202.578,189.387,178.308,190.29899999999998,221.15300000000002,213.79999999999998,220.387,235.63400000000001,245.88299999999998,236.93,206.239,211.083,270.187,219.234,224.96,220.54,271.453,236.53799999999998,249.534,287.586,336.41499999999996,307.863,275.943,306.625,395.64000000000004,349.171,246.459,313.301,408.779,361.386,358.68,340.997,392.21299999999997,177.64399999999998,158.338,205.32600000000002
