NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Houston Astros,HOU,36,70,0.34,405,560,37.3,68.7,0.352,31.9,74.1,0.301,376.94410847245473,588.2085550337536,34.1,71.9,0.322,376.59856387828097,558.7259003953873,-1.3,4.1,1.9,0.265,0.26,0.329,0.346
Kansas City Royals,KCA,53,51,0.51,410,405,52.6,51.4,0.506,46.5,57.5,0.447,389.33621655704917,437.39074071653636,47.4,56.6,0.455,380.9460229169706,420.09922672435334,0.4,6.5,5.6,0.262,0.261,0.479,0.499
Los Angeles Angels,LAA,48,58,0.453,477,497,50.9,55.1,0.481,53.7,52.3,0.506,498.25754374981307,491.59600868613484,52.3,53.7,0.494,518.7251561527988,525.4760505002679,-2.9,-5.7,-4.3,0.261,0.262,0.483,0.503
Los Angeles Dodgers,LAN,57,49,0.538,419,412,53.8,52.2,0.508,57.5,48.5,0.542,450.62110239828,410.7028925689229,55.8,50.2,0.526,467.9234478741606,441.7657479451499,3.2,-0.5,1.2,0.255,0.257,0.528,0.508
Milwaukee Brewers,MIL,46,62,0.426,424,488,47,61,0.436,50.2,57.8,0.465,441.8586401330073,476.4554450759837,50.7,57.3,0.469,418.75713885618427,447.2725465658818,-1,-4.2,-4.7,0.255,0.255,0.449,0.429
Minnesota Twins,MIN,45,59,0.433,418,472,46.2,57.8,0.444,46.1,57.9,0.443,432.5947053334347,488.2249541018468,46.8,57.2,0.45,427.88163700530185,475.8005399354296,-1.2,-1.1,-1.8,0.261,0.259,0.443,0.462
New York Yankees,NYA,56,51,0.523,412,418,52.8,54.2,0.493,47.7,59.3,0.446,385.51059419372154,434.903052843282,49.1,57.9,0.459,374.21465774226607,410.14507498562125,3.2,8.3,6.9,0.265,0.262,0.48,0.5
New York Mets,NYN,48,57,0.457,434,465,49.2,55.8,0.468,48.5,56.5,0.462,418.03830075471876,454.43276154434284,47.8,57.2,0.455,437.5181838267759,482.0016452095757,-1.2,-0.5,0.2,0.252,0.255,0.461,0.441
Oakland Athletics,OAK,63,45,0.583,481,417,61,47,0.565,60.5,47.5,0.56,461.8789511243542,404.1295006265262,58.6,49.4,0.543,472.4972827419746,430.00222576343344,2,2.5,4.4,0.262,0.264,0.563,0.582
Philadelphia Phillies,PHI,50,57,0.467,407,488,44.7,62.3,0.417,45.3,61.7,0.423,415.6113145525864,491.17235003380864,46.3,60.7,0.433,435.9728766646337,503.99598574673706,5.3,4.7,3.7,0.254,0.255,0.435,0.416
Pittsburgh Pirates,PIT,65,42,0.607,420,356,61.3,45.7,0.572,60.6,46.4,0.567,427.9279118091705,368.22763163433746,62,45,0.579,454.7809813969328,379.9909074859213,3.7,4.4,3,0.257,0.256,0.581,0.562
San Diego Padres,SDN,50,59,0.459,434,491,48.3,60.7,0.443,47.2,61.8,0.433,423.2581602515519,490.23720683461187,47.1,61.9,0.432,438.5477055908542,507.97917143170054,1.7,2.8,2.9,0.256,0.257,0.442,0.422
Seattle Mariners,SEA,50,57,0.467,428,482,47.6,59.4,0.445,50.4,56.6,0.471,440.53878327389566,469.23162775665435,50.2,56.8,0.469,502.56801523603474,537.201240377014,2.4,-0.4,-0.2,0.261,0.263,0.463,0.483
San Francisco Giants,SFN,47,59,0.443,411,470,46.5,59.5,0.439,49.9,56.1,0.471,422.57520851850876,450.5694160417558,50.7,55.3,0.478,456.6276031316469,478.80790779765744,0.5,-2.9,-3.7,0.256,0.255,0.458,0.438
St. Louis Cardinals,SLN,62,44,0.585,505,386,65.9,40.1,0.621,63.7,42.3,0.601,463.33989797334385,369.7815519182157,62,44,0.585,471.6627242422274,390.36775341103083,-3.9,-1.7,0,0.254,0.257,0.598,0.579
Tampa Bay Rays,TBA,64,44,0.593,498,429,61.4,46.6,0.569,66.7,41.3,0.617,502.96668090073854,387.69718189148733,66.5,41.5,0.616,536.8162576559702,414.96777498694433,2.6,-2.7,-2.5,0.259,0.261,0.599,0.618
Texas Rangers,TEX,59,49,0.546,456,443,55.4,52.6,0.513,57.1,50.9,0.528,475.9042973855292,447.6990778059442,57.2,50.8,0.529,441.50631855188084,414.2934842437359,3.6,1.9,1.8,0.264,0.264,0.529,0.549
Toronto Blue Jays,TOR,50,57,0.467,494,514,51.5,55.5,0.481,49.7,57.3,0.464,485.20766214396133,523.0092521565812,51.6,55.4,0.482,464.19543068014184,481.66638731634805,-1.5,0.3,-1.6,0.264,0.259,0.474,0.494
Washington Nationals,WAS,52,56,0.481,401,438,49.7,58.3,0.46,48.8,59.2,0.452,391.40928808910746,435.761367517415,49,59,0.453,393.65425999303596,436.7221890633972,2.3,3.2,3,0.256,0.256,0.462,0.442
