"HAS - Hasbro, Inc.",,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2009-07-21,0,,0,,,139895055
2009-06-30,0.9,126409158,16575335,28240896,,
2009-06-28,0,,0,,,139867134
2009-05-31,0.9,126274307,16465547,28191453,,
2009-04-30,0.89,124080337,16402061,26686917,,
2009-04-20,0,,0,,,139835080
2009-03-31,0.97,134525718,15376308,21418867,,
2009-02-28,0.97,134773880,15352775,21339589,,
2009-02-09,0,,0,,,139269056
2009-01-31,0.98,137024112,13524767,21859130,,
2008-12-31,0,140265556,16669577,21088209,,
2008-11-30,0,140296056,16700547,21203254,,
2008-10-31,0,146313732,16214019,17396438,,
2008-10-21,0,,0,,,139199794
2008-09-30,0,141455620,22855185,24090061,,
2008-08-31,0,141455620,22855185,24090061,,
2008-07-31,0,141455620,22855185,24090061,,
2008-07-21,0,,0,,,141075782
2008-06-30,0,143273048,35001045,22234448,,
2008-05-31,0,143273048,35001045,22234448,,
2008-04-30,0,143273048,35001045,22234448,,
2008-04-21,0,,0,,,138636922
2008-03-31,0.92,130828169,14485733,25214346,,
2008-02-29,0.92,130828169,14485733,25214346,,
2008-01-31,0.92,130828169,14485733,25214346,,
2007-12-30,0,,0,,,142599724
2007-09-30,0,,0,,,147071580
2007-07-01,0,,0,,,161197423
2007-04-01,0,,0,,,159374184
2007-02-08,0,,0,,,160857841
2006-10-27,0,,0,,,158830230
2006-07-26,0,,0,,,163582737
2006-04-26,0,,0,,,172153082
2006-02-09,0,,0,,,177988289
2005-10-21,0,,0,,,178349670
2005-07-19,0,,0,,,179000546
2005-04-21,0,,0,,,178307018
2005-02-08,0,,0,,,177565983
2004-10-22,0,,0,,,177016516
2004-07-23,0,,0,,,176845162
2004-04-23,0,,0,,,176382147
2004-02-29,0,,0,,,175930755
2003-10-24,0,,0,,,174483336
2003-07-27,0,,0,,,173713556
2003-04-30,0,,0,,,173213009
2003-03-12,0,,0,,,173088636
2002-10-25,0,,0,,,173166593
2002-07-26,0,,0,,,173140341
2002-04-28,0,,0,,,173109903
2002-03-12,0,,0,,,173067819
2001-10-28,0,,0,,,172751874
2001-07-27,0,,0,,,172541015
2001-04-29,0,,0,,,172461389
2001-03-23,0,,0,,,172456278
2000-10-29,0,,0,,,172322501
2000-07-30,0,,0,,,172309426
2000-04-30,0,,0,,,172124696
2000-03-17,0,,0,,,190384899
1999-03-19,0,,0,,,195889550
1998-03-20,0,,0,,,199683363
1997-03-21,0,,0,,,289246052
1996-03-15,0,,0,,,196159918
1995-03-16,0,,0,,,197100659
