Kansas FY 2012 Title I Allocations,,,,,,,,,
,,,REVISED,,FY 2012,,,,
246,NORTHEAST,175,194155,1109.46,230,844.15,844.15,9708,38831
247,CHEROKEE,150,169319,1128.79,231,732.98,732.98,8466,33864
248,GIRARD,191,214574,1123.42,278,771.85,771.85,10729,42915
249,FRONTENAC,62,113304,1827.48,154,735.74,735.74,5665,22661
250,PITTSBURG,726,1044736,1439.03,1055,,1439.03,52237,208947
251,NORTH LYON,62,76139,1228.05,107,711.58,711.58,3807,15228
252,SOUTHERN LYON,52,70892,1363.31,101,701.9,701.9,3545,14178
253,EMPORIA,815,1184740,1453.67,1427,,1453.67,59237,236948
254,BARBER COUNTY NORTH,67,73199,1092.52,102,717.64,717.64,3660,14640
255,SOUTH BARBER,44,52181,1185.93,61,855.43,855.43,2609,10436
256,MARMATON VALLEY,62,79283,1278.76,100,792.83,792.83,3964,15857
257,IOLA,348,407514,1171.02,485,840.24,840.24,20376,81503
258,HUMBOLT,53,98454,1857.62,115,856.12,856.12,4923,19691
259,WICHITA,12112,22051614,1820.64,19314,,1820.64,1102581,4410323
260,DERBY,815,862184,1057.89,1336,,1057.89,43109,172437
261,HAYSVILLE,519,536463,1033.65,1080,496.73,496.73,26823,107293
262,VALLEY CENTER,232,266469,1148.57,405,657.95,657.95,13323,53294
263,MULVANE,258,238524,924.51,358,666.27,666.27,11926,47705
264,CLEARWATER,85,88502,1041.2,149,593.97,593.97,4425,17700
265,GODDARD,213,305302,1433.34,514,593.97,593.97,15265,61060
266,MAIZE,276,175826,637.05,486,,637.05,8791,35165
267,RENWICK,99,102757,1037.95,173,593.97,593.97,5138,20551
268,CHENEY,42,52864,1258.67,89,593.98,593.98,2643,10573
269,PALCO,11,21830,1984.55,28,779.64,779.64,1092,4366
270,PLAINVILLE,47,56843,1209.43,81,701.77,701.77,2842,11369
271,STOCKTON,59,62177,1053.85,81,767.62,767.62,3109,12435
272,WACONDA,56,76616,1368.14,102,751.14,751.14,3831,15323
273,BELOIT,109,129817,1190.98,184,705.53,705.53,6491,25963
274,OAKLEY,43,67498,1569.72,92,733.67,733.67,3375,13500
275,TRIPLAINS,12,16264,1355.33,19,856,856,813,3253
281,HILL CITY,39,55539,1424.08,74,750.53,750.53,2777,11108
282,WEST ELK,91,101145,1111.48,117,864.49,864.49,5057,20229
283,ELK VALLEY,49,76267,1556.47,74,1030.64,1030.64,3813,15253
284,CHASE COUNTY,90,75090,834.33,109,688.9,688.9,3755,15018
285,CEDAR VALE,31,45087,1454.42,43,1048.53,1048.53,2254,9017
286,CHAUTAUQUA COUNTY COMMUNITY,69,86623,1255.41,109,794.71,794.71,4331,17325
287,WEST FRANKLIN,113,117392,1038.87,176,667,667,5870,23478
288,CENTRAL HEIGHTS,113,134595,1191.11,177,760.42,760.42,6730,26919
289,WELLSVILLE,72,84875,1178.82,129,657.95,657.95,4244,16975
290,OTTAWA,439,527724,1202.1,701,752.82,752.82,26386,105545
291,GRINNELL,7,7704,1100.57,10,770.4,770.4,385,1541
292,WHEATLAND,24,25706,1071.08,30,856.87,856.87,1285,5141
293,QUINTER,25,33092,1323.68,46,719.39,719.39,1655,6618
294,OBERLIN,62,70472,1136.65,89,791.82,791.82,3524,14094
297,ST FRANCIS COMMUNITY,42,43813,1043.17,64,684.58,684.58,2191,8763
298,LINCOLN,59,79200,1342.37,105,754.29,754.29,3960,15840
299,SYLVAN GROVE,41,47695,1163.29,64,745.23,745.23,2385,9539
300,COMANCHE COUNTY,36,41557,1154.36,57,729.07,729.07,2078,8311
303,NESS CITY,24,34205,1425.21,50,684.1,684.1,1710,6841
305,SALINA,1203,1617675,1344.7,2041,,1344.7,80884,323535
306,SOUTHEAST OF SALINE,32,46327,1447.72,74,626.04,626.04,2316,9265
307,ELL SALINE,47,55604,1183.06,78,712.87,712.87,2780,11121
308,HUTCHINSON,1044,1517336,1453.39,1734,,1453.39,75867,303467
309,NICKERSON,182,241868,1328.95,324,746.51,746.51,12093,48374
310,FAIRFIELD,104,99301,954.82,133,746.62,746.62,4965,19860
311,PRETTY PRAIRIE,27,33060,1224.44,50,661.2,661.2,1653,6612
312,HAVEN,207,195212,943.05,282,692.24,692.24,9761,39042
313,BUHLER,182,232914,1279.75,354,657.95,657.95,11646,46583
314,BREWSTER,11,15151,1377.36,22,688.68,688.68,758,3030
315,COLBY,103,125614,1219.55,183,686.42,686.42,6281,25123
316,GOLDEN PLAINS,19,47972,2524.84,49,979.02,979.02,2399,9594
320,WAMEGO,111,122972,1107.86,193,637.16,637.16,6149,24594
321,KAW VALLEY,193,190166,985.32,281,676.75,676.75,9508,38033
322,ONAGA-HAVENSVILLE-WHEATON,52,53134,1021.81,74,718.03,718.03,2657,10627
323,ROCK CREEK,108,101142,936.5,150,674.28,674.28,5057,20228
325,PHILLIPSBURG,69,93730,1358.41,124,755.89,755.89,4687,18746
326,LOGAN,27,35147,1301.74,45,781.04,781.04,1757,7029
327,ELLSWORTH,76,98265,1292.96,136,722.54,722.54,4913,19653
329,MILL CREEK VALLEY,46,53660,1166.52,87,616.78,616.78,2683,10732
330,WABAUNSEE EAST,82,77371,943.55,113,684.7,684.7,3869,15474
331,KINGMAN,143,210798,1474.11,264,798.48,798.48,10540,42160
332,CUNNINGHAM,22,29696,1349.82,42,707.05,707.05,1485,5939
333,CONCORDIA,147,212921,1448.44,271,785.69,785.69,10646,42584
334,SOUTHERN CLOUD,56,68080,1215.71,82,830.24,830.24,3404,13616
335,NORTH JACKSON,43,51473,1197.05,76,677.28,677.28,2574,10295
336,HOLTON,171,162495,950.26,235,691.47,691.47,8125,32499
337,ROYAL VALLEY,104,129473,1244.93,190,681.44,681.44,6474,25895
338,VALLEY FALLS,38,51304,1350.11,76,675.05,675.05,2565,10261
339,JEFFERSON COUNTY NORTH,61,63115,1034.67,91,693.57,693.57,3156,12623
340,JEFFERSON WEST,43,61773,1436.58,104,593.97,593.97,3089,12355
341,OSKALOOSA,60,90798,1513.3,132,687.86,687.86,4540,18160
342,MCLOUTH,71,74974,1055.97,110,681.58,681.58,3749,14995
343,PERRY,91,102640,1127.91,156,657.95,657.95,5132,20528
344,PLEASANTON,107,121147,1132.21,141,859.2,859.2,6057,24229
345,SEAMAN,351,385456,1098.17,583,661.16,661.16,19273,77091
346,JAYHAWK,97,114779,1183.29,154,745.32,745.32,5739,22956
347,KINSLEY OFFERLE,61,77745,1274.51,103,754.81,754.81,3887,15549
348,BALDWIN CITY,165,154198,934.53,231,667.52,667.52,7710,30840
349,STAFFORD,52,80392,1546,86,934.79,934.79,4020,16078
350,ST JOHN HUDSON,40,59736,1493.4,75,796.48,796.48,2987,11947
351,MACKSVILLE,41,60170,1467.56,73,824.25,824.25,3009,12034
352,GOODLAND,188,199560,1061.49,251,795.06,795.06,9978,39912
353,WELLINGTON,254,381363,1501.43,494,771.99,771.99,19068,76273
355,ELLINWOOD,81,76960,950.12,112,687.14,687.14,3848,15392
356,CONWAY SPRINGS,50,75113,1502.26,111,676.69,676.69,3756,15023
357,BELLE PLAINE,73,97672,1337.97,138,707.77,707.77,4884,19534
358,OXFORD,45,61824,1373.87,86,718.88,718.88,3091,12365
359,ARGONIA,24,24604,1025.17,31,793.68,793.68,1230,4921
360,CALDWELL PUBLIC,42,55164,1313.43,69,799.48,799.48,2758,11033
361,ANTHONY HARPER,157,229710,1463.12,281,817.47,817.47,11486,45942
362,PRAIRIE VIEW,123,167844,1364.59,231,726.6,726.6,8392,33569
363,HOLCOMB,98,150612,1536.86,211,713.8,713.8,7531,30122
364,MARYSVILLE,124,126952,1023.81,184,689.96,689.96,6348,25390
365,GARNETT,230,245343,1066.71,330,743.46,743.46,12267,49069
366,YATES CENTER,81,107289,1324.56,127,844.8,844.8,5364,21458
367,OSAWATOMIE,251,306054,1219.34,402,761.33,761.33,15303,61211
368,PAOLA,222,357489,1610.31,455,785.69,785.69,17874,71498
369,BURRTON,44,61540,1398.64,81,759.75,759.75,3077,12308
371,MONTEZUMA,43,39815,925.93,57,698.51,698.51,1991,7963
372,SILVER LAKE,51,44548,873.49,75,593.97,593.97,2227,8910
373,NEWTON,508,786377,1547.99,1042,,1547.99,39319,157275
374,SUBLETTE,75,110780,1477.07,145,764,764,5539,22156
375,CIRCLE,265,216774,818.02,323,671.13,671.13,10839,43355
376,STERLING,65,73685,1133.62,101,729.55,729.55,3684,14737
377,ATCHISON COUNTY COMMUNITY,126,121312,962.79,177,685.38,685.38,6066,24262
378,RILEY COUNTY,102,90112,883.45,134,672.48,672.48,4506,18022
379,CLAY CENTER,198,200003,1010.12,289,692.05,692.05,10000,40001
380,VERMILLION,75,83191,1109.21,109,763.22,763.22,4160,16638
381,SPEARVILLE ,25,25892,1035.68,42,616.48,616.48,1295,5178
382,PRATT,173,187357,1082.99,272,688.81,688.81,9368,37471
383,MANHATTAN,937,1106431,1180.82,1307,,1180.82,55322,221286
384,BLUE VALLEY (RC),28,30924,1104.43,47,657.96,657.96,1546,6185
385,ANDOVER,139,184726,1328.96,311,593.97,593.97,9236,36945
386,MADISON VIRGIL,44,50613,1150.3,64,790.83,790.83,2531,10123
387,ALTOONA MIDWAY,33,41874,1268.91,58,721.97,721.97,2094,8375
388,ELLIS,42,55257,1315.64,79,699.46,699.46,2763,11051
389,EUREKA,147,173808,1182.37,220,790.04,790.04,8690,34762
390,HAMILTON,24,33147,1381.13,35,947.06,947.06,1657,6629
392,OSBORNE COUNTY,53,69877,1318.43,92,759.53,759.53,3494,13975
393,SOLOMON,58,66550,1147.41,87,764.94,764.94,3328,13310
394,ROSE HILL,129,134832,1045.21,227,593.97,593.97,6742,26966
395,LACROSSE,50,61562,1231.24,79,779.27,779.27,3078,12312
396,DOUGLASS,67,65817,982.34,110,598.34,598.34,3291,13163
397,CENTRE,39,43772,1122.36,61,717.57,717.57,2189,8754
398,PEABODY BURNS,54,65915,1220.65,91,724.34,724.34,3296,13183
399,PARADISE,24,30635,1276.46,38,806.18,806.18,1532,6127
400,SMOKY VALLEY,77,93821,1218.45,142,660.71,660.71,4691,18764
401,CHASE,31,44628,1439.61,54,826.44,826.44,2231,8926
402,AUGUSTA,255,286344,1122.92,426,672.17,672.17,14317,57269
403,OTIS BISON,29,29144,1004.97,39,747.28,747.28,1457,5829
404,RIVERTON,131,182486,1393.02,217,840.95,840.95,9124,36497
405,LYONS,115,216209,1880.08,231,935.97,935.97,10810,43242
407,RUSSELL COUNTY,148,169856,1147.68,226,751.58,751.58,8493,33971
408,MARION,75,84663,1128.84,123,688.32,688.32,4233,16933
409,ATCHISON PUBLIC,374,460569,1231.47,605,761.27,761.27,23028,92114
410,DURHAM-HILLSBORO-LEHIGH,70,76448,1092.11,111,688.72,688.72,3822,15290
411,GOESSEL,19,22861,1203.21,36,635.03,635.03,1143,4572
412,HOXIE COMMUNITY,56,49840,890,68,732.94,732.94,2492,9968
413,CHANUTE,406,535058,1317.88,629,850.65,850.65,26753,107012
415,HIAWATHA,185,200852,1085.69,269,746.66,746.66,10043,40170
416,LOUISBURG,97,106321,1096.09,179,593.97,593.97,5316,21264
417,MORRIS CO,126,127629,1012.93,186,686.18,686.18,6381,25526
418,MCPHERSON,213,277294,1301.85,418,663.38,663.38,13865,55459
419,CANTON GALVA,52,53537,1029.56,76,704.43,704.43,2677,10707
420,OSAGE CITY,107,117608,1099.14,166,708.48,708.48,5880,23522
421,LYNDON,41,43472,1060.29,66,658.67,658.67,2174,8694
422,GREENSBURG,43,105499,2453.47,62,1701.6,1701.6,5275,21100
423,MOUNDRIDGE,36,38014,1055.94,64,593.97,593.97,1901,7603
426,PIKE VALLEY,32,46807,1462.72,56,835.84,835.84,2340,9361
428,GREAT BEND,549,820071,1493.75,979,837.66,837.66,41004,164014
429,TROY,33,46119,1397.55,67,688.34,688.34,2306,9224
430,SOUTH BROWN COUNTY,146,175534,1202.29,219,801.53,801.53,8777,35107
431,HOISINGTON,85,139899,1645.87,149,938.92,938.92,6995,27980
432,VICTORIA,23,20789,903.87,35,593.97,593.97,1039,4158
434,SANTA FE TRAIL,143,162529,1136.57,238,682.89,682.89,8126,32506
435,ABILENE,160,209436,1308.98,304,688.93,688.93,10472,41887
436,CANEY VALLEY,121,152973,1264.24,203,753.56,753.56,7649,30595
437,AUBURN WASHBURN,472,521037,1103.89,797,,1103.89,26052,104207
438,SKYLINE,45,60344,1340.98,67,900.66,900.66,3017,12069
439,SEDGWICK,68,68489,1007.19,99,691.81,691.81,3424,13698
440,HALSTEAD,97,112900,1163.92,166,680.12,680.12,5645,22580
443,DODGE CITY,1103,1572825,1425.95,2211,,1425.95,78641,314565
444,LITTLE RIVER,32,40246,1257.69,55,731.75,731.75,2012,8049
445,COFFEYVILLE,478,582835,1219.32,723,806.13,806.13,29142,116567
446,INDEPENDENCE,466,524150,1124.79,674,777.67,777.67,26208,104830
447,CHERRYVALE,209,262295,1255,294,892.16,892.16,13115,52459
448,INMAN,37,30772,831.68,49,628,628,1539,6154
449,EASTON,60,61179,1019.65,103,593.97,593.97,3059,12236
450,SHAWNEE HEIGHTS,376,377172,1003.12,572,659.39,659.39,18859,75434
452,STANTON COUNTY,74,104338,1409.97,134,778.64,778.64,5217,20868
453,LEAVENWORTH,908,1182262,1302.05,1251,,1302.05,59113,236452
454,BURLINGAME,40,52981,1324.53,72,735.85,735.85,2649,10596
456,MARAIS DES CYGNES VALLEY,59,68513,1161.24,86,796.66,796.66,3426,13703
457,GARDEN CITY,1527,2177343,1425.9,2548,,1425.9,108867,435469
458,BASEHOR-LINWOOD,149,124140,833.15,209,593.97,593.97,6207,24828
459,BUCKLIN,40,49705,1242.63,71,700.07,700.07,2485,9941
460,HESSTON,73,77811,1065.9,131,593.98,593.98,3891,15562
461,NEODESHA,126,161768,1283.87,201,804.82,804.82,8088,32354
462,CENTRAL,72,82120,1140.56,108,760.37,760.37,4106,16424
463,UDALL,38,51835,1364.08,72,719.93,719.93,2592,10367
464,TONGANOXIE,124,175580,1415.97,264,665.08,665.08,8779,35116
465,WINFIELD,466,543598,1166.52,716,759.22,759.22,27180,108720
466,SCOTT COUNTY,109,145731,1336.98,203,717.89,717.89,7287,29146
467,LEOTI,72,97887,1359.54,127,770.76,770.76,4894,19577
468,HEALY,4,10381,2595.25,14,741.5,741.5,519,2076
469,LANSING,152,155621,1023.82,262,593.97,593.97,7781,31124
470,ARKANSAS CITY,548,729679,1331.53,896,814.37,814.37,36484,145936
471,DEXTER,28,29327,1047.39,36,814.64,814.64,1466,5865
473,CHAPMAN,106,121604,1147.21,182,668.15,668.15,6080,24321
474,HAVILAND,17,26016,1530.35,28,929.14,929.14,1301,5203
475,GEARY COUNTY,1146,1498223,1307.35,2106,,1307.35,74911,299645
476,COPELAND,37,33098,894.54,44,752.23,752.23,1655,6620
477,INGALLS,22,31452,1429.64,46,683.74,683.74,1573,6290
479,CREST,48,51124,1065.08,70,730.34,730.34,2556,10225
480,LIBERAL,856,1106639,1292.8,1586,,1292.8,55332,221328
481,RURAL VISTA,66,72333,1095.95,94,769.5,769.5,3617,14467
482,DIGHTON,27,39147,1449.89,50,782.94,782.94,1957,7829
483,KISMET PLAINS,136,193007,1419.17,246,784.58,784.58,9650,38601
484,FREDONIA,164,184424,1124.54,234,788.14,788.14,9221,36885
487,HERINGTON,85,107659,1266.58,142,758.16,758.16,5383,21532
489,HAYS,360,414417,1151.16,626,,1151.16,20721,82883
490,EL DORADO,355,435931,1227.97,588,741.38,741.38,21797,87186
491,EUDORA,109,152870,1402.48,226,676.42,676.42,7644,30574
492,FLINTHILLS,28,33116,1182.71,46,719.91,719.91,1656,6623
493,COLUMBUS,267,282048,1056.36,353,799,799,14102,56410
494,SYRACUSE,78,106403,1364.14,138,771.04,771.04,5320,21281
495,FT LARNED,137,177065,1292.45,254,697.11,697.11,8853,35413
496,PAWNEE HEIGHTS,21,24910,1186.19,33,754.85,754.85,1246,4982
497,LAWRENCE,1410,1740035,1234.07,2093,,1234.07,87002,348007
498,VALLEY HEIGHTS,57,69367,1216.96,96,722.57,722.57,3468,13873
499,GALENA,187,286437,1531.75,299,957.98,957.98,14322,57287
500,KANSAS CITY,6748,11604794,1719.74,10064,,1719.74,580240,2320959
501,TOPEKA,4451,7262481,1631.65,6404,,1631.65,363124,1452496
502,LEWIS,18,25718,1428.78,26,989.15,989.15,1286,5144
503,PARSONS,380,429426,1130.07,549,782.2,782.2,21471,85885
504,OSWEGO,92,126206,1371.8,141,895.08,895.08,6310,25241
505,CHETOPA,121,158411,1309.18,170,931.83,931.83,7921,31682
506,LABETTE COUNTY,208,323978,1557.59,412,786.35,786.35,16199,64796
507,SATANTA,56,75522,1348.61,104,726.17,726.17,3776,15104
508,BAXTER SPRINGS,217,296364,1365.73,335,884.67,884.67,14818,59273
509,SOUTH HAVEN,28,35073,1252.61,45,779.4,779.4,1754,7015
511,ATTICA,17,28344,1667.29,31,914.32,914.32,1417,5669
512,SHAWNEE MISSION,3422,4568923,1335.16,5067,,1335.16,228446,913785
,,,,,,,,,
,,71850,101474812,359518,115875,196168,224897,5073755,20294958
