"This sheet was generated on October 24, 2014 at 8:26 PM CDT. Availability is subject to change.",,,,,,,,
Part #,Item,MSRP,MAP,UPC,Pkg Qty,Product Line,Availability,More Info
21129,M3 x 5 BHPS (motor screws),1.99,,784695 211292,20,Team Associated,In Stock,More Info
21130,M2 X 3 BHPS screw,2.99,,784695 211308,20,Team Associated,In Stock,More Info
21131,M2.5 X 3 BHPS screw,2.5,,784695 211315,4,Team Associated,Low Inventory,More Info
21132,M2 X 9 BHPS,2.99,,784695 211322,20,Team Associated,In Stock,More Info
21133,M2.5 X 6 BHP Screw,2.99,,784695 211339,20,Team Associated,In Stock,More Info
21134,M2.5 X 9 BHPScrew,2.99,,784695 211346,20,Team Associated,In Stock,More Info
21135,M2 X 12 FHPScrew,2.99,,784695 211353,20,Team Associated,Low Inventory,More Info
21139,M2.6 x 6 Washer,1.99,,784695 211391,20,Team Associated,In Stock,More Info
21141,Shim Set for Differential,1.99,,784695 211414,4,Team Associated,In Stock,More Info
21152,10 Tooth Pinion Gear (1:18),3.99,,784695 211520,1,Team Associated,In Stock,More Info
21153,12 Tooth Pinion Gear (1:18),3.99,,784695 211537,1,Team Associated,Out of Stock,More Info
21154,13 Tooth Pinion Gear (1:18),3.99,,784695 211544,1,Team Associated,In Stock,More Info
21155,14 Tooth Pinion Gear (1:18),3.99,,784695 211551,1,Team Associated,In Stock,More Info
21156,15 Tooth Pinion Gear (1:18),3.99,,784695 211568,1,Team Associated,In Stock,More Info
21157,11 Tooth Pinion Gear (1:18),3.99,,784695 211575,1,Team Associated,Out of Stock,More Info
21158,16 Tooth Pinion Gear (1:18),3.99,,784695 211582,1,Team Associated,In Stock,More Info
21159,17 Tooth Pinion Gear (1:18),3.99,,784695 211599,1,Team Associated,In Stock,More Info
21160,18 Tooth Pinion Gear (1:18),3.99,,784695 211605,1,Team Associated,In Stock,More Info
21173,Small Body Clips,1.99,,784695 211735,12,Team Associated,In Stock,More Info
21180,Rear Shock Body,2.5,,784695 211803,pr,Team Associated,In Stock,More Info
21181,Front Shock Body,2.5,,784695 211810,pr,Team Associated,Low Inventory,More Info
21182,Shock Cap,3.5,,784695 211827,4,Team Associated,Low Inventory,More Info
21185,Spring Retainers,1.99,,784695 211858,4,Team Associated,Low Inventory,More Info
21189,Ball Cup Set,2.99,,784695 211896,12,Team Associated,In Stock,More Info
21190,Shock Rebuild Kit,9.99,,784695 211902,set,Team Associated,In Stock,More Info
21191,Shock Accessories,3.99,,784695 211919,set,Team Associated,In Stock,More Info
21197,"Front Spring, silver, 2.55 lb.",2.5,,784695 211971,pr,Team Associated,Low Inventory,More Info
21198,"Front Spring, blue, 3.00 lb.",2.5,,784695 211988,pr,Team Associated,Low Inventory,More Info
21199,"Front Spring, gold, 3.45 lb.",2.5,,784695 211995,pr,Team Associated,In Stock,More Info
21201,"Rear Spring, silver, 1.64 lb.",2.5,,784695 212015,pr,Team Associated,Low Inventory,More Info
21202,"Rear Spring, blue, 1.90 lb.",2.5,,784695 212022,pr,Team Associated,In Stock,More Info
21203,"Rear Spring, gold, 2.35 lb.",2.5,,784695 212039,pr,Team Associated,In Stock,More Info
21214,FT Front Threaded Shock Bodies & Collars,12.99,,784695 212145,pr,Team Associated,In Stock,More Info
21215,FT Rear Threaded Shock Body with collar,12.99,,784695 212152,pr,Team Associated,Low Inventory,More Info
21216,"FT Front Threaded Shock Kit, with collars",19.99,,784695 212169,pr,Team Associated,In Stock,More Info
21217,"FT Rear Threaded Shock Kit, with collars",19.99,,784695 212176,pr,Team Associated,In Stock,More Info
21220,"FT Suspension Arms, blue aluminum",29.99,,784695 212206,pr,Team Associated,In Stock,More Info
21221,"FT Front Shock Tower, front body mount support",24.99,,784695 212213,1,Team Associated,Out of Stock,More Info
21223,"FT Steering Blocks, blue aluminum",29.99,,784695 212237,pr,Team Associated,In Stock,More Info
21224,"FT Hub Carriers, blue aluminum",29.99,,784695 212244,pr,Team Associated,Out of Stock,More Info
21225,"FT Caster Blocks, 0",29.99,,784695 212251,pr,Team Associated,In Stock,More Info
21230,FT MIP CVD Axles,21.99,,784695 212305,pr,Team Associated,In Stock,More Info
21231,MIP CVD Rebuild Kit,4.99,,784695 212312,1,Team Associated,In Stock,More Info
21232,FT CVD Axle Pins,1,,784695 212329,6,Team Associated,In Stock,More Info
21241,"FT Ballstuds, blue aluminum",12.99,,784695 212411,10,Team Associated,In Stock,More Info
21245,Front and Rear Shock Towers,3.99,,784695 212459,set,Team Associated,In Stock,More Info
21248,18B Wing Mount,2.99,,784695 212480,1,Team Associated,In Stock,More Info
21252,"Standard Spoked Wheel, white",3.99,,784695 212527,pr,Team Associated,Low Inventory,More Info
21255,"Standard Spoked Wheel, white, mounted",12.99,,784695 212558,pr,Team Associated,In Stock,More Info
21257,18B Wing & Dirt Deflectors,2.99,,784695 212572,1,Team Associated,In Stock,More Info
21265,FT Blue Aluminum Front Shock Tower,17.99,,784695 212657,1,Team Associated,In Stock,More Info
21266,"FT Rear Shock Tower, blue aluminum",29.99,,784695 212664,1,Team Associated,Out of Stock,More Info
21268,FT 1:18 Scale Tuning Spring Set,13.99,,784695 212688,1,Team Associated,Out of Stock,More Info
21279,"Standard Spoked Wheel, black",3.99,,784695 212794,pr,Team Associated,In Stock,More Info
21280,"Standard Spoked Wheel, chrome with Mini-Pin tire",12.99,,784695 212800,pr,Team Associated,Low Inventory,More Info
21281,"Standard Spoked Wheel, black with Mini-Pin tire",12.99,,784695 212817,pr,Team Associated,In Stock,More Info
21310,Chassis,6.99,,784695 213104,1,Team Associated,In Stock,More Info
21311,Center Top Plate,3.99,,784695 213111,1,Team Associated,Low Inventory,More Info
21312,Front Gearbox Set,4.99,,784695 213128,1,Team Associated,Out of Stock,More Info
21313,Rear Gearbox,4.99,,784695 213135,1,Team Associated,Low Inventory,More Info
21314,Belt Tensioner,6.99,,784695 213142,1,Team Associated,Low Inventory,More Info
21315,Battery Strap Set,4.99,,784695 213159,1,Team Associated,In Stock,More Info
21316,Arm Mount/Bumper,2.99,,784695 213166,1,Team Associated,In Stock,More Info
21317,Gear Diff Outdrives,2.99,,784695 213173,1,Team Associated,In Stock,More Info
21318,"Gear Diff Case, front",3.99,,784695 213180,1,Team Associated,In Stock,More Info
21319,Internal Diff Gears,5.99,,784695 213197,1,Team Associated,In Stock,More Info
21320,Spur Gear Pulley Set,3.99,,784695 213203,pr,Team Associated,In Stock,More Info
21321,Motor Mount Clamp,2.99,,784695 213210,1,Team Associated,Low Inventory,More Info
21322,Steering Rack Set,2.99,,784695 213227,1,Team Associated,In Stock,More Info
21323,"Spur Gear, 60T (in kit)",2.99,,784695 213234,1,Team Associated,In Stock,More Info
21324,66T Spur Gear,2.99,,784695 213241,1,Team Associated,In Stock,More Info
21326,Servo Saver and Horns Set,3.99,,784695 213265,1,Team Associated,Out of Stock,More Info
21327,Motor Mount,4.99,,784695 213272,1,Team Associated,In Stock,More Info
21328,Front Belt,5.99,,784695 213289,1,Team Associated,In Stock,More Info
21329,Rear Belt,4.99,,784695 213296,1,Team Associated,In Stock,More Info
21330,RC18T2 Bearing Set,27.99,,784695 213302,1,Team Associated,Low Inventory,More Info
21331,Spur Gear Cover,1.99,,784695 213319,1,Team Associated,Low Inventory,More Info
21333,M2.5 x 6mm FHPS,2.99,,784695 213333,20,Team Associated,In Stock,More Info
21334,M2 x 6mm FHPS,2.99,,784695 213340,20,Team Associated,In Stock,More Info
21335,"Complete Gear Diff, front",9.99,,784695 213357,1,Team Associated,In Stock,More Info
21336,M2 x 12mm BHPS,2.99,,784695 213364,20,Team Associated,In Stock,More Info
21337,"Ball Bearing, 3 x 6 x 2.5mm",4.99,,784695 213371,2,Team Associated,Out of Stock,More Info
21338,Tie Rod Link Set,3.99,,784695 213388,1,Team Associated,In Stock,More Info
21339,Shock Tower,3.99,,784695 213395,1,Team Associated,In Stock,More Info
21340,"RC18T2 Body, clear",13.99,,784695 213401,1,Team Associated,In Stock,More Info
21341,"RC18T2 Body, black",19.99,,784695 213418,1,Team Associated,Low Inventory,More Info
21343,"RC18T2 Turnbuckle, steel, 1.18"" / 30mm",6.99,,784695 213432,6,Team Associated,In Stock,More Info
21381,"FT Complete Ball Diff, front",8.99,,784695 213814,1,Team Associated,In Stock,More Info
21382,Diff Rebuild Kit,4.99,,784695 213821,1,Team Associated,Low Inventory,More Info
21383,Carbide Diff Ball,7.99,,784695 213838,10,Team Associated,In Stock,More Info
21384,"FT Ball Diff Pulley, front",2.99,,784695 213845,1,Team Associated,Out of Stock,More Info
21385,FT Anti-Roll Bar Link,2.99,,784695 213852,4,Team Associated,In Stock,More Info
21386,FT Anti-Roll Bar Set,8.99,,784695 213869,1,Team Associated,In Stock,More Info
21387,FT Ballcups,3.99,,784695 213876,12,Team Associated,In Stock,More Info
21388,FT Spur Gear Bearing Cap,2.99,,784695 213883,1,Team Associated,In Stock,More Info
21389,FT Battery Retainer,2.99,,784695 213890,1,Team Associated,In Stock,More Info
21390,FT Pistons,3.99,,784695 213906,1,Team Associated,Out of Stock,More Info
21391,FT Anti-roll Bar Pivot,10.99,,784695 213913,4,Team Associated,In Stock,More Info
21392,FT Motor Mount,12.99,,784695 213920,1,Team Associated,In Stock,More Info
21393,FT Rear Bulkhead,12.99,,784695 213937,1,Team Associated,In Stock,More Info
21394,FT Front Bulkhead,8.99,,784695 213944,1,Team Associated,Low Inventory,More Info
21395,Factory Team Slipper Hub,13.99,,784695 213951,2,Team Associated,Low Inventory,More Info
21396,Factory Team Slipper Pads,3.99,,784695 213968,2,Team Associated,In Stock,More Info
21397,Factory Team Slipper Shaft,5.99,,784695 213975,1,Team Associated,In Stock,More Info
21398,Factory Team Slipper Spacer,2.99,,784695 213982,1,Team Associated,In Stock,More Info
21399,Factory Team Slipper Spring,1.99,,784695 213999,1,Team Associated,In Stock,More Info
21400,FT Chassis,29.99,,784695 214002,1,Team Associated,Low Inventory,More Info
21402,FT Chassis Conversion Kit,69.99,,784695 214026,1,Team Associated,Low Inventory,More Info
21404,"Factory Team Titanium Turnbuckle Set, 1 3/16""",29.99,,784695 214040,1,Team Associated,Low Inventory,More Info
21405,FT Complete Slipper Shaft Assembly,22.99,,784695 214057,1,Team Associated,Low Inventory,More Info
21406,"Complete Gear Diff, rear",9.99,,784695 214064,1,Team Associated,Low Inventory,More Info
21407,"Gear Diff Case, rear",3.99,,784695 214071,1,Team Associated,Low Inventory,More Info
21408,"Complete Ball Diff Kit, rear",8.99,,784695 214088,1,Team Associated,In Stock,More Info
21409,"FT Ball Diff Pulley, rear",2.99,,784695 214095,1,Team Associated,Low Inventory,More Info
21410,18T2 Decal Sheet,6.99,,784695 214101,1,Team Associated,Low Inventory,More Info
21411,18B2 Decal Sheet,6.99,,784695 214118,1,Team Associated,Low Inventory,More Info
21412,"18B2 Body, clear",11.99,,784695 214125,1,Team Associated,Low Inventory,More Info
25196,M2 x 8mm Flat Head Phillips Screw,2.99,,784695 251960,20,Team Associated,In Stock,More Info
25204,M3 x 16mm Flat Head Hex Screw,7.5,,784695 252042,20,Team Associated,In Stock,More Info
25215,M3 Locknut,2.99,,784695 252158,20,Team Associated,In Stock,More Info
25392,"FT 3mm (M3) Locknut, blue aluminum",7.99,,784695 253926,10,Team Associated,In Stock,More Info
29137,"FT XPS ESC Heatsink, blue aluminum",3.99,,784695 291379,1,Team Associated,Low Inventory,More Info
4118,"Spring, .014",3.99,,784695 041189,pr,Team Associated,In Stock,More Info
4689,M3 x 16mm Set Screw,1.99,,784695 046894,6,Team Associated,In Stock,More Info
6338,"Antenna Tube with Cap, black",2,,784695 063389,1,Team Associated,In Stock,More Info
6993,"Associated Reference Library CD-ROM, v16-21",11.95,,784695 069930,1,Team Associated,Low Inventory,More Info
8547,FT M2X6 FHCS Blue Aluminum,4.99,,784695 085473,4,Team Associated,In Stock,More Info
8549,FT M2.5X6 FHCS Blue Aluminum,4.99,,784695 085497,4,Team Associated,In Stock,More Info
8552,FT M3X8 BHCS Blue Aluminum,4.99,,784695 085527,6,Team Associated,In Stock,More Info
8553,FT M3X8 FHCS Blue Aluminum,4.99,,784695 085534,6,Team Associated,In Stock,More Info
