Table S7B. Combined KEGG and C2 data for mammalian orthologs of Drosophila candidate pain genes and their binding partners,,,,,,,,,,,
Pathways,Gene symbol,CG_id,Total No of genes,Pain genes,BP,Lethal,No. of pain genes,No. of BP,No. of lethal genes,% of pain gene,% of pain+lethal gene
Fatty Acid Metabolism,"CG10932,Thiolase,l(2)44DEa,CG7367,Myo10A,scu,Cyp4e2","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7,"CG10932,Thiolase,l(2)44DEa,Cyp4e2","CG7367,Myo10A,scu",,4,3,0,57.14285714285714,57.14285714285714
GPCR,"AdoR,CG6881,CG12796,AlstR,star1,Rep,Cam,Pde1c,Pde8,CG12082","CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10,"AdoR,CG6881,CG12796,AlstR,Rep,Pde1c,Pde8,CG12082",Cam,star1,8,1,1,80,90
Huntington's disease,"Clc,Chc,nej,Cam","CG6948,CG9012,CG15319,CG8472",4,Clc,"Chc,Cam",nej,1,2,1,25,50
Integrin Pathway,"Act5C,CalpB,Src42A,Src64B,R","CG4027,CG8107,CG7873,CG7524,CG1956",5,"CalpB,Src42A","Src64B,R",Act5C,2,2,1,40,60
Ion Channels,"rpk,CG4110,CG32792,CG5890,nan,KCNQ,TrpA1,CG4587,CG9825,CG7708,nrv3,CG8029,Vha100-1,blw,CG7211,ox,sun,Vha44,VhaPPA1-1,cype,CG7580,CG9603,Nup153,Porin2,Glut1,CG8394,Mpcp,CG8008","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28,"rpk,KCNQ,CG4110,CG32792,CG5890,nan,TrpA1,CG4587,CG9825,CG7708,nrv3,CG8029,Vha100-1,blw,CG7211,ox,sun,Vha44,VhaPPA1-1,cype,CG7580,CG9603,Nup153,Porin2,Glut1,CG8394,Mpcp,CG8008",,,28,0,0,100,100
Ketone Metabolism,CG10932,CG10932,1,CG10932,,,1,0,0,100,100
Long-term potentiation,"nej,CG14353,R,Cam,CaMKII","CG15319,CG14353,CG1956,CG8472,CG18069",5,"CG14353,CaMKII","R,Cam",nej,2,2,1,40,60
Mitochondria Stress,"Vha44,Vha100-1,Cdk4,Chd1,CG5731,CG14255,CG13830,LysE,Mdh,cnc,sina,gro,Ubc-E2H,CG4887,l(1)dd4,CG10098,dl","CG8048,CG1709,CG5072,CG3733,CG5731,CG14255,CG13830,CG1180,CG5889,CG17894,CG9949,CG8384,CG2257,CG4887,CG10988,CG10098,CG6667",17,"Vha44,Vha100-1,Chd1,CG14255,LysE,Mdh,Ubc-E2H,CG4887,l(1)dd4,CG10098","Cdk4,CG5731,CG13830,cnc,sina,dl",gro,10,6,1,58.82352941176471,64.70588235294117
Nervous System Development,"CycD,CycG,Cdk4,Ef1alpha48D,RpS8,CycA,CycB,His2Av,Ef1gamma,Cam,CadN,dlg1,Xbp1,Amph,Vha44,Clc,Porin2,CG1847,Prx6005,blw,CG9650,CaMKII,E2f2,fne,elav,b,CG17203,Grasp65,Pde1c","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901,CG8472,CG7100,CG1725,CG9415,CG8604,CG8048,CG6948,CG17137,CG1847,CG3083,CG3612,CG9650,CG18069,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",29,"CycA,His2Av,CadN,dlg1,Vha44,Clc,Porin2,CG1847,Prx6005,blw,CG9650,CaMKII,fne,b,CG17203,Pde1c","CycD,CycG,Cdk4,Ef1alpha48D,RpS8,CycB,Cam,Xbp1,Amph,E2f2,elav,Grasp65",Ef1gamma,16,12,1,55.172413793103445,58.620689655172406
Neuclic Acid Metabolism,"dUTPase,DNApol-delta,CG5757,Ts,Trxr-1,CG6854,Apf,Adk1,l(2)k01209,CG5380,Hsp60B,CG3225,Cdlc2,Myo95E,Dhh1,mus304,szar,l(2)37Cb,CG1193,Pde1c,CG17150,dlg1,CG31183,spas,CG7376,CG8520,Iswi,CG9323","CG4584,CG5949,,CG5757,CG3181,CG2151,CG6854,CG31713,CG17146,CG4798,CG5380,CG2830,CG3225,CG5450,CG5501,CG6539,CG7347,CG9326,CG10689,CG1193,CG14940,CG17150,CG1725,CG31183,CG5977,CG7376,CG8520,CG8625,CG9323",28,"dUTPase,DNApol-delta,CG5757,Ts,Trxr-1,Apf,Adk1,l(2)k01209,CG5380,l(2)37Cb,CG1193,Pde1c,CG17150,dlg1,CG31183,spas,CG7376,CG8520,Iswi,CG9323","CG6854,Hsp60B,CG3225,Cdlc2,Myo95E,Dhh1,mus304",szar,20,7,1,71.42857142857143,75
Neurotransmitters,"SIFR,CG12796,AdoR,AlstR,star1,nan,CG6881,l(1)G0334,Amph,Cam,Eps-15,CG31654,b,Hn","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14,"SIFR,CG12796,AdoR,AlstR,nan,CG6881,l(1)G0334,Eps-15,CG31654,b","Amph,Cam,Hn",star1,10,3,1,71.42857142857143,78.57142857142857
NFAT/Calcineurin,"Act5C,Akt1,Cam,CaMKII,nej,Myo10A,Glut1,CG12796,CkIIbeta2,Rel,star1,CG14353,dl,nan","CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14,"CaMKII,Glut1,CG12796,CkIIbeta2,Rel,CG14353,nan","Cam,Myo10A,dl","Act5C,Akt1,nej,star1",7,3,4,50,78.57142857142857
NFKB,"Akt1,Cam,Rel,dl,Bap,CycA,CycB,CadN,CG10872,CG31183,Rac1,sec24,Spn2","CG4006,CG8472,CG11992,CG6667,CG12532,CG5940,CG3510,CG7100,CG10872,CG31183,CG2248,CG1472,CG8137",13,"Rel,Bap,CycA,CadN,CG10872,CG31183,Spn2","Cam,dl,CycB,Rac1,sec24",Akt1,7,5,1,53.84615384615385,61.53846153846154
NOS/INOS,"Cam,dlg1,Act5C,Bap,CG7422,CG17150,Ef1alpha48D,Hsp26,Myo10A,Pp2A-29B,Sodh-1,Porin2,CG1418,CG31654,Ef1gamma,Akt1,for,Vha44,CycE,Cdk5,His2Av,Nurf-38,Rac1,Ts,pAbp","CG8472,CG1725,CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901,CG4006,CG10033,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119",25,"dlg1,Bap,CG7422,CG17150,Sodh-1,Porin2,CG31654,for,Vha44,Cdk5,His2Av,Ts","Cam,Ef1alpha48D,Hsp26,Myo10A,CG1418,CycE,Rac1","Act5C,Pp2A-29B,Ef1gamma,Akt1,Nurf-38,pAbp",12,7,6,48,72
Notch Signaling,"nej,CtBP,dx,N,Dl,CG6843,gro","CG15319,CG7583,CG3929,CG3936,CG3619,CG6843,CG8384",7,"CtBP,Dl","dx,N,CG6843","nej,gro",2,3,2,28.57142857142857,57.14285714285714
Olfaction,"Arr1,Cam,CaMKII,Pde1c,for","CG5711,CG8472,CG18069,CG14940,CG10033",5,"Arr1,CaMKII,Pde1c,for",Cam,,4,1,0,80,80
Ox-phos,"sun,cype,CG9603,CG7712,mtacp1,CG18624,ND75,CG12079,CG3731,CG7211,CG9172,Cyp4e2,Vha44,VhaPPA1-1,Vha100-1,CG8029,nrv3,blw,CG5703,Nurf-38,CG7580,CG9350,CG5261,CG7430,l(1)G0334,ox,CG1746,Mdh","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28,"sun,cype,CG9603,CG7712,mtacp1,CG18624,ND75,CG12079,CG7211,CG9172,Cyp4e2,Vha44,VhaPPA1-1,Vha100-1,CG8029,nrv3,blw,CG5703,CG7580,CG9350,CG5261,CG7430,l(1)G0334,ox,Mdh","CG3731,CG1746",Nurf-38,25,2,1,89.28571428571429,92.85714285714286
Parkinson's disease,"cype,CG9603,CG7580,CG9172,CG7712,mtacp1,CG18624,ND75,CG12079,CG5703,blw,sun,Hn,Porin2,UbcD10,CG3731,ox","CG14028,CG9603,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3612,CG9032,CG7399,CG17137,CG5788,CG3731,CG8764",17,"cype,CG9603,CG7580,CG9172,CG7712,mtacp1,CG18624,ND75,CG12079,CG5703,blw,sun,Porin2,UbcD10,ox","Hn,CG3731",,15,2,0,88.23529411764706,88.23529411764706
PI3K/PTEN/PTDIN/AKT pathway,"Akt1,CycD,Rel,mts,dl,fz,Cdk5,CG13830,Glut1,par-6,Arr1,CG31654,Rac1","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13,"Rel,mts,fz,Cdk5,Glut1,par-6,Arr1,CG31654","CycD,dl,CG13830,Rac1",Akt1,8,4,1,61.53846153846154,69.23076923076923
PKC pathway,"Rel,dl","CG11992,CG6667",2,Rel,dl,,1,1,0,50,50
RAC/Rho/CDC42,"Rac1,Arpc3A,Arp14D,Arc-p34,Akt1,CycD,CycE,Cdk5,Cdk4,Rel,dl","CG2248,CG4560,CG9901,CG10954,CG4006,CG9096,CG3938,CG8203,CG5072,CG11992,CG6667",11,"Arpc3A,Arp14D,Arc-p34,Cdk5,Rel","Rac1,CycD,CycE,Cdk4,dl",Akt1,5,5,1,45.45454545454545,54.54545454545454
Ras/MAPK,"Akt1,Rel,Rac1,dl","CG4006,CG11992,CG2248,CG6667",4,Rel,"Rac1,dl",Akt1,1,2,1,25,50
Secretion,"CG10882,ergic53,Rab2,CG11857,CG9067,ldlCp,garz,Cyp4e2,Ugt86Dh,Glut1,Fmo-1,l(2)44DEa,CG7556,Trxr-1,Clc,CG14255,AP-47,CG31654,Syx8,Pen,Sec61gamma,KdelR,Atg8b,Bap,CG9350,CG18026,unc-13-4A,CG10098,Gtp-bp,nan,CG10992,wbl,Vha100-1,CG8394,Tao-1,Nap1,LysE,CG16899,CG31183,CG4110,CG11592,CG32792,CaMKII,Prx6005,b,Dl,CG9311","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47,"CG10882,ergic53,Rab2,CG11857,CG9067,ldlCp,garz,Cyp4e2,Ugt86Dh,Glut1,Fmo-1,l(2)44DEa,CG7556,Trxr-1,Clc,CG14255,AP-47,CG31654,Syx8,Pen,Sec61gamma,KdelR,Atg8b,Bap,CG9350,CG18026,unc-13-4A,CG10098,Gtp-bp,nan,CG10992,wbl,Vha100-1,CG8394,Tao-1,Nap1,LysE,CG16899,CG31183,CG4110,CG11592,CG32792,CaMKII,Prx6005,b,Dl,CG9311",,,47,0,0,100,100
Steroid metabolism,Ugt86Dh,CG4772,1,Ugt86Dh,,,1,0,0,100,100
TGF β signaling,"Tsp,nej,E2f2,Mad,Dad,mts,Pp2A-29B,Akt1,skpB,Rac1","CG11326,CG15319,CG1071,CG12399,CG5201,CG7109,CG17291,CG4006,CG8881,CG2248",10,"Dad,mts","Tsp,E2f2,Mad,skpB,Rac1","nej,Pp2A-29B,Akt1",2,5,3,20,50
TNF alpha,"Rel,polo,dl,sun,N,Hsp26,CG13830,l(2)37Cc,Pp2A-29B,Prosbeta5R1,noi","CG11992,CG12306,CG6667,CG9032,CG3936,CG4183,CG13830,CG10691,CG17291,CG9868,CG2925",11,"Rel,sun,l(2)37Cc","dl,N,Hsp26,CG13830,Prosbeta5R1,noi","polo,Pp2A-29B",3,6,2,27.27272727272727,45.45454545454545
Wnt signaling,"nej,esn,CkIIbeta2,CtBP,fz,mts,Pp2A-29B,CG14353,Rac1,CycD,sina,skpB,Wnt4,CaMKII,CkIIalpha,gro,Lis-1,wdb,","CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384,CG8440,CG5643,",18,"CkIIbeta2,CtBP,fz,mts,CG14353,Wnt4,CaMKII,Lis-1,wdb","esn,Rac1,CycD,sina,skpB,CkIIalpha","nej,Pp2A-29B,gro",9,6,3,50,66.66666666666666
