Pos,name,total,country,shooting-PosShooting,shooting-PerfShooting,shooting-Shooting,fencing-pos,fencing-victories,fencing-defeats,fencing-points,fencing-status,swimming-pos,swimming-time,swimming-points,swimming-status,riding-pos,riding-points,riding-time,riding-status,riding-coursepen,riding-timepen,running-pos,running-time
16,"GIANCAMILLI , Federico",5292,ITA,1,186,1168,18,15,,804,,14,2:09.19,1252,,24,1028,,,,,20,09:50.39
17,"EUDES , Romain",5292,FRA,14,177,1060,3,19,,916,,28,2:13.68,1196,,22,1076,,,,,19,09:49.92
18,"VASILIONAK , Aliaksandr",5248,BLR,10,179,1084,2,21,,972,,17,2:10.34,1236,,27,964,,,,,25,10:02.74
19,"STASKIEWICZ , Szymon",5228,POL,25,171,988,22,13,,748,,26,2:13.49,1200,,3,1200,,,,,6,09:37.41
20,"BELOV , Viacheslov",5196,BLR,13,177,1060,25,12,,720,,19,2:10.87,1232,,21,1112,,,,,10,09:42.26
21,"SONBERG , Daniel",5120,SWE,18,175,1036,15,16,,832,,30,2:16.02,1168,,4,1180,,,,,29,10:24.51
22,"ZENIN , Igor",5088,RUS,23,172,1000,22,13,,748,,29,2:13.74,1196,,12,1144,,,,,24,10:00.31
23,"QUINZI , Valerio",5048,ITA,22,172,1000,29,10,,664,,15,2:10.17,1240,,6,1172,,,,,26,10:07.66
24,"DOLEZEL , Tomas",5040,SVK,7,182,1120,15,16,,832,,11,2:07.88,1268,,28,952,,,,,30,10:33.60
25,"STERLIAKHIN , Dmitry",5024,RUS,16,176,1048,22,13,,748,,2,2:02.81,1328,,29,836,,,,,14,09:44.30
26,"CERTELLI , Lorenzo",5008,ITA,4,183,1132,19,14,,776,,24,2:13.17,1204,,30,824,,,,,11,09:42.63
27,"MOTSIOS , Dimitrios",4972,GRE,24,171,988,10,17,,860,,1,2:02.06,1336,,31,820,,,,,27,10:08.03
28,"POLKOVNIKOV , Roman",4948,UKR,30,167,940,28,11,,692,,27,2:13.62,1200,,23,1056,,,,,15,09:45.22
29,"GAURUDER , Krisztian",4932,HUN,32,161,868,25,12,,720,,8,2:06.19,1288,,11,1144,,,,,28,10:22.32
30,"EVANS , Gareth",4872,GBR,27,169,964,29,10,,664,,25,2:13.39,1200,,26,988,,,,,16,09:46.03
31,"LIS , Lukasz",4804,POL,11,179,1084,29,10,,664,,22,2:12.56,1212,,25,1004,,,,,32,10:40.11
32,"SIRENKYY , Mykola",4404,UKR,29,168,952,19,14,,776,,32,2:16.59,1164,,32,652,,,,,31,10:35.86
33,"LEGON , Jack",3960,GBR,16,168,952,9,11,,840,,9,2:09.52,1248,,5,0,,,,,14,10:20.72
34,"LINK , Christopher",3868,GER,4,180,1096,20,6,,604,,21,2:18.95,1136,,6,0,,,,,4,09:52.64
35,"NOVAK , Dominik",3900,GER,8,176,1048,14,10,,800,,12,2:10.95,1232,,25,0,,,,,22,10:45.44
36,"MICHALOPOULOS , Apostolos",3856,GRE,12,174,1024,14,10,,780,,6,2:09.01,1252,,2,0,,,,,18,10:50.66
37,"VASILEV , Victor",3856,UKR,23,150,736,3,14,,960,,17,2:14.45,1188,,12,0,,,,,7,10:07.70
38,"ATKINSON , David",3824,GBR,5,180,1096,19,8,,692,,22,2:29.86,1004,,10,0,,,,,3,09:52.27
39,"LOUKAIDES , Nicolaos",3848,CYP,3,181,1108,17,9,,760,,13,2:11.02,1228,,3,0,,,,,23,11:02.58
40,"VAGIAS , Panagiotis",3580,GRE,21,152,760,4,12,,868,,7,2:09.07,1252,,4,0,,,,,21,11:15.80
41,"VARBOGYAY , Zsolt",3800,HUN,12,173,1012,14,10,,800,,20,2:17.00,1156,,9,0,,,,,20,10:42.32
42,"NORTH , Russell",3568,GBR,19,158,832,22,3,,472,,10,2:09.36,1248,,7,0,,,,,5,09:56.59
43,"SEEDRE , Slim",3632,EST,7,176,1048,17,9,,760,,23,2:30.40,996,,1,0,,,,,21,10:43.40
44,"GOUEYTES , Bastien",3516,FRA,22,159,644,21,5,,560,,13,2:10.59,1236,,8,0,,,,,2,09:41.48
45,"VRABEL , Tomas",3576,SVK,21,157,820,23,4,,560,,22,2:21.76,1100,,11,0,,,,,1,09:36.72
