Dist,aea,SchName,year,type,grade,subgroup,description,Enroll,Number Tested,Participation Rate Percentage,Number Full Academic Year Tested,Number Proficient,Percent Proficient
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,04,00,All Students        ,114,114,100,104,87,83.65384615384616
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,05,00,All Students        ,116,115,99.13793103448276,107,86,80.37383177570094
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,06,00,All Students        ,126,126,100,110,98,89.0909090909091
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,07,00,All Students        ,109,109,100,100,87,87
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,08,00,All Students        ,110,110,100,100,84,84
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,11,00,All Students        ,104,104,100,95,88,92.63157894736842
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,03,00,All Students        ,104,104,100,97,74,76.28865979381443
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,04,00,All Students        ,114,114,100,104,92,88.46153846153845
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,05,00,All Students        ,116,115,99.13793103448276,107,84,78.50467289719626
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,06,00,All Students        ,126,126,100,110,87,79.0909090909091
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,07,00,All Students        ,109,109,100,100,77,77
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,08,00,All Students        ,110,110,100,100,81,81
0027,11,Adel DeSoto Minburn Comm School District,2012,Reading,11,00,All Students        ,104,104,100,95,89,93.6842105263158
0063,12,Akron Westfield Comm School District,2012,Mathematics,03,00,All Students        ,32,32,100,32,27,84.375
0063,12,Akron Westfield Comm School District,2012,Mathematics,04,00,All Students        ,43,43,100,40,32,80
0063,12,Akron Westfield Comm School District,2012,Mathematics,05,00,All Students        ,33,33,100,32,25,78.125
0063,12,Akron Westfield Comm School District,2012,Mathematics,06,00,All Students        ,30,30,100,25,20,80
0063,12,Akron Westfield Comm School District,2012,Mathematics,07,00,All Students        ,47,47,100,44,34,77.27272727272727
0063,12,Akron Westfield Comm School District,2012,Mathematics,08,00,All Students        ,32,32,100,30,23,76.66666666666667
0063,12,Akron Westfield Comm School District,2012,Mathematics,11,00,All Students        ,38,38,100,36,32,88.88888888888889
0063,12,Akron Westfield Comm School District,2012,Reading,03,00,All Students        ,32,32,100,32,25,78.125
0063,12,Akron Westfield Comm School District,2012,Reading,04,00,All Students        ,43,43,100,40,35,87.5
0063,12,Akron Westfield Comm School District,2012,Reading,05,00,All Students        ,33,33,100,32,23,71.875
0063,12,Akron Westfield Comm School District,2012,Reading,06,00,All Students        ,30,30,100,25,20,80
0063,12,Akron Westfield Comm School District,2012,Reading,07,00,All Students        ,47,47,100,44,33,75
0063,12,Akron Westfield Comm School District,2012,Reading,08,00,All Students        ,32,32,100,30,21,70
0063,12,Akron Westfield Comm School District,2012,Reading,11,00,All Students        ,38,38,100,36,32,88.88888888888889
0072,05,Albert City-Truesdale Comm School District,2012,Mathematics,03,00,All Students        ,15,15,100,15,14,93.33333333333333
0072,05,Albert City-Truesdale Comm School District,2012,Mathematics,04,00,All Students        ,14,14,100,10,9,90
0072,05,Albert City-Truesdale Comm School District,2012,Mathematics,05,00,All Students        ,small N,small N,small N,small N,small N,small N
0072,05,Albert City-Truesdale Comm School District,2012,Mathematics,06,00,All Students        ,14,14,100,14,9,64.28571428571429
0072,05,Albert City-Truesdale Comm School District,2012,Reading,03,00,All Students        ,15,15,100,15,13,86.66666666666667
0072,05,Albert City-Truesdale Comm School District,2012,Reading,04,00,All Students        ,14,14,100,10,9,90
0072,05,Albert City-Truesdale Comm School District,2012,Reading,05,00,All Students        ,small N,small N,small N,small N,small N,small N
0072,05,Albert City-Truesdale Comm School District,2012,Reading,06,00,All Students        ,14,14,100,14,8,57.14285714285714
0081,15,Albia Comm School District,2012,Mathematics,03,00,All Students        ,94,94,100,83,59,71.08433734939759
0081,15,Albia Comm School District,2012,Mathematics,04,00,All Students        ,84,84,100,81,48,59.25925925925925
0081,15,Albia Comm School District,2012,Mathematics,05,00,All Students        ,86,86,100,77,52,67.53246753246754
0081,15,Albia Comm School District,2012,Mathematics,06,00,All Students        ,79,79,100,76,60,78.94736842105263
0081,15,Albia Comm School District,2012,Mathematics,07,00,All Students        ,76,76,100,74,58,78.37837837837837
0081,15,Albia Comm School District,2012,Mathematics,08,00,All Students        ,91,91,100,89,68,76.40449438202246
0081,15,Albia Comm School District,2012,Mathematics,11,00,All Students        ,76,76,100,69,57,82.6086956521739
0081,15,Albia Comm School District,2012,Reading,03,00,All Students        ,94,94,100,83,67,80.72289156626506
0081,15,Albia Comm School District,2012,Reading,04,00,All Students        ,84,84,100,81,59,72.8395061728395
0081,15,Albia Comm School District,2012,Reading,05,00,All Students        ,86,86,100,77,64,83.11688311688312
0081,15,Albia Comm School District,2012,Reading,06,00,All Students        ,79,79,100,76,63,82.89473684210526
0081,15,Albia Comm School District,2012,Reading,07,00,All Students        ,76,76,100,74,44,59.45945945945946
0081,15,Albia Comm School District,2012,Reading,08,00,All Students        ,91,91,100,89,65,73.03370786516854
0081,15,Albia Comm School District,2012,Reading,11,00,All Students        ,76,76,100,69,62,89.85507246376811
0099,10,Alburnett Comm School District,2012,Mathematics,03,00,All Students        ,44,44,100,41,32,78.04878048780488
0099,10,Alburnett Comm School District,2012,Mathematics,04,00,All Students        ,47,47,100,40,32,80
0099,10,Alburnett Comm School District,2012,Mathematics,05,00,All Students        ,48,48,100,41,35,85.36585365853658
0099,10,Alburnett Comm School District,2012,Mathematics,06,00,All Students        ,45,45,100,40,34,85
0099,10,Alburnett Comm School District,2012,Mathematics,07,00,All Students        ,38,38,100,37,32,86.48648648648648
0099,10,Alburnett Comm School District,2012,Mathematics,08,00,All Students        ,49,49,100,48,37,77.08333333333334
0099,10,Alburnett Comm School District,2012,Mathematics,11,00,All Students        ,53,53,100,52,46,88.46153846153845
0099,10,Alburnett Comm School District,2012,Reading,03,00,All Students        ,44,44,100,41,33,80.48780487804879
0099,10,Alburnett Comm School District,2012,Reading,04,00,All Students        ,47,47,100,40,33,82.5
0099,10,Alburnett Comm School District,2012,Reading,05,00,All Students        ,48,48,100,41,38,92.6829268292683
0099,10,Alburnett Comm School District,2012,Reading,06,00,All Students        ,45,45,100,40,33,82.5
0099,10,Alburnett Comm School District,2012,Reading,07,00,All Students        ,38,38,100,37,28,75.67567567567568
0099,10,Alburnett Comm School District,2012,Reading,08,00,All Students        ,49,49,100,48,23,47.91666666666667
0099,10,Alburnett Comm School District,2012,Reading,11,00,All Students        ,53,53,100,52,47,90.38461538461539
0108,07,Alden Comm School District,2012,Mathematics,03,00,All Students        ,18,18,100,18,13,72.22222222222221
0108,07,Alden Comm School District,2012,Mathematics,04,00,All Students        ,22,22,100,20,16,80
0108,07,Alden Comm School District,2012,Mathematics,05,00,All Students        ,22,22,100,20,11,55.00000000000001
0108,07,Alden Comm School District,2012,Mathematics,06,00,All Students        ,114,114,100,98,62,63.26530612244898
0108,07,Alden Comm School District,2012,Reading,03,00,All Students        ,18,18,100,18,15,83.33333333333334
0108,07,Alden Comm School District,2012,Reading,04,00,All Students        ,22,22,100,20,15,75
0108,07,Alden Comm School District,2012,Reading,05,00,All Students        ,22,22,100,20,12,60
0108,07,Alden Comm School District,2012,Reading,06,00,All Students        ,114,114,100,98,57,58.16326530612245
0126,05,Algona Comm School District,2012,Mathematics,03,00,All Students        ,90,90,100,79,64,81.0126582278481
0126,05,Algona Comm School District,2012,Mathematics,04,00,All Students        ,94,93,98.93617021276596,84,65,77.38095238095238
0126,05,Algona Comm School District,2012,Mathematics,05,00,All Students        ,96,95,98.95833333333334,83,60,72.28915662650603
0126,05,Algona Comm School District,2012,Mathematics,06,00,All Students        ,108,106,98.14814814814815,84,62,73.80952380952381
0126,05,Algona Comm School District,2012,Mathematics,07,00,All Students        ,84,84,100,69,58,84.05797101449275
0126,05,Algona Comm School District,2012,Mathematics,08,00,All Students        ,111,111,100,85,62,72.94117647058823
0126,05,Algona Comm School District,2012,Mathematics,11,00,All Students        ,108,99,91.66666666666666,85,65,76.47058823529412
0126,05,Algona Comm School District,2012,Reading,03,00,All Students        ,90,89,98.88888888888889,78,65,83.33333333333334
0126,05,Algona Comm School District,2012,Reading,04,00,All Students        ,94,93,98.93617021276596,84,63,75
0126,05,Algona Comm School District,2012,Reading,05,00,All Students        ,96,95,98.95833333333334,83,51,61.44578313253012
0126,05,Algona Comm School District,2012,Reading,06,00,All Students        ,108,106,98.14814814814815,84,65,77.38095238095238
0126,05,Algona Comm School District,2012,Reading,07,00,All Students        ,84,84,100,69,54,78.26086956521739
0126,05,Algona Comm School District,2012,Reading,08,00,All Students        ,111,111,100,85,52,61.1764705882353
0126,05,Algona Comm School District,2012,Reading,11,00,All Students        ,108,100,92.5925925925926,86,63,73.25581395348837
0135,01,Allamakee Comm School District,2012,Mathematics,03,00,All Students        ,101,100,99.00990099009901,90,70,77.77777777777779
0135,01,Allamakee Comm School District,2012,Mathematics,04,00,All Students        ,65,65,100,64,53,82.8125
0135,01,Allamakee Comm School District,2012,Mathematics,05,00,All Students        ,73,72,98.63013698630137,65,50,76.92307692307693
0135,01,Allamakee Comm School District,2012,Mathematics,06,00,All Students        ,64,63,98.4375,59,40,67.79661016949152
0135,01,Allamakee Comm School District,2012,Mathematics,07,00,All Students        ,110,110,100,91,69,75.82417582417582
0135,01,Allamakee Comm School District,2012,Mathematics,08,00,All Students        ,105,105,100,98,81,82.6530612244898
0135,01,Allamakee Comm School District,2012,Mathematics,11,00,All Students        ,110,108,98.18181818181819,102,94,92.15686274509804
0135,01,Allamakee Comm School District,2012,Reading,03,00,All Students        ,101,100,99.00990099009901,90,73,81.11111111111111
0135,01,Allamakee Comm School District,2012,Reading,04,00,All Students        ,65,65,100,64,53,82.8125
0135,01,Allamakee Comm School District,2012,Reading,05,00,All Students        ,73,72,98.63013698630137,65,53,81.53846153846153
0135,01,Allamakee Comm School District,2012,Reading,06,00,All Students        ,64,63,98.4375,59,41,69.49152542372882
0135,01,Allamakee Comm School District,2012,Reading,07,00,All Students        ,110,110,100,91,64,70.32967032967034
0135,01,Allamakee Comm School District,2012,Reading,08,00,All Students        ,105,104,99.04761904761905,97,70,72.16494845360825
0135,01,Allamakee Comm School District,2012,Reading,11,00,All Students        ,110,108,98.18181818181819,102,83,81.37254901960785
0153,07,North Butler Comm School District,2012,Mathematics,03,00,All Students        ,36,36,100,35,30,85.71428571428571
0153,07,North Butler Comm School District,2012,Mathematics,04,00,All Students        ,37,37,100,35,29,82.85714285714286
0153,07,North Butler Comm School District,2012,Mathematics,05,00,All Students        ,42,42,100,36,32,88.88888888888889
0153,07,North Butler Comm School District,2012,Mathematics,06,00,All Students        ,46,46,100,45,36,80
0153,07,North Butler Comm School District,2012,Mathematics,07,00,All Students        ,49,49,100,45,41,91.11111111111111
0153,07,North Butler Comm School District,2012,Mathematics,08,00,All Students        ,49,49,100,47,39,82.97872340425532
0153,07,North Butler Comm School District,2012,Mathematics,11,00,All Students        ,46,46,100,46,40,86.95652173913044
0153,07,North Butler Comm School District,2012,Reading,03,00,All Students        ,36,36,100,35,33,94.28571428571428
0153,07,North Butler Comm School District,2012,Reading,04,00,All Students        ,37,37,100,35,31,88.57142857142857
0153,07,North Butler Comm School District,2012,Reading,05,00,All Students        ,42,42,100,36,28,77.77777777777779
0153,07,North Butler Comm School District,2012,Reading,06,00,All Students        ,46,46,100,45,23,51.11111111111111
0153,07,North Butler Comm School District,2012,Reading,07,00,All Students        ,49,49,100,45,31,68.88888888888889
0153,07,North Butler Comm School District,2012,Reading,08,00,All Students        ,49,49,100,47,31,65.95744680851064
0153,07,North Butler Comm School District,2012,Reading,11,00,All Students        ,46,46,100,46,37,80.43478260869566
0171,05,Alta Comm School District,2012,Mathematics,03,00,All Students        ,38,38,100,33,24,72.72727272727273
0171,05,Alta Comm School District,2012,Mathematics,04,00,All Students        ,45,44,97.77777777777777,40,26,65
0171,05,Alta Comm School District,2012,Mathematics,05,00,All Students        ,49,49,100,43,29,67.44186046511628
0171,05,Alta Comm School District,2012,Mathematics,11,00,All Students        ,60,60,100,43,36,83.72093023255815
0171,05,Alta Comm School District,2012,Reading,03,00,All Students        ,38,38,100,33,26,78.78787878787878
0171,05,Alta Comm School District,2012,Reading,04,00,All Students        ,45,44,97.77777777777777,40,26,65
0171,05,Alta Comm School District,2012,Reading,05,00,All Students        ,49,49,100,43,24,55.81395348837209
0171,05,Alta Comm School District,2012,Reading,11,00,All Students        ,60,60,100,43,36,83.72093023255815
0225,11,Ames Comm School District,2012,Mathematics,03,00,All Students        ,291,291,100,247,221,89.47368421052632
0225,11,Ames Comm School District,2012,Mathematics,04,00,All Students        ,286,286,100,247,214,86.63967611336032
0225,11,Ames Comm School District,2012,Mathematics,05,00,All Students        ,299,299,100,263,228,86.69201520912547
0225,11,Ames Comm School District,2012,Mathematics,06,00,All Students        ,330,328,99.39393939393939,271,241,88.92988929889299
0225,11,Ames Comm School District,2012,Mathematics,07,00,All Students        ,308,305,99.02597402597402,268,241,89.92537313432835
0225,11,Ames Comm School District,2012,Mathematics,08,00,All Students        ,273,271,99.26739926739927,237,211,89.0295358649789
0225,11,Ames Comm School District,2012,Mathematics,11,00,All Students        ,349,345,98.8538681948424,315,288,91.42857142857143
0225,11,Ames Comm School District,2012,Reading,03,00,All Students        ,290,287,98.9655172413793,247,219,88.66396761133603
0225,11,Ames Comm School District,2012,Reading,04,00,All Students        ,285,280,98.24561403508771,247,209,84.61538461538461
0225,11,Ames Comm School District,2012,Reading,05,00,All Students        ,299,296,98.99665551839465,263,212,80.6083650190114
0225,11,Ames Comm School District,2012,Reading,06,00,All Students        ,330,327,99.0909090909091,271,219,80.81180811808119
0225,11,Ames Comm School District,2012,Reading,07,00,All Students        ,308,303,98.37662337662337,269,222,82.5278810408922
0225,11,Ames Comm School District,2012,Reading,08,00,All Students        ,273,267,97.8021978021978,236,196,83.05084745762711
0225,11,Ames Comm School District,2012,Reading,11,00,All Students        ,349,344,98.56733524355302,315,280,88.88888888888889
0234,10,Anamosa Comm School District,2012,Mathematics,03,00,All Students        ,77,77,100,69,56,81.15942028985508
0234,10,Anamosa Comm School District,2012,Mathematics,04,00,All Students        ,89,89,100,82,73,89.02439024390245
0234,10,Anamosa Comm School District,2012,Mathematics,05,00,All Students        ,84,84,100,81,63,77.77777777777779
0234,10,Anamosa Comm School District,2012,Mathematics,06,00,All Students        ,93,92,98.9247311827957,81,58,71.60493827160494
0234,10,Anamosa Comm School District,2012,Mathematics,07,00,All Students        ,85,85,100,75,69,92
0234,10,Anamosa Comm School District,2012,Mathematics,08,00,All Students        ,95,95,100,92,81,88.04347826086956
0234,10,Anamosa Comm School District,2012,Mathematics,11,00,All Students        ,120,120,100,115,101,87.82608695652175
0234,10,Anamosa Comm School District,2012,Reading,03,00,All Students        ,77,77,100,69,56,81.15942028985508
0234,10,Anamosa Comm School District,2012,Reading,04,00,All Students        ,89,89,100,82,70,85.36585365853658
0234,10,Anamosa Comm School District,2012,Reading,05,00,All Students        ,84,84,100,81,65,80.24691358024691
0234,10,Anamosa Comm School District,2012,Reading,06,00,All Students        ,93,92,98.9247311827957,81,51,62.96296296296296
0234,10,Anamosa Comm School District,2012,Reading,07,00,All Students        ,85,85,100,75,55,73.33333333333333
0234,10,Anamosa Comm School District,2012,Reading,08,00,All Students        ,95,95,100,92,75,81.52173913043478
0234,10,Anamosa Comm School District,2012,Reading,11,00,All Students        ,120,120,100,115,94,81.73913043478261
0243,09,Andrew Comm School District,2012,Mathematics,03,00,All Students        ,17,17,100,15,11,73.33333333333333
0243,09,Andrew Comm School District,2012,Mathematics,04,00,All Students        ,22,22,100,19,13,68.42105263157895
0243,09,Andrew Comm School District,2012,Mathematics,05,00,All Students        ,22,22,100,20,17,85
0243,09,Andrew Comm School District,2012,Mathematics,06,00,All Students        ,23,23,100,18,10,55.55555555555556
0243,09,Andrew Comm School District,2012,Mathematics,07,00,All Students        ,17,17,100,14,7,50
0243,09,Andrew Comm School District,2012,Mathematics,08,00,All Students        ,18,18,100,16,14,87.5
0243,09,Andrew Comm School District,2012,Reading,03,00,All Students        ,17,17,100,15,13,86.66666666666667
0243,09,Andrew Comm School District,2012,Reading,04,00,All Students        ,22,22,100,19,14,73.68421052631578
0243,09,Andrew Comm School District,2012,Reading,05,00,All Students        ,22,22,100,20,18,90
0243,09,Andrew Comm School District,2012,Reading,06,00,All Students        ,23,23,100,18,8,44.44444444444444
0243,09,Andrew Comm School District,2012,Reading,07,00,All Students        ,17,17,100,14,5,35.714285714285715
0243,09,Andrew Comm School District,2012,Reading,08,00,All Students        ,18,18,100,16,14,87.5
0261,11,Ankeny Comm School District,2012,Mathematics,03,00,All Students        ,734,733,99.86376021798365,688,619,89.97093023255815
0261,11,Ankeny Comm School District,2012,Mathematics,04,00,All Students        ,732,731,99.86338797814209,680,637,93.67647058823529
0261,11,Ankeny Comm School District,2012,Mathematics,05,00,All Students        ,701,701,100,660,606,91.81818181818183
0261,11,Ankeny Comm School District,2012,Mathematics,06,00,All Students        ,663,661,99.69834087481146,615,562,91.3821138211382
0261,11,Ankeny Comm School District,2012,Mathematics,07,00,All Students        ,637,635,99.68602825745683,599,565,94.32387312186978
0261,11,Ankeny Comm School District,2012,Mathematics,08,00,All Students        ,651,648,99.53917050691244,608,552,90.78947368421053
0261,11,Ankeny Comm School District,2012,Mathematics,11,00,All Students        ,523,520,99.4263862332696,493,455,92.2920892494929
0261,11,Ankeny Comm School District,2012,Reading,03,00,All Students        ,734,734,100,689,608,88.24383164005806
0261,11,Ankeny Comm School District,2012,Reading,04,00,All Students        ,732,730,99.72677595628416,680,613,90.14705882352942
0261,11,Ankeny Comm School District,2012,Reading,05,00,All Students        ,701,701,100,660,584,88.48484848484848
0261,11,Ankeny Comm School District,2012,Reading,06,00,All Students        ,663,661,99.69834087481146,616,499,81.0064935064935
0261,11,Ankeny Comm School District,2012,Reading,07,00,All Students        ,637,635,99.68602825745683,599,508,84.80801335559266
0261,11,Ankeny Comm School District,2012,Reading,08,00,All Students        ,651,647,99.38556067588326,608,488,80.26315789473685
0261,11,Ankeny Comm School District,2012,Reading,11,00,All Students        ,523,520,99.4263862332696,493,468,94.9290060851927
0270,12,Anthon-Oto Comm School District,2012,Mathematics,03,00,All Students        ,16,16,100,13,7,53.84615384615385
0270,12,Anthon-Oto Comm School District,2012,Mathematics,04,00,All Students        ,16,16,100,13,7,53.84615384615385
0270,12,Anthon-Oto Comm School District,2012,Mathematics,05,00,All Students        ,16,16,100,14,7,50
0270,12,Anthon-Oto Comm School District,2012,Mathematics,06,00,All Students        ,47,47,100,42,22,52.38095238095239
0270,12,Anthon-Oto Comm School District,2012,Mathematics,07,00,All Students        ,43,43,100,37,26,70.27027027027027
0270,12,Anthon-Oto Comm School District,2012,Mathematics,08,00,All Students        ,51,50,98.0392156862745,45,23,51.11111111111111
0270,12,Anthon-Oto Comm School District,2012,Reading,03,00,All Students        ,16,16,100,13,6,46.15384615384615
0270,12,Anthon-Oto Comm School District,2012,Reading,04,00,All Students        ,16,16,100,13,7,53.84615384615385
0270,12,Anthon-Oto Comm School District,2012,Reading,05,00,All Students        ,16,16,100,14,9,64.28571428571429
0270,12,Anthon-Oto Comm School District,2012,Reading,06,00,All Students        ,47,47,100,42,26,61.904761904761905
0270,12,Anthon-Oto Comm School District,2012,Reading,07,00,All Students        ,43,42,97.67441860465115,36,19,52.77777777777778
0270,12,Anthon-Oto Comm School District,2012,Reading,08,00,All Students        ,51,50,98.0392156862745,45,21,46.666666666666664
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,03,00,All Students        ,53,53,100,51,44,86.27450980392157
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,04,00,All Students        ,69,69,100,63,46,73.01587301587301
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,05,00,All Students        ,49,48,97.95918367346938,44,34,77.27272727272727
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,06,00,All Students        ,68,68,100,64,36,56.25
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,07,00,All Students        ,71,70,98.59154929577466,62,38,61.29032258064516
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,08,00,All Students        ,73,73,100,69,58,84.05797101449275
0279,07,Aplington-Parkersburg Comm School District,2012,Mathematics,11,00,All Students        ,72,72,100,68,60,88.23529411764706
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,03,00,All Students        ,53,53,100,51,39,76.47058823529412
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,04,00,All Students        ,69,69,100,63,45,71.42857142857143
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,05,00,All Students        ,49,48,97.95918367346938,44,31,70.45454545454545
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,06,00,All Students        ,68,68,100,64,41,64.0625
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,07,00,All Students        ,71,70,98.59154929577466,62,44,70.96774193548387
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,08,00,All Students        ,73,73,100,69,50,72.46376811594203
0279,07,Aplington-Parkersburg Comm School District,2012,Reading,11,00,All Students        ,72,72,100,68,56,82.35294117647058
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,03,00,All Students        ,25,25,100,22,19,86.36363636363636
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,04,00,All Students        ,26,25,96.15384615384616,25,21,84
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,05,00,All Students        ,19,19,100,16,13,81.25
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,06,00,All Students        ,21,21,100,21,11,52.38095238095239
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,07,00,All Students        ,20,19,95,17,15,88.23529411764706
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,08,00,All Students        ,20,20,100,19,13,68.42105263157895
0333,05,Armstrong-Ringsted Comm School District,2012,Mathematics,11,00,All Students        ,24,24,100,22,20,90.9090909090909
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,03,00,All Students        ,25,25,100,22,18,81.81818181818183
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,04,00,All Students        ,26,25,96.15384615384616,25,22,88
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,05,00,All Students        ,19,19,100,16,11,68.75
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,06,00,All Students        ,21,21,100,21,14,66.66666666666666
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,07,00,All Students        ,20,19,95,17,14,82.35294117647058
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,08,00,All Students        ,20,20,100,19,15,78.94736842105263
0333,05,Armstrong-Ringsted Comm School District,2012,Reading,11,00,All Students        ,24,24,100,22,14,63.63636363636363
0355,12,Ar-We-Va Comm School District,2012,Mathematics,03,00,All Students        ,21,21,100,20,14,70
0355,12,Ar-We-Va Comm School District,2012,Mathematics,04,00,All Students        ,13,13,100,12,12,100
0355,12,Ar-We-Va Comm School District,2012,Mathematics,05,00,All Students        ,15,15,100,14,13,92.85714285714286
0355,12,Ar-We-Va Comm School District,2012,Mathematics,06,00,All Students        ,16,16,100,16,13,81.25
0355,12,Ar-We-Va Comm School District,2012,Mathematics,07,00,All Students        ,21,21,100,18,16,88.88888888888889
0355,12,Ar-We-Va Comm School District,2012,Mathematics,08,00,All Students        ,15,15,100,15,12,80
0355,12,Ar-We-Va Comm School District,2012,Mathematics,11,00,All Students        ,27,27,100,25,24,96
0355,12,Ar-We-Va Comm School District,2012,Reading,03,00,All Students        ,21,21,100,20,15,75
0355,12,Ar-We-Va Comm School District,2012,Reading,04,00,All Students        ,13,13,100,12,11,91.66666666666666
0355,12,Ar-We-Va Comm School District,2012,Reading,05,00,All Students        ,15,15,100,14,14,100
0355,12,Ar-We-Va Comm School District,2012,Reading,06,00,All Students        ,16,16,100,16,12,75
0355,12,Ar-We-Va Comm School District,2012,Reading,07,00,All Students        ,21,21,100,18,13,72.22222222222221
0355,12,Ar-We-Va Comm School District,2012,Reading,08,00,All Students        ,15,15,100,15,8,53.333333333333336
0355,12,Ar-We-Va Comm School District,2012,Reading,11,00,All Students        ,27,27,100,25,23,92
0387,13,Atlantic Comm School District,2012,Mathematics,03,00,All Students        ,112,112,100,103,87,84.46601941747572
