Table Number,Table Name,Code,Shortened Description
Table 6.0,Surgery Procedure Codes,33231,with existing multiple leads
Table 6.0,Surgery Procedure Codes,33233,Removal of permanent pacemaker pulse generator only
Table 6.0,Surgery Procedure Codes,33240,Insertion of pacing cardioverter-defibrillator pulse generator only; with existing single lead
Table 6.0,Surgery Procedure Codes,33241,Removal of pacing cardioverter-defibrillator pulse generator only;
Table 6.0,Surgery Procedure Codes,33244,By transvenous extraction
Table 6.0,Surgery Procedure Codes,33249,"Insertion or replacement of permanent pacing cardioverter-defibrilator system with transvenous lead(s), single or dual chamber;"
Table 6.0,Surgery Procedure Codes,33262,Removal of pacing cardioverter-defibrillator pulse generator with replacement of pacing cardioverter-defibrillator pulse generator; single lead system
Table 6.0,Surgery Procedure Codes,33263,dual lead system
Table 6.0,Surgery Procedure Codes,33264,multiple lead system
Table 6.0,Surgery Procedure Codes,36830,"Nonautogenous graft (eg, biological collagen, thermoplastic graft)"
Table 6.0,Surgery Procedure Codes,43130,"Diverticulectomy of hypopharynx or esophagus, with or without myotomy; cervical approach"
Table 6.0,Surgery Procedure Codes,43246,With directed placement of percutaneous gastrostomy tube
Table 6.0,Surgery Procedure Codes,43832,"With construction of gastric tube (eg, Janeway procedure)"
Table 6.0,Surgery Procedure Codes,54400,Insertion of penile prosthesis; non-inflatable (semi-rigid)
Table 6.0,Surgery Procedure Codes,54401,Inflatable (self-contained)
Table 6.0,Surgery Procedure Codes,54405,"Insertion of multi-component, inflatable penile prosthesis, including placement of pump, cylinders, and reservoir"
Table 6.0,Surgery Procedure Codes,54408,"Repair of component(s) of a multi-component, inflatable penile prosthesis"
Table 6.0,Surgery Procedure Codes,54410,"Removal and replacement of all component(s) of a multi-component, inflatable penile prosthesis at the same operative session"
Table 6.0,Surgery Procedure Codes,54416,Removal and replacement of non-inflatable (semi-rigid) or inflatable (self-contained) penile prosthesis at the same operative session
Table 6.0,Surgery Procedure Codes,55700,"Biopsy, prostate; needle or punch, single or multiple, any approach"
Table 6.0,Surgery Procedure Codes,55705,"Incisional, any approach"
Table 6.0,Surgery Procedure Codes,57288,"Sling operation for stress incontinence (eg, fascia or synthetic)"
Table 6.0,Surgery Procedure Codes,57423,"Paravaginal defect repair (including repair of cystocele, if performed), laparoscopic approach"
Table 6.0,Surgery Procedure Codes,58260,"Vaginal hysterectomy, for uterus 250 g or less;"
Table 6.0,Surgery Procedure Codes,58262,"With removal of tube(s), and/or ovary(s)"
Table 6.0,Surgery Procedure Codes,58263,"With removal of tube(s), and/or ovary(s), with repair of enterocele  "
Table 6.0,Surgery Procedure Codes,58270,With repair of enterocele
Table 6.0,Surgery Procedure Codes,58290,"Vaginal hysterectomy, for uterus greater than 250 g; "
Table 6.0,Surgery Procedure Codes,58291,With removal of tube(s) and/or ovary(s)
Table 6.0,Surgery Procedure Codes,58292,"With removal of tube(s) and/or ovary(s), with repair of enterocele"
Table 6.0,Surgery Procedure Codes,58293,"With colpo-urethrocystopexy (Marshall-Marchetti-Kranz type, Pereyro type) with or without endoscopic control"
Table 6.0,Surgery Procedure Codes,58294,With repair of enterocele
Table 6.0,Surgery Procedure Codes,58550,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less;"
Table 6.0,Surgery Procedure Codes,58552,With removal of tube(s) and/or ovary(s)
Table 6.0,Surgery Procedure Codes,58553,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g;"
Table 6.0,Surgery Procedure Codes,58554,With removal of tube(s) and/or ovary(s)
Table 6.0,Surgery Procedure Codes,58570,"Laparoscopy, surgical, with total hysterectomy for uterus 250 g or less;"
Table 6.0,Surgery Procedure Codes,58571,With removal of tube(s) and/or ovary(s)
Table 6.0,Surgery Procedure Codes,58572,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g;"
Table 6.0,Surgery Procedure Codes,58573,With removal of tube(s) and/or ovary(s)
Table 6.0,Surgery Procedure Codes,62230,"Replacement or revision of cerebrospinal fluid shunt, obstructed valve, or distal catheter in shunt system"
Table 6.0,Surgery Procedure Codes,62360,Implantation or replacement of device for intrathecal or epidural drug infusion; subcutaneous reservoir
Table 6.0,Surgery Procedure Codes,62361,Non-programmable pump
Table 6.0,Surgery Procedure Codes,62362,"Programmable pump, including preparation of pump, with or without programming"
Table 6.0,Surgery Procedure Codes,63001,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equine, without facetectomy, foraminotomy or discectomy, (eg, spinal stenosis), 1 or 2 vertebral segments; cervical"
Table 6.0,Surgery Procedure Codes,63003,Thoracic
Table 6.0,Surgery Procedure Codes,63005,"Lumbar, except for spondylolisthesis"
Table 6.0,Surgery Procedure Codes,63011,Sacral
Table 6.0,Surgery Procedure Codes,63012,"Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)"
Table 6.0,Surgery Procedure Codes,63015,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy, (eg, spinal stenosis), more than 2 vertebral segments; cervical"
Table 6.0,Surgery Procedure Codes,63016,Thoracic
Table 6.0,Surgery Procedure Codes,63017,Lumbar
Table 6.0,Surgery Procedure Codes,63020,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical"
Table 6.0,Surgery Procedure Codes,63030,"1 interspace, lumbar "
Table 6.0,Surgery Procedure Codes,63040,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; cervical"
Table 6.0,Surgery Procedure Codes,63042,Lumbar  
Table 6.0,Surgery Procedure Codes,63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root(s), [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical"
Table 6.0,Surgery Procedure Codes,63046,Thoracic
Table 6.0,Surgery Procedure Codes,63047,Lumbar
Table 6.0,Surgery Procedure Codes,63056,"Lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)"
Table 6.0,Surgery Procedure Codes,63075,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; cervical, single interspace"
Table 6.1,Cardiac and Vascular Codes,33206,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial
Table 6.1,Cardiac and Vascular Codes,33207,ventricular
Table 6.1,Cardiac and Vascular Codes,33208,atrial and ventricular
Table 6.1,Cardiac and Vascular Codes,33212,Insertion of pacemaker pulse generator only; with existing single lead
Table 6.1,Cardiac and Vascular Codes,33213,with existing dual leads
Table 6.1,Cardiac and Vascular Codes,33214,"Upgrade of implanted pacemaker system, conversion of single chamber system  to dual chamber system (includes removal of previously placed pulse generator, testing of existing lead, insertion of new lead, insertion of new pulse generator)"
Table 6.1,Cardiac and Vascular Codes,33215,Repositioning of previously implanted transvenous pacemaker or pacing cardioverter-defibrillator (right atrial or right ventricular) electrode
Table 6.1,Cardiac and Vascular Codes,33222,Revision or relocation of skin pocket for pacemaker
Table 6.1,Cardiac and Vascular Codes,33223,Revision of skin pocket for cardioverter-defibrillator
Table 6.1,Cardiac and Vascular Codes,33227,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; single lead system
Table 6.1,Cardiac and Vascular Codes,33228,dual lead system
Table 6.1,Cardiac and Vascular Codes,33229,multiple lead system
Table 6.1,Cardiac and Vascular Codes,33230,with existing dual leads
Table 6.1,Cardiac and Vascular Codes,33231,with existing multiple leads
Table 6.1,Cardiac and Vascular Codes,33233,Removal of permanent pacemaker pulse generator only
Table 6.1,Cardiac and Vascular Codes,33240,Insertion of pacing cardioverter-defibrillator pulse generator only; with existing single lead
Table 6.1,Cardiac and Vascular Codes,33241,Removal of pacing cardioverter-defibrillator pulse generator only;
Table 6.1,Cardiac and Vascular Codes,33244,By transvenous extraction
Table 6.1,Cardiac and Vascular Codes,33249,"Insertion or replacement of permanent pacing cardioverter-defibrilator system with transvenous lead(s), single or dual chamber;"
Table 6.1,Cardiac and Vascular Codes,33262,Removal of pacing cardioverter-defibrillator pulse generator with replacement of pacing cardioverter-defibrillator pulse generator; single lead system
Table 6.1,Cardiac and Vascular Codes,33263,dual lead system
Table 6.1,Cardiac and Vascular Codes,33264,multiple lead system
Table 6.1,Cardiac and Vascular Codes,36830,"Nonautogenous graft (eg, biological collagen, thermoplastic graft)"
Table 6.2,Orthopedic Codes,22206,"Osteotomy of spine, posterior or posterolateral approach, 3 columns,1 vertebral segment (eg, pedicle/vertebral body subtraction); thoracic"
Table 6.2,Orthopedic Codes,22207,Lumbar
Table 6.2,Orthopedic Codes,22208,Each additional vertebral segment
Table 6.2,Orthopedic Codes,27235,"Percutaneous skeletal fixation of femoral fracture, proximal end, neck"
Table 6.2,Orthopedic Codes,27269,"Open treatment of femoral fracture, proximal end, head, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,27440,"Arthroplasty, knee, tibial plateau;"
Table 6.2,Orthopedic Codes,27441,With debridement and partial synovectomy
Table 6.2,Orthopedic Codes,27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;"
Table 6.2,Orthopedic Codes,27443,With debridement and partial synovectomy
Table 6.2,Orthopedic Codes,27446,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"
Table 6.2,Orthopedic Codes,27702,With implant (total ankle)
Table 6.2,Orthopedic Codes,27758,"Open treatment of tibial shaft fracture (with or without fibular fracture), with plate/screws, with or without cerclage"
Table 6.2,Orthopedic Codes,27759,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage"
Table 6.2,Orthopedic Codes,28293,Resection of joint with implant
Table 6.2,Orthopedic Codes,28415,"Open treatment of calcaneal fracture, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28420,With primary iliac or other autogenous bone graft (includes obtaining graft)
Table 6.2,Orthopedic Codes,28445,"Open treatment of talus fracture, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28465,"Open treatment of tarsal bone fracture (except talus and calcaneus) includes internal fixation, when performed, each"
Table 6.2,Orthopedic Codes,28485,"Open treatment of metatarsal fracture, includes internal fixation, when performed, each"
Table 6.2,Orthopedic Codes,28505,"Open treatment of fracture, great toe, phalanx or phalanges, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28525,"Open treatment of fracture, phalanx or phalanges, other than great toe, includes internal fixation, when performed, each"
Table 6.2,Orthopedic Codes,28531,"Open treatment of sesamoid fracture, with or without internal fixation"
Table 6.2,Orthopedic Codes,28555,"Open treatment of tarsal bone dislocation, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28585,"Open treatment of talotarsal joint dislocation, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28615,"Open treatment of tarsometatarsal joint dislocation, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28645,"Open treatment of metatarsophalangeal joint dislocation, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28675,"Open treatment of interphalangeal joint dislocation, includes internal fixation, when performed"
Table 6.2,Orthopedic Codes,28705,Arthrodesis; pantalar
Table 6.2,Orthopedic Codes,28715,Triple
Table 6.2,Orthopedic Codes,28725,Subtalar 
Table 6.2,Orthopedic Codes,28730,"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse;"
Table 6.2,Orthopedic Codes,28735,"With osteotomy (eg, flatfoot correction)"
Table 6.2,Orthopedic Codes,28737,"Arthrodesis, with tendon lengthening and advancement, midtarsal, tarsal navicular-cuneiform (eg, Miller type procedure)"
Table 6.3,"Genitourinary - Biopsy, prostate",55700,"Biopsy, prostate; needle or punch, single or multiple, any approach"
Table 6.3,"Genitourinary - Biopsy, prostate",55705,"Incisional, any approach"
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54400,Insertion of penile prosthesis; non-inflatable (semi-rigid)
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54401,Inflatable (self-contained)
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54405,"Insertion of multi-component, inflatable penile prosthesis, including placement of pump, cylinders, and reservoir"
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54408,"Repair of component(s) of a multi-component, inflatable penile prosthesis"
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54410,"Removal and replacement of all component(s) of a multi-component, inflatable penile prosthesis at the same operative session"
Table 6.3a,"Genitourinary - Penile prosthesis insertion, removal, revision",54416,Removal and replacement of non-inflatable (semi-rigid) or inflatable (self-contained) penile prosthesis at the same operative session
Table 6.4,Gastric/Biliary - PEG placement,43246,With directed placement of percutaneous gastrostomy tube
Table 6.4,Gastric/Biliary - PEG placement,43832,"With construction of gastric tube (eg, Janeway procedure)"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58260,"Vaginal hysterectomy, for uterus 250 g or less;"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58262,"With removal of tube(s), and/or ovary(s)"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58263,"With removal of tube(s), and/or ovary(s), with repair of enterocele  "
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58270,With repair of enterocele
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58290,"Vaginal hysterectomy, for uterus greater than 250 g; "
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58291,With removal of tube(s) and/or ovary(s)
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58292,"With removal of tube(s) and/or ovary(s), with repair of enterocele"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58293,"With colpo-urethrocystopexy (Marshall-Marchetti-Kranz type, Pereyro type) with or without endoscopic control"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58294,With repair of enterocele
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58550,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less;"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58552,With removal of tube(s) and/or ovary(s)
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58553,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g;"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58554,With removal of tube(s) and/or ovary(s)
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58570,"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less;"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58571,With removal of tube(s) and/or ovary(s)
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58572,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g;"
Table 6.5,"Gynecological - LAVH, Vaginal Hysterectomy",58573,With removal of tube(s) and/or ovary(s)
Table 6.5a,Gynecological - Pubovaginal sling,57288,"Sling operation for stress incontinence (eg, fascia or synthetic)"
Table 6.5a,Gynecological - Pubovaginal sling,57423,"Paravaginal defect repair (including repair of cystocele, if performed), laparoscopic approach"
Table 6.6,Head and Neck,21454,Open treatment of mandibular fracture with external fixation
Table 6.6,Head and Neck,21461,Open treatment of mandibular fracture; without interdental fixation
Table 6.6,Head and Neck,21462,With interdental fixation
Table 6.6,Head and Neck,21465,Open treatment of mandibular condylar fracture
Table 6.6,Head and Neck,21470,"Open treatment of complicated mandibular fracture by multiple surgical approaches including internal fixation, interdental fixation, and/or wiring of dentures or splints"
Table 6.6,Head and Neck,43130,"Diverticulectomy of hypopharynx or esophagus, with or without myotomy; cervical approach"
Table 6.7,Neurological,62230,"Replacement or revision of cerebrospinal fluid shunt, obstructed valve, or distal catheter in shunt system"
Table 6.7,Neurological,62360,Implantation or replacement of device for intrathecal or epidural drug infusion; subcutaneous reservoir
Table 6.7,Neurological,62361,Non-programmable pump
Table 6.7,Neurological,62362,"Programmable pump, including preparation of pump, with or without programming"
Table 6.7,Neurological,63001,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equine, without facetectomy, foraminotomy or discectomy, (eg, spinal stenosis), 1 or 2 vertebral segments; cervical"
Table 6.7,Neurological,63003,Thoracic
Table 6.7,Neurological,63005,"Lumbar, except for spondylolisthesis"
Table 6.7,Neurological,63011,Sacral
Table 6.7,Neurological,63012,"Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)"
Table 6.7,Neurological,63015,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy, (eg, spinal stenosis), more than 2 vertebral segments; cervical"
Table 6.7,Neurological,63016,Thoracic
Table 6.7,Neurological,63017,Lumbar
Table 6.7,Neurological,63020,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical"
Table 6.7,Neurological,63030,"1 interspace, lumbar "
Table 6.7,Neurological,63040,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; cervical"
Table 6.7,Neurological,63042,Lumbar  
Table 6.7,Neurological,63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root(s), [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical"
Table 6.7,Neurological,63046,Thoracic
Table 6.7,Neurological,63047,Lumbar
Table 6.7,Neurological,63056,"Lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)"
Table 6.7,Neurological,63075,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; cervical, single interspace"
Table 7.01,Mental Disorders,290.0,SENILE DEMENTIA UNCOMP
Table 7.01,Mental Disorders,290.10,PRESENILE DEMENTIA
Table 7.01,Mental Disorders,290.11,PRESENILE DELIRIUM
Table 7.01,Mental Disorders,290.12,PRESENILE DELUSION
Table 7.01,Mental Disorders,290.13,PRESENILE DEPRESSION
Table 7.01,Mental Disorders,290.20,SENILE DELUSION
Table 7.01,Mental Disorders,290.21,SENILE DEPRESSIVE
Table 7.01,Mental Disorders,290.3,SENILE DELIRIUM
Table 7.01,Mental Disorders,290.40,"VASCULAR DEMENTIA,UNCOMP"
Table 7.01,Mental Disorders,290.41,VASC DEMENTIA W DELIRIUM
Table 7.01,Mental Disorders,290.42,VASC DEMENTIA W DELUSION
Table 7.01,Mental Disorders,290.43,VASC DEMENTIA W DEPRESSN
Table 7.01,Mental Disorders,290.8,SENILE PSYCHOSIS NEC
Table 7.01,Mental Disorders,290.9,SENILE PSYCHOT COND NOS
Table 7.01,Mental Disorders,291.0,DELIRIUM TREMENS
Table 7.01,Mental Disorders,291.1,ALCOHOL AMNESTIC DISORDR
Table 7.01,Mental Disorders,291.2,ALCOHOL PERSIST DEMENTIA
