ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Jonathan,Valladares,ESP,,00:20:05,00:00:00,00:52:31,00:00:00,00:25:52,32,01:38:28
Luis,Lobo,ESP,,00:20:46,00:00:00,00:52:50,00:00:00,00:25:16,33,01:38:52
David,Aranda,ESP,,00:22:14,00:00:00,00:52:09,00:00:00,00:24:37,34,01:39:00
Amancio,Del Castillo Serrano,ESP,,00:19:52,00:00:00,00:47:43,00:00:00,00:31:56,35,01:39:31
Bartolo Simon,Lluis,ESP,,00:20:43,00:00:00,00:55:43,00:00:00,00:23:37,36,01:40:03
Alex,Sanz Garrote,ESP,,00:18:23,00:00:00,00:51:12,00:00:00,00:30:36,37,01:40:11
Emilio,Longas,ESP,,00:19:48,00:00:00,00:50:58,00:00:00,00:29:36,38,01:40:22
Alvaro,Velazquez,ESP,,00:19:32,00:00:00,00:53:02,00:00:00,00:28:02,39,01:40:36
Carlos,Ballesteros Alarcon,ESP,,00:20:24,00:00:00,00:52:34,00:00:00,00:27:39,40,01:40:37
Joan,Domenech,ESP,,00:20:09,00:00:00,00:46:17,00:00:00,00:34:21,41,01:40:47
Roberto,Camiruaga Sangroniz,ESP,,00:21:44,00:00:00,00:48:21,00:00:00,00:31:21,42,01:41:26
Ramon,Higuera,ESP,,00:21:35,00:00:00,00:55:26,00:00:00,00:26:16,43,01:43:17
Fernando Aja,García,ESP,,00:22:27,00:00:00,00:55:58,00:00:00,00:25:07,44,01:43:32
Xavier,Zapater,ESP,,00:19:33,00:00:00,00:47:09,00:00:00,00:37:47,45,01:44:29
Jorge,Rey,ESP,,00:20:49,00:00:00,01:01:16,00:00:00,00:23:20,46,01:45:25
Antonio,Castro,ESP,,00:19:47,00:00:00,00:56:40,00:00:00,00:29:23,47,01:45:50
Andeka,Zubiaur,ESP,,00:19:29,00:00:00,00:51:51,00:00:00,00:35:21,48,01:46:41
Jesus Maria,Alzola,ESP,,00:22:40,00:00:00,00:54:50,00:00:00,00:29:23,49,01:46:53
Mikel,De La Presa Unanue,ESP,,00:20:02,00:00:00,00:59:35,00:00:00,00:27:51,50,01:47:28
Francisco Javier,Gonzalez,ESP,,00:22:28,00:00:00,00:56:57,00:00:00,00:28:40,51,01:48:05
Antonio,Alonso,ESP,,00:21:47,00:00:00,00:59:52,00:00:00,00:26:47,52,01:48:26
Juan Carlos,Prego Perez,ESP,,00:23:17,00:00:00,00:53:45,00:00:00,00:31:48,53,01:48:50
Jaime Bautista,Fernandez Rabago,ESP,,00:22:45,00:00:00,01:00:46,00:00:00,00:26:37,54,01:50:08
Santiago,Tello,ESP,,00:21:34,00:00:00,01:00:16,00:00:00,00:28:31,55,01:50:21
Daniel,Sanchez Corral,ESP,,00:19:30,00:00:00,00:56:27,00:00:00,00:34:41,56,01:50:38
Sergi,Bermejo,ESP,,00:21:41,00:00:00,00:59:50,00:00:00,00:29:32,57,01:51:03
Juan,Lopez Vilaplana,ESP,,00:22:17,00:00:00,00:59:06,00:00:00,00:30:17,58,01:51:40
Xabier,Gomez,ESP,,00:19:52,00:00:00,00:57:18,00:00:00,00:34:48,59,01:51:58
Oscar,Lado,ESP,,00:19:25,00:00:00,00:54:55,00:00:00,00:37:51,60,01:52:11
Alvaro,Roldan,ESP,,00:22:56,00:00:00,01:03:39,00:00:00,00:27:43,61,01:54:18
Javier,Escribano Santamaria,ESP,,00:22:15,00:00:00,01:05:38,00:00:00,00:26:28,62,01:54:21
Oskar,Salazar,ESP,,00:22:49,00:00:00,00:59:20,00:00:00,00:32:48,63,01:54:57
Lluis,Pons,ESP,,00:21:39,00:00:00,00:50:09,00:00:00,00:43:19,64,01:55:07
Timoteo,Lopez,AND,,00:23:08,00:00:00,01:01:26,00:00:00,00:31:51,65,01:56:25
Javier,Villalon,ESP,,00:24:08,00:00:00,01:04:48,00:00:00,00:29:13,66,01:58:09
Jesus,Deval,ESP,,00:22:53,00:00:00,01:01:13,00:00:00,00:35:52,67,01:59:58
Carlos,Garcia Lazaro,ESP,,00:22:22,00:00:00,01:00:54,00:00:00,00:36:55,68,02:00:11
Jose Ramon,Gonzalez,ESP,,00:19:04,00:00:00,00:58:42,00:00:00,00:00:00,69,02:00:21
Jose Manuel,Jimenez,ESP,,00:22:24,00:00:00,01:01:37,00:00:00,00:00:00,70,02:01:13
Daniel,Puerta,ESP,,00:20:23,00:00:00,01:03:19,00:00:00,00:41:22,71,02:05:04
Cristobal,Sanchez,ESP,,00:22:47,00:00:00,01:01:39,00:00:00,00:40:48,72,02:05:14
Pere,Arenas,ESP,,00:24:46,00:00:00,01:06:21,00:00:00,00:34:16,73,02:05:23
Inaki,Arenal,ESP,,00:19:53,00:00:00,01:07:44,00:00:00,00:38:03,74,02:05:40
Tito,Roldan,ESP,,00:21:33,00:00:00,00:54:02,00:00:00,00:51:00,75,02:06:35
Bernardo Jose,Bello,ESP,,00:22:48,00:00:00,01:04:50,00:00:00,00:00:00,76,02:06:48
Jordi,Vilajuana,ESP,,00:21:43,00:00:00,01:00:14,00:00:00,00:48:19,77,02:10:16
Casimiro,Soriano Frenich,ESP,,00:24:41,00:00:00,01:06:37,00:00:00,00:40:55,78,02:12:13
Javier,Pulido,ESP,,00:22:02,00:00:00,01:00:55,00:00:00,00:52:36,79,02:15:33
Aitor,Ruiz,ESP,,00:23:23,00:00:00,01:15:25,00:00:00,00:36:51,80,02:15:39
Jesús,Molina ,ESP,,00:22:13,00:00:00,01:05:40,00:00:00,00:50:24,81,02:18:17
Perdo,Gallego,ESP,,00:23:57,00:00:00,01:07:11,00:00:00,00:48:50,82,02:19:58
Jose Manuel,Rodríguez Carrasco,ESP,,00:24:42,00:00:00,01:14:37,00:00:00,00:58:47,83,02:38:06
Jose Javier,Burdio Garcia,ESP,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Imanol,Gonzalez,ESP,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Carlos,Hueso Palacian,ESP,,00:53:23,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Egoitz,Zalakain Erbiti,ESP,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
