U.S. Energy Information Administration,,,,,,,,,,,,
February 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: February 26, 2014",,,,,,,,,,,,
"Next Update: March 26, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 10.1 Renewable Energy Production and Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Total,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar/PV Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
1995,197.737,3099.082,6558.423,3205.307,152.057,69.347,32.63,2369.869,531.476,199.797,3101.142,6560.483
1996,141.284,3155.301,7012.173,3589.656,163.359,70.417,33.44,2437.027,576.99,142.789,3156.806,7013.678
1997,186.315,3107.908,7018.23,3640.458,166.698,69.586,33.581,2370.991,550.602,183.627,3105.22,7015.542
1998,202.474,2928.93,6494.339,3297.054,168.45,69.053,30.853,2184.161,542.295,201.034,2927.49,6492.899
1999,210.809,2965.132,6517.459,3267.575,170.921,67.937,45.894,2214.167,540.156,208.967,2963.29,6515.618
2000,233.146,3005.661,6103.785,2811.116,164.364,65.587,57.057,2261.715,510.8,235.712,3008.227,6106.351
2001,254.453,2624.162,5164.365,2241.858,164.461,64.267,69.617,2005.834,363.875,252.647,2622.356,5162.559
2002,308.118,2705.406,5733.927,2689.017,171.164,63.006,105.334,1995.284,402.004,303.333,2700.621,5729.142
2003,402.048,2805.432,5946.637,2792.539,173.445,61.948,113.273,2002.037,401.347,403.741,2807.125,5948.331
2004,487.311,2997.606,6068.569,2688.468,178.147,62.685,141.664,2121.252,389.043,499.366,3009.661,6080.624
2005,564.094,3104.01,6229.189,2702.942,180.703,63.446,178.088,2136.697,403.219,576.838,3116.754,6241.933
2006,720.308,3216.187,6598.602,2869.035,181.2,68.441,263.738,2099.319,396.561,770.933,3266.812,6649.227
2007,977.678,3479.688,6528.011,2446.389,185.774,75.657,340.503,2088.775,413.235,990.421,3492.432,6540.754
2008,1387.251,3881.499,7219.356,2511.108,192.433,88.767,545.548,2058.985,435.263,1370.393,3864.642,7202.498
2009,1584.185,3966.882,7654.785,2668.824,200.185,97.766,721.129,1931.01,451.687,1567.577,3950.274,7638.177
2010,1883.695,4332.294,8128.142,2538.541,207.979,125.901,923.427,1980.687,467.912,1836.792,4285.391,8081.239
2011,2044.258,4516.298,9170.182,3102.852,212.311,171.086,1167.636,2010.246,461.793,1948.315,4420.355,9074.24
2012,1941.842,4423.312,8837.715,2628.702,211.592,234.05,1340.059,2000.528,480.942,1901.895,4383.366,8797.769
