YNhq,0.664*,0.646*,0.676*,0.682*,0.844*,0.728*,0.748*,0.683*,0.660*,0.725*,0.708*,0.839*,0.592*,0.655*,0.599*,0.639*,0.09091,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,,,,,,,,
,,,,,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,        Nm based on 16S-12S,,,,,,,,
,HBwh,HBjz,HBqj,HByx,HBhh,HBga,HNlx,HNxy,HNhr,AHtl,AHgc,AHzy,JXxj,JXpz,JSzj,SCxc,YNey,YNhq
HBwh,,,,,,,,,,,,,,,,,,
HBjz,6.33858,,,,,,,,,,,,,,,,,
HBqj,6.76606,∞,,,,,,,,,,,,,,,,
HByx,3.46429,13.97059,9.34783,,,,,,,,,,,,,,,
HBhh,1.03,0.9434,1.07054,0.66016,,,,,,,,,,,,,,
HBga,2.64151,5.95652,3.55908,2.32759,0.70536,,,,,,,,,,,,,
HNlx,1.38819,2.43213,2.04348,1.77606,0.25,0.74058,,,,,,,,,,,,
HNxy,2.90224,2.874,2.17825,2.01558,0.40351,1.27931,1.06928,,,,,,,,,,,
HNhr,3.23661,10.92308,8.68243,5.64732,0.6087,1.69944,152.5,4.19462,,,,,,,,,,
AHtl,2.48603,8.38164,9.89774,3.93153,0.32831,1.45046,1.92737,2.60828,4.59058,,,,,,,,,
AHgc,3.42304,15.11128,7.07911,4.26211,0.50195,3.03802,0.90133,3.1662,2.21884,8.67064,,,,,,,,
AHzy,0.63855,0.87288,0.65809,0.625,0.15625,0.57746,0.23026,0.68787,0.46774,0.5448,1.22376,,,,,,,
JXxj,0.83647,1.03246,0.89332,0.86957,0.41624,0.76878,0.60487,1.09929,0.80244,0.89684,1.18503,0.68088,,,,,,
JXpz,3.23585,5.26563,3.78049,2.83333,0.98661,3.1383,0.88722,3.89912,1.85976,1.89851,7.16115,0.91532,3.94,,,,,
JSzj,1.51724,2.35695,2.17302,2.03488,0.48319,1.02842,3.80435,1.51831,4.24324,4.25922,1.42821,0.472,1.33694,1.59012,,,,
SCxc,0.18935,0.19617,0.17731,0.17376,0.09757,0.1544,0.1326,0.18078,0.18214,0.15136,0.17854,0.102,0.32499,0.21898,0.26312,,,
YNey,0.21735,0.23587,0.20026,0.1933,0.06184,0.15259,0.12113,0.19231,0.21446,0.14151,0.16126,0.06591,0.31502,0.22863,0.29431,0.21743,,
YNhq,0.25219,0.27306,0.23941,0.23225,0.09222,0.18667,0.1678,0.23118,0.25726,0.18918,0.20603,0.09562,0.34445,0.26238,0.33401,0.28246,5,
,,,,,,,,,,,,,,,,,,
The names of sample localities were abbreviated as the same as in Table 1. ,,,,,,,,,,,,,,,,,,
" For the 16S-12S fragment, Fst of all pairwises varied from 0.592 to 0.889 between populations in the ML reaches and populations in the SW China region, showing a highly significant difference (P < 0.001), with the corresponding gene flows (Nm) being rather limited (< 0.400) in between. Among the 15 populations in the ML reaches, Fst varied from 0.010 to 0.762, with some of them having little genetic differentiation (P > 0.05); however, some Fst originated from HBhh, HBga, AHzy, JXxj and JSzj had significant difference with some populations also in the ML reaches (P < 0.05). Among the 3 populations in the SW China region, the Fst between SCxc and two Yunnan populations (YNey and YNhq) showed highly significant difference (P < 0.001), while the Fst between YNey and YNhq had no difference (P > 0.05).",,,,,,,,,,,,,,,,,,
* indicating P < 0.05.,,,,,,,,,,,,,,,,,,
